r,phi,phi',Phi,s
2.52,-0.441839,-0.358391,-0.175333,0
2.54,-0.449027,-0.360406,-0.176782,0
2.56,-0.456255,-0.362398,-0.178225,0
2.58,-0.463522,-0.364365,-0.17966,0
2.6,-0.470829,-0.366308,-0.181088,0
2.62,-0.478175,-0.368227,-0.182509,0
2.64,-0.485558,-0.370122,-0.183924,0
2.66,-0.492979,-0.371995,-0.185331,0
2.68,-0.500438,-0.373844,-0.186731,0
2.7,-0.507933,-0.37567,-0.188123,0
2.72,-0.515464,-0.377473,-0.189509,0
2.74,-0.523032,-0.379253,-0.190887,0
2.76,-0.530634,-0.381011,-0.192259,0
2.78,-0.538272,-0.382747,-0.193623,0
2.8,-0.545944,-0.384461,-0.19498,0
2.82,-0.55365,-0.386153,-0.19633,0
2.84,-0.56139,-0.387823,-0.197673,0
2.86,-0.569163,-0.389471,-0.199008,0
2.88,-0.576969,-0.391099,-0.200336,0
2.9,-0.584807,-0.392705,-0.201658,0
2.92,-0.592677,-0.39429,-0.202972,0
2.94,-0.600578,-0.395855,-0.204278,0
2.96,-0.608511,-0.397399,-0.205578,0
2.98,-0.616474,-0.398922,-0.206871,0
3,-0.624468,-0.400426,-0.208156,0
3.02,-0.632491,-0.40191,-0.209434,0
3.04,-0.640544,-0.403374,-0.210705,0
3.06,-0.648626,-0.404818,-0.211969,0
3.08,-0.656737,-0.406243,-0.213226,0
3.1,-0.664875,-0.407649,-0.214476,0
3.12,-0.673042,-0.409036,-0.215719,0
3.14,-0.681237,-0.410405,-0.216954,0
3.16,-0.689458,-0.411754,-0.218183,0
3.18,-0.697707,-0.413086,-0.219405,0
3.2,-0.705982,-0.414399,-0.220619,0
3.22,-0.714283,-0.415695,-0.221827,0
3.24,-0.722609,-0.416973,-0.223028,0
3.26,-0.730961,-0.418233,-0.224221,0
3.28,-0.739339,-0.419476,-0.225408,0
3.3,-0.74774,-0.420701,-0.226588,0
3.32,-0.756167,-0.42191,-0.227761,0
3.34,-0.764617,-0.423102,-0.228927,0
3.36,-0.77309,-0.424277,-0.230086,0
3.38,-0.781588,-0.425436,-0.231239,0
3.4,-0.790108,-0.426579,-0.232385,0
3.42,-0.798651,-0.427706,-0.233524,0
3.44,-0.807216,-0.428816,-0.234656,0
3.46,-0.815803,-0.429912,-0.235781,0
3.48,-0.824412,-0.430991,-0.2369,0
3.5,-0.833043,-0.432056,-0.238012,0
3.52,-0.841694,-0.433105,-0.239118,0
3.54,-0.850367,-0.43414,-0.240217,0
3.56,-0.85906,-0.435159,-0.241309,0
3.58,-0.867773,-0.436165,-0.242395,0
