r,phi,phi',Phi,s
8.34,-1.50323,-0.298885,-0.180244,0.2
8.36,-1.50921,-0.298905,-0.180528,0.2
8.38,-1.51519,-0.298924,-0.18081,0.2
8.4,-1.52117,-0.298943,-0.181092,0.2
8.42,-1.52715,-0.298962,-0.181372,0.2
8.44,-1.53313,-0.29898,-0.18165,0.2
8.46,-1.53911,-0.298998,-0.181928,0.2
8.48,-1.54509,-0.299016,-0.182204,0.2
8.5,-1.55107,-0.299034,-0.182479,0.2
8.52,-1.55705,-0.299051,-0.182752,0.2
8.54,-1.56303,-0.299068,-0.183025,0.2
8.56,-1.56901,-0.299084,-0.183296,0.2
8.58,-1.57499,-0.2991,-0.183566,0.2
8.6,-1.58098,-0.299116,-0.183834,0.2
8.62,-1.58696,-0.299132,-0.184102,0.2
8.64,-1.59294,-0.299147,-0.184368,0.2
8.66,-1.59892,-0.299163,-0.184633,0.2
8.68,-1.60491,-0.299177,-0.184897,0.2
8.7,-1.61089,-0.299192,-0.18516,0.2
8.72,-1.61688,-0.299206,-0.185421,0.2
8.74,-1.62286,-0.299221,-0.185682,0.2
8.76,-1.62884,-0.299234,-0.185941,0.2
8.78,-1.63483,-0.299248,-0.186199,0.2
8.8,-1.64081,-0.299261,-0.186456,0.2
8.82,-1.6468,-0.299275,-0.186712,0.2
8.84,-1.65278,-0.299287,-0.186967,0.2
8.86,-1.65877,-0.2993,-0.18722,0.2
8.88,-1.66476,-0.299313,-0.187473,0.2
8.9,-1.67074,-0.299325,-0.187724,0.2
8.92,-1.67673,-0.299337,-0.187974,0.2
8.94,-1.68272,-0.299349,-0.188223,0.2
8.96,-1.6887,-0.29936,-0.188471,0.2
8.98,-1.69469,-0.299372,-0.188718,0.2
9,-1.70068,-0.299383,-0.188964,0.2
9.02,-1.70667,-0.299394,-0.189209,0.2
9.04,-1.71265,-0.299405,-0.189453,0.2
9.06,-1.71864,-0.299415,-0.189696,0.2
9.08,-1.72463,-0.299426,-0.189937,0.2
9.1,-1.73062,-0.299436,-0.190178,0.2
9.12,-1.73661,-0.299446,-0.190418,0.2
9.14,-1.7426,-0.299456,-0.190656,0.2
9.16,-1.74859,-0.299466,-0.190894,0.2
9.18,-1.75458,-0.299475,-0.19113,0.2
9.2,-1.76057,-0.299485,-0.191366,0.2
9.22,-1.76656,-0.299494,-0.1916,0.2
9.24,-1.77255,-0.299503,-0.191834,0.2
9.26,-1.77854,-0.299512,-0.192066,0.2
9.28,-1.78453,-0.299521,-0.192298,0.2
9.3,-1.79052,-0.299529,-0.192529,0.2
9.32,-1.79651,-0.299538,-0.192758,0.2
9.34,-1.8025,-0.299546,-0.192987,0.2
9.36,-1.80849,-0.299554,-0.193215,0.2
9.38,-1.81448,-0.299562,-0.193441,0.2
9.4,-1.82047,-0.29957,-0.193667,0.2
9.42,-1.82646,-0.299578,-0.193892,0.2
9.44,-1.83245,-0.299585,-0.194116,0.2
9.46,-1.83845,-0.299593,-0.194339,0.2
9.48,-1.84444,-0.2996,-0.194561,0.2
9.5,-1.85043,-0.299607,-0.194782,0.2
9.52,-1.85642,-0.299614,-0.195002,0.2
9.54,-1.86241,-0.299621,-0.195222,0.2
9.56,-1.86841,-0.299628,-0.19544,0.2
9.58,-1.8744,-0.299634,-0.195658,0.2
9.6,-1.88039,-0.299641,-0.195874,0.2
9.62,-1.88639,-0.299647,-0.19609,0.2
9.64,-1.89238,-0.299654,-0.196305,0.2
9.66,-1.89837,-0.29966,-0.196519,0.2
9.68,-1.90437,-0.299666,-0.196732,0.2
9.7,-1.91036,-0.299672,-0.196944,0.2
9.72,-1.91635,-0.299678,-0.197156,0.2
9.74,-1.92235,-0.299684,-0.197366,0.2
9.76,-1.92834,-0.299689,-0.197576,0.2
9.78,-1.93433,-0.299695,-0.197785,0.2
9.8,-1.94033,-0.299701,-0.197993,0.2
9.82,-1.94632,-0.299706,-0.1982,0.2
9.84,-1.95232,-0.299711,-0.198406,0.2
9.86,-1.95831,-0.299716,-0.198612,0.2
9.88,-1.9643,-0.299722,-0.198816,0.2
9.9,-1.9703,-0.299727,-0.19902,0.2
9.92,-1.97629,-0.299731,-0.199223,0.2
9.94,-1.98229,-0.299736,-0.199425,0.2
9.96,-1.98828,-0.299741,-0.199627,0.2
9.98,-1.99428,-0.299746,-0.199827,0.2
10,-2.00027,-0.29975,-0.200027,0.2
10.02,-2.00627,-0.299755,-0.200226,0.2
10.04,-2.01226,-0.299759,-0.200425,0.2
10.06,-2.01826,-0.299764,-0.200622,0.2
10.08,-2.02425,-0.299768,-0.200819,0.2
10.1,-2.03025,-0.299772,-0.201015,0.2
10.12,-2.03624,-0.299776,-0.20121,0.2
10.14,-2.04224,-0.29978,-0.201404,0.2
10.16,-2.04824,-0.299784,-0.201598,0.2
10.18,-2.05423,-0.299788,-0.201791,0.2
10.2,-2.06023,-0.299792,-0.201983,0.2
10.22,-2.06622,-0.299796,-0.202174,0.2
10.24,-2.07222,-0.299799,-0.202365,0.2
10.26,-2.07821,-0.299803,-0.202555,0.2
10.28,-2.08421,-0.299806,-0.202744,0.2
10.3,-2.09021,-0.29981,-0.202933,0.2
10.32,-2.0962,-0.299813,-0.20312,0.2
10.34,-2.1022,-0.299817,-0.203307,0.2
10.36,-2.1082,-0.29982,-0.203494,0.2
10.38,-2.11419,-0.299823,-0.203679,0.2
10.4,-2.12019,-0.299827,-0.203864,0.2
10.42,-2.12619,-0.29983,-0.204048,0.2
10.44,-2.13218,-0.299833,-0.204232,0.2
10.46,-2.13818,-0.299836,-0.204415,0.2
10.48,-2.14418,-0.299839,-0.204597,0.2
10.5,-2.15017,-0.299842,-0.204778,0.2
10.52,-2.15617,-0.299845,-0.204959,0.2
10.54,-2.16217,-0.299847,-0.205139,0.2
10.56,-2.16816,-0.29985,-0.205318,0.2
10.58,-2.17416,-0.299853,-0.205497,0.2
10.6,-2.18016,-0.299855,-0.205675,0.2
10.62,-2.18615,-0.299858,-0.205853,0.2
10.64,-2.19215,-0.299861,-0.206029,0.2
10.66,-2.19815,-0.299863,-0.206205,0.2
10.68,-2.20415,-0.299866,-0.206381,0.2
10.7,-2.21014,-0.299868,-0.206555,0.2
10.72,-2.21614,-0.299871,-0.20673,0.2
10.74,-2.22214,-0.299873,-0.206903,0.2
10.76,-2.22814,-0.299875,-0.207076,0.2
10.78,-2.23413,-0.299877,-0.207248,0.2
10.8,-2.24013,-0.29988,-0.207419,0.2
10.82,-2.24613,-0.299882,-0.20759,0.2
10.84,-2.25213,-0.299884,-0.207761,0.2
10.86,-2.25812,-0.299886,-0.20793,0.2
10.88,-2.26412,-0.299888,-0.208099,0.2
10.9,-2.27012,-0.29989,-0.208268,0.2
10.92,-2.27612,-0.299892,-0.208436,0.2
10.94,-2.28211,-0.299894,-0.208603,0.2
10.96,-2.28811,-0.299896,-0.208769,0.2
10.98,-2.29411,-0.299898,-0.208935,0.2
11,-2.30011,-0.2999,-0.209101,0.2
11.02,-2.30611,-0.299902,-0.209266,0.2
11.04,-2.3121,-0.299903,-0.20943,0.2
11.06,-2.3181,-0.299905,-0.209593,0.2
11.08,-2.3241,-0.299907,-0.209756,0.2
11.1,-2.3301,-0.299909,-0.209919,0.2
11.12,-2.3361,-0.29991,-0.210081,0.2
11.14,-2.3421,-0.299912,-0.210242,0.2
11.16,-2.34809,-0.299913,-0.210403,0.2
11.18,-2.35409,-0.299915,-0.210563,0.2
11.2,-2.36009,-0.299917,-0.210722,0.2
11.22,-2.36609,-0.299918,-0.210881,0.2
11.24,-2.37209,-0.29992,-0.21104,0.2
11.26,-2.37809,-0.299921,-0.211198,0.2
11.28,-2.38408,-0.299922,-0.211355,0.2
11.3,-2.39008,-0.299924,-0.211512,0.2
11.32,-2.39608,-0.299925,-0.211668,0.2
11.34,-2.40208,-0.299927,-0.211824,0.2
11.36,-2.40808,-0.299928,-0.211979,0.2
11.38,-2.41408,-0.299929,-0.212133,0.2
11.4,-2.42008,-0.299931,-0.212287,0.2
11.42,-2.42607,-0.299932,-0.212441,0.2
11.44,-2.43207,-0.299933,-0.212594,0.2
11.46,-2.43807,-0.299934,-0.212746,0.2
11.48,-2.44407,-0.299936,-0.212898,0.2
11.5,-2.45007,-0.299937,-0.213049,0.2
11.52,-2.45607,-0.299938,-0.2132,0.2
11.54,-2.46207,-0.299939,-0.213351,0.2
11.56,-2.46806,-0.29994,-0.2135,0.2
11.58,-2.47406,-0.299941,-0.21365,0.2
11.6,-2.48006,-0.299942,-0.213798,0.2
11.62,-2.48606,-0.299943,-0.213947,0.2
11.64,-2.49206,-0.299944,-0.214095,0.2
11.66,-2.49806,-0.299945,-0.214242,0.2
11.68,-2.50406,-0.299946,-0.214389,0.2
11.7,-2.51006,-0.299947,-0.214535,0.2
11.72,-2.51606,-0.299948,-0.214681,0.2
11.74,-2.52205,-0.299949,-0.214826,0.2
11.76,-2.52805,-0.29995,-0.214971,0.2
11.78,-2.53405,-0.299951,-0.215115,0.2
11.8,-2.54005,-0.299952,-0.215259,0.2
11.82,-2.54605,-0.299953,-0.215402,0.2
11.84,-2.55205,-0.299954,-0.215545,0.2
11.86,-2.55805,-0.299955,-0.215687,0.2
11.88,-2.56405,-0.299955,-0.215829,0.2
11.9,-2.57005,-0.299956,-0.21597,0.2
11.92,-2.57605,-0.299957,-0.216111,0.2
11.94,-2.58205,-0.299958,-0.216252,0.2
11.96,-2.58804,-0.299959,-0.216392,0.2
11.98,-2.59404,-0.299959,-0.216531,0.2
12,-2.60004,-0.29996,-0.21667,0.2
12.02,-2.60604,-0.299961,-0.216809,0.2
12.04,-2.61204,-0.299962,-0.216947,0.2
12.06,-2.61804,-0.299962,-0.217085,0.2
12.08,-2.62404,-0.299963,-0.217222,0.2
12.1,-2.63004,-0.299964,-0.217359,0.2
12.12,-2.63604,-0.299964,-0.217495,0.2
12.14,-2.64204,-0.299965,-0.217631,0.2
12.16,-2.64804,-0.299966,-0.217766,0.2
12.18,-2.65404,-0.299966,-0.217901,0.2
12.2,-2.66004,-0.299967,-0.218036,0.2
12.22,-2.66604,-0.299967,-0.21817,0.2
12.24,-2.67203,-0.299968,-0.218303,0.2
12.26,-2.67803,-0.299969,-0.218437,0.2
12.28,-2.68403,-0.299969,-0.218569,0.2
12.3,-2.69003,-0.29997,-0.218702,0.2
12.32,-2.69603,-0.29997,-0.218834,0.2
12.34,-2.70203,-0.299971,-0.218965,0.2
12.36,-2.70803,-0.299971,-0.219096,0.2
12.38,-2.71403,-0.299972,-0.219227,0.2
12.4,-2.72003,-0.299972,-0.219357,0.2
12.42,-2.72603,-0.299973,-0.219487,0.2
12.44,-2.73203,-0.299973,-0.219616,0.2
12.46,-2.73803,-0.299974,-0.219745,0.2
12.48,-2.74403,-0.299974,-0.219874,0.2
12.5,-2.75003,-0.299975,-0.220002,0.2
12.52,-2.75603,-0.299975,-0.22013,0.2
12.54,-2.76203,-0.299976,-0.220257,0.2
12.56,-2.76803,-0.299976,-0.220384,0.2
12.58,-2.77403,-0.299977,-0.220511,0.2
12.6,-2.78002,-0.299977,-0.220637,0.2
12.62,-2.78602,-0.299977,-0.220763,0.2
12.64,-2.79202,-0.299978,-0.220888,0.2
12.66,-2.79802,-0.299978,-0.221013,0.2
12.68,-2.80402,-0.299979,-0.221137,0.2
12.7,-2.81002,-0.299979,-0.221262,0.2
12.72,-2.81602,-0.299979,-0.221385,0.2
12.74,-2.82202,-0.29998,-0.221509,0.2
12.76,-2.82802,-0.29998,-0.221632,0.2
12.78,-2.83402,-0.299981,-0.221754,0.2
12.8,-2.84002,-0.299981,-0.221877,0.2
12.82,-2.84602,-0.299981,-0.221998,0.2
12.84,-2.85202,-0.299982,-0.22212,0.2
12.86,-2.85802,-0.299982,-0.222241,0.2
12.88,-2.86402,-0.299982,-0.222362,0.2
12.9,-2.87002,-0.299983,-0.222482,0.2
12.92,-2.87602,-0.299983,-0.222602,0.2
12.94,-2.88202,-0.299983,-0.222722,0.2
12.96,-2.88802,-0.299984,-0.222841,0.2
12.98,-2.89402,-0.299984,-0.22296,0.2
13,-2.90002,-0.299984,-0.223078,0.2
13.02,-2.90602,-0.299984,-0.223196,0.2
13.04,-2.91202,-0.299985,-0.223314,0.2
13.06,-2.91802,-0.299985,-0.223432,0.2
13.08,-2.92402,-0.299985,-0.223549,0.2
13.1,-2.93002,-0.299986,-0.223665,0.2
13.12,-2.93602,-0.299986,-0.223782,0.2
13.14,-2.94201,-0.299986,-0.223898,0.2
13.16,-2.94801,-0.299986,-0.224013,0.2
13.18,-2.95401,-0.299987,-0.224129,0.2
13.2,-2.96001,-0.299987,-0.224243,0.2
13.22,-2.96601,-0.299987,-0.224358,0.2
13.24,-2.97201,-0.299987,-0.224472,0.2
13.26,-2.97801,-0.299988,-0.224586,0.2
13.28,-2.98401,-0.299988,-0.2247,0.2
13.3,-2.99001,-0.299988,-0.224813,0.2
13.32,-2.99601,-0.299988,-0.224926,0.2
13.34,-3.00201,-0.299988,-0.225038,0.2
13.36,-3.00801,-0.299989,-0.225151,0.2
13.38,-3.01401,-0.299989,-0.225262,0.2
13.4,-3.02001,-0.299989,-0.225374,0.2
13.42,-3.02601,-0.299989,-0.225485,0.2
13.44,-3.03201,-0.299989,-0.225596,0.2
13.46,-3.03801,-0.29999,-0.225707,0.2
13.48,-3.04401,-0.29999,-0.225817,0.2
13.5,-3.05001,-0.29999,-0.225927,0.2
13.52,-3.05601,-0.29999,-0.226036,0.2
13.54,-3.06201,-0.29999,-0.226146,0.2
13.56,-3.06801,-0.299991,-0.226254,0.2
13.58,-3.07401,-0.299991,-0.226363,0.2
13.6,-3.08001,-0.299991,-0.226471,0.2
13.62,-3.08601,-0.299991,-0.226579,0.2
13.64,-3.09201,-0.299991,-0.226687,0.2
13.66,-3.09801,-0.299991,-0.226794,0.2
13.68,-3.10401,-0.299992,-0.226901,0.2
13.7,-3.11001,-0.299992,-0.227008,0.2
13.72,-3.11601,-0.299992,-0.227114,0.2
13.74,-3.12201,-0.299992,-0.22722,0.2
13.76,-3.12801,-0.299992,-0.227326,0.2
13.78,-3.13401,-0.299992,-0.227432,0.2
13.8,-3.14001,-0.299992,-0.227537,0.2
13.82,-3.14601,-0.299993,-0.227642,0.2
13.84,-3.15201,-0.299993,-0.227746,0.2
13.86,-3.15801,-0.299993,-0.22785,0.2
13.88,-3.16401,-0.299993,-0.227954,0.2
13.9,-3.17001,-0.299993,-0.228058,0.2
13.92,-3.17601,-0.299993,-0.228161,0.2
13.94,-3.18201,-0.299993,-0.228264,0.2
13.96,-3.18801,-0.299994,-0.228367,0.2
13.98,-3.19401,-0.299994,-0.22847,0.2
14,-3.20001,-0.299994,-0.228572,0.2
14.02,-3.20601,-0.299994,-0.228674,0.2
14.04,-3.21201,-0.299994,-0.228775,0.2
14.06,-3.21801,-0.299994,-0.228877,0.2
14.08,-3.22401,-0.299994,-0.228978,0.2
14.1,-3.23001,-0.299994,-0.229078,0.2
14.12,-3.23601,-0.299994,-0.229179,0.2
14.14,-3.24201,-0.299995,-0.229279,0.2
14.16,-3.24801,-0.299995,-0.229379,0.2
14.18,-3.25401,-0.299995,-0.229479,0.2
14.2,-3.26001,-0.299995,-0.229578,0.2
14.22,-3.26601,-0.299995,-0.229677,0.2
14.24,-3.27201,-0.299995,-0.229776,0.2
14.26,-3.27801,-0.299995,-0.229874,0.2
14.28,-3.28401,-0.299995,-0.229972,0.2
14.3,-3.29001,-0.299995,-0.23007,0.2
14.32,-3.296,-0.299995,-0.230168,0.2
14.34,-3.302,-0.299995,-0.230265,0.2
14.36,-3.308,-0.299996,-0.230362,0.2
14.38,-3.314,-0.299996,-0.230459,0.2
14.4,-3.32,-0.299996,-0.230556,0.2
14.42,-3.326,-0.299996,-0.230652,0.2
14.44,-3.332,-0.299996,-0.230748,0.2
14.46,-3.338,-0.299996,-0.230844,0.2
14.48,-3.344,-0.299996,-0.23094,0.2
14.5,-3.35,-0.299996,-0.231035,0.2
14.52,-3.356,-0.299996,-0.23113,0.2
14.54,-3.362,-0.299996,-0.231224,0.2
14.56,-3.368,-0.299996,-0.231319,0.2
14.58,-3.374,-0.299996,-0.231413,0.2
14.6,-3.38,-0.299996,-0.231507,0.2
14.62,-3.386,-0.299997,-0.231601,0.2
14.64,-3.392,-0.299997,-0.231694,0.2
14.66,-3.398,-0.299997,-0.231787,0.2
14.68,-3.404,-0.299997,-0.23188,0.2
14.7,-3.41,-0.299997,-0.231973,0.2
14.72,-3.416,-0.299997,-0.232065,0.2
14.74,-3.422,-0.299997,-0.232158,0.2
14.76,-3.428,-0.299997,-0.23225,0.2
14.78,-3.434,-0.299997,-0.232341,0.2
14.8,-3.44,-0.299997,-0.232433,0.2
14.82,-3.446,-0.299997,-0.232524,0.2
14.84,-3.452,-0.299997,-0.232615,0.2
14.86,-3.458,-0.299997,-0.232705,0.2
14.88,-3.464,-0.299997,-0.232796,0.2
14.9,-3.47,-0.299997,-0.232886,0.2
14.92,-3.476,-0.299997,-0.232976,0.2
14.94,-3.482,-0.299997,-0.233066,0.2
14.96,-3.488,-0.299997,-0.233155,0.2
14.98,-3.494,-0.299998,-0.233245,0.2
15,-3.5,-0.299998,-0.233334,0.2
15.02,-3.506,-0.299998,-0.233422,0.2
15.04,-3.512,-0.299998,-0.233511,0.2
15.06,-3.518,-0.299998,-0.233599,0.2
15.08,-3.524,-0.299998,-0.233687,0.2
15.1,-3.53,-0.299998,-0.233775,0.2
15.12,-3.536,-0.299998,-0.233863,0.2
15.14,-3.542,-0.299998,-0.23395,0.2
15.16,-3.548,-0.299998,-0.234037,0.2
15.18,-3.554,-0.299998,-0.234124,0.2
15.2,-3.56,-0.299998,-0.234211,0.2
15.22,-3.566,-0.299998,-0.234297,0.2
15.24,-3.572,-0.299998,-0.234383,0.2
15.26,-3.578,-0.299998,-0.234469,0.2
15.28,-3.584,-0.299998,-0.234555,0.2
15.3,-3.59,-0.299998,-0.234641,0.2
15.32,-3.596,-0.299998,-0.234726,0.2
15.34,-3.602,-0.299998,-0.234811,0.2
15.36,-3.608,-0.299998,-0.234896,0.2
15.38,-3.614,-0.299998,-0.234981,0.2
15.4,-3.62,-0.299998,-0.235065,0.2
15.42,-3.626,-0.299998,-0.235149,0.2
15.44,-3.632,-0.299998,-0.235233,0.2
15.46,-3.638,-0.299998,-0.235317,0.2
15.48,-3.644,-0.299998,-0.235401,0.2
15.5,-3.65,-0.299998,-0.235484,0.2
15.52,-3.656,-0.299998,-0.235567,0.2
15.54,-3.662,-0.299999,-0.23565,0.2
15.56,-3.668,-0.299999,-0.235733,0.2
15.58,-3.674,-0.299999,-0.235815,0.2
15.6,-3.68,-0.299999,-0.235898,0.2
15.62,-3.686,-0.299999,-0.23598,0.2
15.64,-3.692,-0.299999,-0.236061,0.2
15.66,-3.698,-0.299999,-0.236143,0.2
15.68,-3.704,-0.299999,-0.236225,0.2
15.7,-3.71,-0.299999,-0.236306,0.2
15.72,-3.716,-0.299999,-0.236387,0.2
15.74,-3.722,-0.299999,-0.236468,0.2
15.76,-3.728,-0.299999,-0.236548,0.2
15.78,-3.734,-0.299999,-0.236629,0.2
15.8,-3.74,-0.299999,-0.236709,0.2
15.82,-3.746,-0.299999,-0.236789,0.2
15.84,-3.752,-0.299999,-0.236869,0.2
15.86,-3.758,-0.299999,-0.236948,0.2
15.88,-3.764,-0.299999,-0.237028,0.2
15.9,-3.77,-0.299999,-0.237107,0.2
15.92,-3.776,-0.299999,-0.237186,0.2
15.94,-3.782,-0.299999,-0.237265,0.2
15.96,-3.788,-0.299999,-0.237343,0.2
15.98,-3.794,-0.299999,-0.237422,0.2
16,-3.8,-0.299999,-0.2375,0.2
16.02,-3.806,-0.299999,-0.237578,0.2
16.04,-3.812,-0.299999,-0.237656,0.2
16.06,-3.818,-0.299999,-0.237734,0.2
16.08,-3.824,-0.299999,-0.237811,0.2
16.1,-3.83,-0.299999,-0.237888,0.2
16.12,-3.836,-0.299999,-0.237965,0.2
16.14,-3.842,-0.299999,-0.238042,0.2
16.16,-3.848,-0.299999,-0.238119,0.2
16.18,-3.854,-0.299999,-0.238195,0.2
16.2,-3.86,-0.299999,-0.238272,0.2
16.22,-3.866,-0.299999,-0.238348,0.2
16.24,-3.872,-0.299999,-0.238424,0.2
16.26,-3.878,-0.299999,-0.238499,0.2
16.28,-3.884,-0.299999,-0.238575,0.2
16.3,-3.89,-0.299999,-0.23865,0.2
16.32,-3.896,-0.299999,-0.238726,0.2
16.34,-3.902,-0.299999,-0.238801,0.2
16.36,-3.908,-0.299999,-0.238875,0.2
16.38,-3.914,-0.299999,-0.23895,0.2
16.4,-3.92,-0.299999,-0.239024,0.2
16.42,-3.926,-0.299999,-0.239099,0.2
16.44,-3.932,-0.299999,-0.239173,0.2
16.46,-3.938,-0.299999,-0.239247,0.2
16.48,-3.944,-0.299999,-0.23932,0.2
16.5,-3.95,-0.299999,-0.239394,0.2
16.52,-3.956,-0.299999,-0.239467,0.2
16.54,-3.962,-0.299999,-0.239541,0.2
16.56,-3.968,-0.299999,-0.239614,0.2
16.58,-3.974,-0.299999,-0.239686,0.2
16.6,-3.98,-0.299999,-0.239759,0.2
16.62,-3.986,-0.299999,-0.239832,0.2
16.64,-3.992,-0.299999,-0.239904,0.2
16.66,-3.998,-0.299999,-0.239976,0.2
16.68,-4.004,-0.299999,-0.240048,0.2
16.7,-4.01,-0.3,-0.24012,0.2
16.72,-4.016,-0.3,-0.240191,0.2
16.74,-4.022,-0.3,-0.240263,0.2
16.76,-4.028,-0.3,-0.240334,0.2
16.78,-4.034,-0.3,-0.240405,0.2
16.8,-4.04,-0.3,-0.240476,0.2
16.82,-4.046,-0.3,-0.240547,0.2
16.84,-4.052,-0.3,-0.240618,0.2
16.86,-4.058,-0.3,-0.240688,0.2
16.88,-4.064,-0.3,-0.240758,0.2
16.9,-4.07,-0.3,-0.240828,0.2
16.92,-4.076,-0.3,-0.240898,0.2
16.94,-4.082,-0.3,-0.240968,0.2
16.96,-4.088,-0.3,-0.241038,0.2
16.98,-4.094,-0.3,-0.241107,0.2
17,-4.1,-0.3,-0.241176,0.2
17.02,-4.106,-0.3,-0.241246,0.2
17.04,-4.112,-0.3,-0.241315,0.2
17.06,-4.118,-0.3,-0.241383,0.2
17.08,-4.124,-0.3,-0.241452,0.2
17.1,-4.13,-0.3,-0.24152,0.2
17.12,-4.136,-0.3,-0.241589,0.2
17.14,-4.142,-0.3,-0.241657,0.2
17.16,-4.148,-0.3,-0.241725,0.2
17.18,-4.154,-0.3,-0.241793,0.2
17.2,-4.16,-0.3,-0.24186,0.2
17.22,-4.166,-0.3,-0.241928,0.2
17.24,-4.172,-0.3,-0.241995,0.2
17.26,-4.178,-0.3,-0.242063,0.2
17.28,-4.184,-0.3,-0.24213,0.2
17.3,-4.19,-0.3,-0.242197,0.2
17.32,-4.196,-0.3,-0.242263,0.2
17.34,-4.202,-0.3,-0.24233,0.2
17.36,-4.208,-0.3,-0.242396,0.2
17.38,-4.214,-0.3,-0.242463,0.2
17.4,-4.22,-0.3,-0.242529,0.2
17.42,-4.226,-0.3,-0.242595,0.2
17.44,-4.232,-0.3,-0.242661,0.2
17.46,-4.238,-0.3,-0.242726,0.2
17.48,-4.244,-0.3,-0.242792,0.2
17.5,-4.25,-0.3,-0.242857,0.2
17.52,-4.256,-0.3,-0.242922,0.2
17.54,-4.262,-0.3,-0.242987,0.2
17.56,-4.268,-0.3,-0.243052,0.2
17.58,-4.274,-0.3,-0.243117,0.2
17.6,-4.28,-0.3,-0.243182,0.2
17.62,-4.286,-0.3,-0.243246,0.2
17.64,-4.292,-0.3,-0.243311,0.2
17.66,-4.298,-0.3,-0.243375,0.2
17.68,-4.304,-0.3,-0.243439,0.2
17.7,-4.31,-0.3,-0.243503,0.2
17.72,-4.316,-0.3,-0.243567,0.2
17.74,-4.322,-0.3,-0.24363,0.2
17.76,-4.328,-0.3,-0.243694,0.2
17.78,-4.334,-0.3,-0.243757,0.2
17.8,-4.34,-0.3,-0.24382,0.2
17.82,-4.346,-0.3,-0.243883,0.2
17.84,-4.352,-0.3,-0.243946,0.2
17.86,-4.358,-0.3,-0.244009,0.2
17.88,-4.364,-0.3,-0.244072,0.2
17.9,-4.37,-0.3,-0.244134,0.2
17.92,-4.376,-0.3,-0.244196,0.2
17.94,-4.382,-0.3,-0.244259,0.2
17.96,-4.388,-0.3,-0.244321,0.2
17.98,-4.394,-0.3,-0.244383,0.2
18,-4.4,-0.3,-0.244444,0.2
18.02,-4.406,-0.3,-0.244506,0.2
18.04,-4.412,-0.3,-0.244568,0.2
18.06,-4.418,-0.3,-0.244629,0.2
18.08,-4.424,-0.3,-0.24469,0.2
18.1,-4.43,-0.3,-0.244751,0.2
18.12,-4.436,-0.3,-0.244812,0.2
18.14,-4.442,-0.3,-0.244873,0.2
18.16,-4.448,-0.3,-0.244934,0.2
18.18,-4.454,-0.3,-0.244995,0.2
18.2,-4.46,-0.3,-0.245055,0.2
18.22,-4.466,-0.3,-0.245115,0.2
18.24,-4.472,-0.3,-0.245175,0.2
18.26,-4.478,-0.3,-0.245235,0.2
18.28,-4.484,-0.3,-0.245295,0.2
18.3,-4.49,-0.3,-0.245355,0.2
18.32,-4.496,-0.3,-0.245415,0.2
18.34,-4.502,-0.3,-0.245474,0.2
18.36,-4.508,-0.3,-0.245534,0.2
18.38,-4.514,-0.3,-0.245593,0.2
18.4,-4.52,-0.3,-0.245652,0.2
18.42,-4.526,-0.3,-0.245711,0.2
18.44,-4.532,-0.3,-0.24577,0.2
18.46,-4.538,-0.3,-0.245829,0.2
18.48,-4.544,-0.3,-0.245887,0.2
18.5,-4.55,-0.3,-0.245946,0.2
18.52,-4.556,-0.3,-0.246004,0.2
18.54,-4.562,-0.3,-0.246063,0.2
18.56,-4.568,-0.3,-0.246121,0.2
18.58,-4.574,-0.3,-0.246179,0.2
18.6,-4.58,-0.3,-0.246237,0.2
18.62,-4.586,-0.3,-0.246294,0.2
18.64,-4.592,-0.3,-0.246352,0.2
18.66,-4.598,-0.3,-0.246409,0.2
18.68,-4.604,-0.3,-0.246467,0.2
18.7,-4.61,-0.3,-0.246524,0.2
18.72,-4.616,-0.3,-0.246581,0.2
18.74,-4.622,-0.3,-0.246638,0.2
18.76,-4.628,-0.3,-0.246695,0.2
18.78,-4.634,-0.3,-0.246752,0.2
18.8,-4.64,-0.3,-0.246809,0.2
18.82,-4.646,-0.3,-0.246865,0.2
18.84,-4.652,-0.3,-0.246921,0.2
18.86,-4.658,-0.3,-0.246978,0.2
18.88,-4.664,-0.3,-0.247034,0.2
18.9,-4.67,-0.3,-0.24709,0.2
18.92,-4.676,-0.3,-0.247146,0.2
18.94,-4.682,-0.3,-0.247202,0.2
18.96,-4.688,-0.3,-0.247257,0.2
18.98,-4.694,-0.3,-0.247313,0.2
19,-4.7,-0.3,-0.247368,0.2
19.02,-4.706,-0.3,-0.247424,0.2
19.04,-4.712,-0.3,-0.247479,0.2
19.06,-4.718,-0.3,-0.247534,0.2
19.08,-4.724,-0.3,-0.247589,0.2
19.1,-4.73,-0.3,-0.247644,0.2
19.12,-4.736,-0.3,-0.247699,0.2
19.14,-4.742,-0.3,-0.247753,0.2
19.16,-4.748,-0.3,-0.247808,0.2
19.18,-4.754,-0.3,-0.247862,0.2
19.2,-4.76,-0.3,-0.247917,0.2
19.22,-4.766,-0.3,-0.247971,0.2
19.24,-4.772,-0.3,-0.248025,0.2
19.26,-4.778,-0.3,-0.248079,0.2
19.28,-4.784,-0.3,-0.248133,0.2
19.3,-4.79,-0.3,-0.248187,0.2
19.32,-4.796,-0.3,-0.24824,0.2
19.34,-4.802,-0.3,-0.248294,0.2
19.36,-4.808,-0.3,-0.248347,0.2
19.38,-4.814,-0.3,-0.2484,0.2
