r,phi,Phi,exact,Exact,s
9.96,0.999717,0.100373,0.999717,0.100373,0.5
9.98,0.999723,0.100173,0.999723,0.100173,0.5
10,0.999728,0.0999728,0.999728,0.0999728,0.5
10.02,0.999733,0.0997737,0.999733,0.0997737,0.5
10.04,0.999737,0.0995754,0.999737,0.0995754,0.5
10.06,0.999742,0.099378,0.999742,0.099378,0.5
10.08,0.999747,0.0991812,0.999747,0.0991812,0.5
10.1,0.999752,0.0989853,0.999751,0.0989853,0.5
10.12,0.999756,0.0987901,0.999756,0.0987901,0.5
10.14,0.99976,0.0985957,0.99976,0.0985957,0.5
10.16,0.999765,0.098402,0.999765,0.098402,0.5
10.18,0.999769,0.0982091,0.999769,0.0982091,0.5
10.2,0.999773,0.098017,0.999773,0.098017,0.5
10.22,0.999777,0.0978256,0.999777,0.0978256,0.5
10.24,0.999781,0.0976349,0.999781,0.0976349,0.5
10.26,0.999785,0.097445,0.999785,0.097445,0.5
10.28,0.999789,0.0972558,0.999789,0.0972558,0.5
10.3,0.999793,0.0970673,0.999793,0.0970673,0.5
10.32,0.999797,0.0968796,0.999797,0.0968795,0.5
10.34,0.999801,0.0966925,0.999801,0.0966925,0.5
10.36,0.999804,0.0965062,0.999804,0.0965062,0.5
10.38,0.999808,0.0963206,0.999808,0.0963206,0.5
10.4,0.999811,0.0961357,0.999811,0.0961357,0.5
10.42,0.999815,0.0959515,0.999815,0.0959515,0.5
10.44,0.999818,0.095768,0.999818,0.095768,0.5
10.46,0.999821,0.0955852,0.999821,0.0955852,0.5
10.48,0.999825,0.0954031,0.999825,0.0954031,0.5
10.5,0.999828,0.0952217,0.999828,0.0952217,0.5
10.52,0.999831,0.095041,0.999831,0.095041,0.5
10.54,0.999834,0.0948609,0.999834,0.0948609,0.5
10.56,0.999837,0.0946816,0.999837,0.0946815,0.5
10.58,0.99984,0.0945028,0.99984,0.0945028,0.5
10.6,0.999843,0.0943248,0.999843,0.0943248,0.5
10.62,0.999846,0.0941475,0.999846,0.0941474,0.5
10.64,0.999849,0.0939707,0.999849,0.0939707,0.5
10.66,0.999852,0.0937947,0.999851,0.0937947,0.5
10.68,0.999854,0.0936193,0.999854,0.0936193,0.5
10.7,0.999857,0.0934446,0.999857,0.0934446,0.5
10.72,0.999859,0.0932705,0.999859,0.0932705,0.5
10.74,0.999862,0.093097,0.999862,0.093097,0.5
10.76,0.999865,0.0929242,0.999865,0.0929242,0.5
10.78,0.999867,0.092752,0.999867,0.092752,0.5
10.8,0.999869,0.0925805,0.999869,0.0925805,0.5
10.82,0.999872,0.0924096,0.999872,0.0924096,0.5
10.84,0.999874,0.0922393,0.999874,0.0922393,0.5
10.86,0.999877,0.0920697,0.999876,0.0920697,0.5
10.88,0.999879,0.0919006,0.999879,0.0919006,0.5
10.9,0.999881,0.0917322,0.999881,0.0917322,0.5
10.92,0.999883,0.0915644,0.999883,0.0915644,0.5
10.94,0.999885,0.0913972,0.999885,0.0913972,0.5
10.96,0.999887,0.0912306,0.999887,0.0912306,0.5
10.98,0.999889,0.0910646,0.999889,0.0910646,0.5
11,0.999891,0.0908992,0.999891,0.0908992,0.5
11.02,0.999893,0.0907344,0.999893,0.0907344,0.5
11.04,0.999895,0.0905702,0.999895,0.0905702,0.5
11.06,0.999897,0.0904066,0.999897,0.0904066,0.5
11.08,0.999899,0.0902436,0.999899,0.0902436,0.5
11.1,0.999901,0.0900812,0.999901,0.0900812,0.5
11.12,0.999903,0.0899193,0.999903,0.0899193,0.5
11.14,0.999905,0.089758,0.999905,0.089758,0.5
11.16,0.999906,0.0895973,0.999906,0.0895973,0.5
11.18,0.999908,0.0894372,0.999908,0.0894372,0.5
11.2,0.99991,0.0892777,0.99991,0.0892777,0.5
11.22,0.999911,0.0891187,0.999911,0.0891187,0.5
11.24,0.999913,0.0889602,0.999913,0.0889602,0.5
11.26,0.999915,0.0888024,0.999915,0.0888024,0.5
11.28,0.999916,0.0886451,0.999916,0.0886451,0.5
11.3,0.999918,0.0884883,0.999918,0.0884883,0.5
11.32,0.999919,0.0883321,0.999919,0.0883321,0.5
11.34,0.999921,0.0881764,0.999921,0.0881764,0.5
11.36,0.999922,0.0880213,0.999922,0.0880213,0.5
11.38,0.999924,0.0878668,0.999924,0.0878667,0.5
11.4,0.999925,0.0877127,0.999925,0.0877127,0.5
11.42,0.999926,0.0875592,0.999926,0.0875592,0.5
11.44,0.999928,0.0874063,0.999928,0.0874063,0.5
11.46,0.999929,0.0872538,0.999929,0.0872538,0.5
11.48,0.99993,0.087102,0.99993,0.0871019,0.5
11.5,0.999932,0.0869506,0.999932,0.0869506,0.5
11.52,0.999933,0.0867997,0.999933,0.0867997,0.5
11.54,0.999934,0.0866494,0.999934,0.0866494,0.5
11.56,0.999935,0.0864996,0.999935,0.0864996,0.5
11.58,0.999937,0.0863503,0.999937,0.0863503,0.5
11.6,0.999938,0.0862015,0.999938,0.0862015,0.5
11.62,0.999939,0.0860533,0.999939,0.0860533,0.5
11.64,0.99994,0.0859055,0.99994,0.0859055,0.5
11.66,0.999941,0.0857582,0.999941,0.0857582,0.5
11.68,0.999942,0.0856115,0.999942,0.0856115,0.5
11.7,0.999943,0.0854652,0.999943,0.0854652,0.5
11.72,0.999944,0.0853195,0.999944,0.0853195,0.5
11.74,0.999945,0.0851742,0.999945,0.0851742,0.5
11.76,0.999946,0.0850294,0.999946,0.0850294,0.5
11.78,0.999947,0.0848852,0.999947,0.0848852,0.5
11.8,0.999948,0.0847414,0.999948,0.0847414,0.5
11.82,0.999949,0.0845981,0.999949,0.0845981,0.5
11.84,0.99995,0.0844552,0.99995,0.0844552,0.5
11.86,0.999951,0.0843129,0.999951,0.0843129,0.5
11.88,0.999952,0.084171,0.999952,0.084171,0.5
11.9,0.999953,0.0840297,0.999953,0.0840296,0.5
11.92,0.999954,0.0838887,0.999954,0.0838887,0.5
11.94,0.999955,0.0837483,0.999955,0.0837483,0.5
11.96,0.999955,0.0836083,0.999955,0.0836083,0.5
11.98,0.999956,0.0834688,0.999956,0.0834688,0.5
12,0.999957,0.0833298,0.999957,0.0833297,0.5
12.02,0.999958,0.0831912,0.999958,0.0831912,0.5
12.04,0.999959,0.083053,0.999959,0.083053,0.5
12.06,0.999959,0.0829154,0.999959,0.0829154,0.5
12.08,0.99996,0.0827782,0.99996,0.0827782,0.5
12.1,0.999961,0.0826414,0.999961,0.0826414,0.5
12.12,0.999962,0.0825051,0.999962,0.0825051,0.5
12.14,0.999962,0.0823692,0.999962,0.0823692,0.5
12.16,0.999963,0.0822338,0.999963,0.0822338,0.5
12.18,0.999964,0.0820988,0.999964,0.0820988,0.5
12.2,0.999964,0.0819643,0.999964,0.0819643,0.5
12.22,0.999965,0.0818302,0.999965,0.0818302,0.5
12.24,0.999966,0.0816965,0.999966,0.0816965,0.5
12.26,0.999966,0.0815633,0.999966,0.0815633,0.5
12.28,0.999967,0.0814305,0.999967,0.0814305,0.5
12.3,0.999968,0.0812982,0.999967,0.0812982,0.5
12.32,0.999968,0.0811662,0.999968,0.0811662,0.5
12.34,0.999969,0.0810347,0.999969,0.0810347,0.5
12.36,0.999969,0.0809037,0.999969,0.0809037,0.5
12.38,0.99997,0.080773,0.99997,0.080773,0.5
12.4,0.99997,0.0806428,0.99997,0.0806428,0.5
12.42,0.999971,0.080513,0.999971,0.080513,0.5
12.44,0.999971,0.0803836,0.999971,0.0803836,0.5
12.46,0.999972,0.0802546,0.999972,0.0802546,0.5
12.48,0.999973,0.080126,0.999972,0.080126,0.5
12.5,0.999973,0.0799978,0.999973,0.0799978,0.5
12.52,0.999974,0.0798701,0.999973,0.0798701,0.5
12.54,0.999974,0.0797427,0.999974,0.0797427,0.5
12.56,0.999974,0.0796158,0.999974,0.0796158,0.5
12.58,0.999975,0.0794893,0.999975,0.0794893,0.5
12.6,0.999975,0.0793631,0.999975,0.0793631,0.5
12.62,0.999976,0.0792374,0.999976,0.0792374,0.5
12.64,0.999976,0.0791121,0.999976,0.079112,0.5
12.66,0.999977,0.0789871,0.999977,0.0789871,0.5
12.68,0.999977,0.0788626,0.999977,0.0788626,0.5
12.7,0.999978,0.0787384,0.999978,0.0787384,0.5
12.72,0.999978,0.0786146,0.999978,0.0786146,0.5
12.74,0.999978,0.0784912,0.999978,0.0784912,0.5
12.76,0.999979,0.0783682,0.999979,0.0783682,0.5
12.78,0.999979,0.0782456,0.999979,0.0782456,0.5
12.8,0.99998,0.0781234,0.99998,0.0781234,0.5
12.82,0.99998,0.0780016,0.99998,0.0780016,0.5
12.84,0.99998,0.0778801,0.99998,0.0778801,0.5
12.86,0.999981,0.077759,0.999981,0.077759,0.5
12.88,0.999981,0.0776383,0.999981,0.0776383,0.5
12.9,0.999981,0.0775179,0.999981,0.0775179,0.5
12.92,0.999982,0.077398,0.999982,0.077398,0.5
12.94,0.999982,0.0772784,0.999982,0.0772784,0.5
12.96,0.999982,0.0771591,0.999982,0.0771591,0.5
12.98,0.999983,0.0770403,0.999983,0.0770403,0.5
13,0.999983,0.0769218,0.999983,0.0769218,0.5
13.02,0.999983,0.0768036,0.999983,0.0768036,0.5
13.04,0.999984,0.0766859,0.999984,0.0766859,0.5
13.06,0.999984,0.0765685,0.999984,0.0765685,0.5
13.08,0.999984,0.0764514,0.999984,0.0764514,0.5
13.1,0.999985,0.0763347,0.999985,0.0763347,0.5
13.12,0.999985,0.0762184,0.999985,0.0762184,0.5
13.14,0.999985,0.0761024,0.999985,0.0761024,0.5
13.16,0.999985,0.0759867,0.999985,0.0759867,0.5
13.18,0.999986,0.0758715,0.999986,0.0758714,0.5
13.2,0.999986,0.0757565,0.999986,0.0757565,0.5
13.22,0.999986,0.0756419,0.999986,0.0756419,0.5
13.24,0.999987,0.0755277,0.999986,0.0755277,0.5
13.26,0.999987,0.0754138,0.999987,0.0754138,0.5
13.28,0.999987,0.0753002,0.999987,0.0753002,0.5
13.3,0.999987,0.075187,0.999987,0.075187,0.5
13.32,0.999987,0.0750741,0.999987,0.0750741,0.5
13.34,0.999988,0.0749616,0.999988,0.0749616,0.5
13.36,0.999988,0.0748494,0.999988,0.0748494,0.5
13.38,0.999988,0.0747375,0.999988,0.0747375,0.5
13.4,0.999988,0.074626,0.999988,0.074626,0.5
13.42,0.999989,0.0745148,0.999989,0.0745148,0.5
13.44,0.999989,0.0744039,0.999989,0.0744039,0.5
13.46,0.999989,0.0742934,0.999989,0.0742934,0.5
13.48,0.999989,0.0741832,0.999989,0.0741832,0.5
13.5,0.999989,0.0740733,0.999989,0.0740733,0.5
13.52,0.99999,0.0739637,0.99999,0.0739637,0.5
13.54,0.99999,0.0738545,0.99999,0.0738545,0.5
13.56,0.99999,0.0737456,0.99999,0.0737456,0.5
13.58,0.99999,0.073637,0.99999,0.073637,0.5
13.6,0.99999,0.0735287,0.99999,0.0735287,0.5
13.62,0.999991,0.0734207,0.999991,0.0734207,0.5
13.64,0.999991,0.0733131,0.999991,0.0733131,0.5
13.66,0.999991,0.0732058,0.999991,0.0732058,0.5
13.68,0.999991,0.0730988,0.999991,0.0730988,0.5
13.7,0.999991,0.0729921,0.999991,0.0729921,0.5
13.72,0.999991,0.0728857,0.999991,0.0728857,0.5
13.74,0.999992,0.0727796,0.999992,0.0727796,0.5
13.76,0.999992,0.0726738,0.999992,0.0726738,0.5
13.78,0.999992,0.0725684,0.999992,0.0725683,0.5
13.8,0.999992,0.0724632,0.999992,0.0724632,0.5
13.82,0.999992,0.0723583,0.999992,0.0723583,0.5
13.84,0.999992,0.0722538,0.999992,0.0722538,0.5
13.86,0.999992,0.0721495,0.999992,0.0721495,0.5
13.88,0.999993,0.0720456,0.999993,0.0720456,0.5
13.9,0.999993,0.0719419,0.999993,0.0719419,0.5
13.92,0.999993,0.0718386,0.999993,0.0718386,0.5
13.94,0.999993,0.0717355,0.999993,0.0717355,0.5
13.96,0.999993,0.0716327,0.999993,0.0716327,0.5
13.98,0.999993,0.0715303,0.999993,0.0715303,0.5
14,0.999993,0.0714281,0.999993,0.0714281,0.5
14.02,0.999994,0.0713262,0.999993,0.0713262,0.5
14.04,0.999994,0.0712246,0.999994,0.0712246,0.5
14.06,0.999994,0.0711233,0.999994,0.0711233,0.5
14.08,0.999994,0.0710223,0.999994,0.0710223,0.5
14.1,0.999994,0.0709216,0.999994,0.0709216,0.5
14.12,0.999994,0.0708211,0.999994,0.0708211,0.5
14.14,0.999994,0.0707209,0.999994,0.0707209,0.5
14.16,0.999994,0.0706211,0.999994,0.0706211,0.5
14.18,0.999994,0.0705215,0.999994,0.0705215,0.5
14.2,0.999995,0.0704222,0.999994,0.0704221,0.5
14.22,0.999995,0.0703231,0.999995,0.0703231,0.5
14.24,0.999995,0.0702243,0.999995,0.0702243,0.5
14.26,0.999995,0.0701259,0.999995,0.0701259,0.5
14.28,0.999995,0.0700277,0.999995,0.0700277,0.5
14.3,0.999995,0.0699297,0.999995,0.0699297,0.5
14.32,0.999995,0.0698321,0.999995,0.0698321,0.5
14.34,0.999995,0.0697347,0.999995,0.0697347,0.5
14.36,0.999995,0.0696376,0.999995,0.0696376,0.5
14.38,0.999995,0.0695407,0.999995,0.0695407,0.5
14.4,0.999995,0.0694441,0.999995,0.0694441,0.5
14.42,0.999996,0.0693478,0.999996,0.0693478,0.5
14.44,0.999996,0.0692518,0.999996,0.0692518,0.5
14.46,0.999996,0.069156,0.999996,0.069156,0.5
14.48,0.999996,0.0690605,0.999996,0.0690605,0.5
14.5,0.999996,0.0689652,0.999996,0.0689652,0.5
14.52,0.999996,0.0688702,0.999996,0.0688702,0.5
14.54,0.999996,0.0687755,0.999996,0.0687755,0.5
14.56,0.999996,0.0686811,0.999996,0.068681,0.5
14.58,0.999996,0.0685868,0.999996,0.0685868,0.5
14.6,0.999996,0.0684929,0.999996,0.0684929,0.5
14.62,0.999996,0.0683992,0.999996,0.0683992,0.5
14.64,0.999996,0.0683058,0.999996,0.0683058,0.5
14.66,0.999996,0.0682126,0.999996,0.0682126,0.5
14.68,0.999997,0.0681197,0.999996,0.0681197,0.5
14.7,0.999997,0.068027,0.999997,0.068027,0.5
14.72,0.999997,0.0679346,0.999997,0.0679346,0.5
14.74,0.999997,0.0678424,0.999997,0.0678424,0.5
14.76,0.999997,0.0677505,0.999997,0.0677505,0.5
14.78,0.999997,0.0676588,0.999997,0.0676588,0.5
14.8,0.999997,0.0675674,0.999997,0.0675674,0.5
14.82,0.999997,0.0674762,0.999997,0.0674762,0.5
14.84,0.999997,0.0673852,0.999997,0.0673852,0.5
14.86,0.999997,0.0672946,0.999997,0.0672946,0.5
14.88,0.999997,0.0672041,0.999997,0.0672041,0.5
14.9,0.999997,0.0671139,0.999997,0.0671139,0.5
14.92,0.999997,0.0670239,0.999997,0.0670239,0.5
14.94,0.999997,0.0669342,0.999997,0.0669342,0.5
14.96,0.999997,0.0668447,0.999997,0.0668447,0.5
14.98,0.999997,0.0667555,0.999997,0.0667555,0.5
15,0.999997,0.0666665,0.999997,0.0666665,0.5
15.02,0.999998,0.0665777,0.999997,0.0665777,0.5
15.04,0.999998,0.0664892,0.999997,0.0664892,0.5
15.06,0.999998,0.0664009,0.999998,0.0664009,0.5
15.08,0.999998,0.0663128,0.999998,0.0663128,0.5
15.1,0.999998,0.066225,0.999998,0.066225,0.5
15.12,0.999998,0.0661374,0.999998,0.0661374,0.5
15.14,0.999998,0.0660501,0.999998,0.06605,0.5
15.16,0.999998,0.0659629,0.999998,0.0659629,0.5
15.18,0.999998,0.065876,0.999998,0.065876,0.5
15.2,0.999998,0.0657893,0.999998,0.0657893,0.5
15.22,0.999998,0.0657029,0.999998,0.0657029,0.5
15.24,0.999998,0.0656167,0.999998,0.0656167,0.5
15.26,0.999998,0.0655307,0.999998,0.0655307,0.5
15.28,0.999998,0.0654449,0.999998,0.0654449,0.5
15.3,0.999998,0.0653594,0.999998,0.0653593,0.5
15.32,0.999998,0.065274,0.999998,0.065274,0.5
15.34,0.999998,0.0651889,0.999998,0.0651889,0.5
15.36,0.999998,0.065104,0.999998,0.065104,0.5
15.38,0.999998,0.0650194,0.999998,0.0650194,0.5
15.4,0.999998,0.064935,0.999998,0.0649349,0.5
15.42,0.999998,0.0648507,0.999998,0.0648507,0.5
15.44,0.999998,0.0647667,0.999998,0.0647667,0.5
15.46,0.999998,0.0646829,0.999998,0.0646829,0.5
15.48,0.999998,0.0645994,0.999998,0.0645994,0.5
15.5,0.999998,0.064516,0.999998,0.064516,0.5
15.52,0.999998,0.0644329,0.999998,0.0644329,0.5
15.54,0.999998,0.06435,0.999998,0.06435,0.5
15.56,0.999999,0.0642673,0.999998,0.0642673,0.5
15.58,0.999999,0.0641848,0.999998,0.0641848,0.5
15.6,0.999999,0.0641025,0.999999,0.0641025,0.5
15.62,0.999999,0.0640204,0.999999,0.0640204,0.5
15.64,0.999999,0.0639385,0.999999,0.0639385,0.5
15.66,0.999999,0.0638569,0.999999,0.0638569,0.5
15.68,0.999999,0.0637754,0.999999,0.0637754,0.5
15.7,0.999999,0.0636942,0.999999,0.0636942,0.5
15.72,0.999999,0.0636132,0.999999,0.0636131,0.5
15.74,0.999999,0.0635323,0.999999,0.0635323,0.5
15.76,0.999999,0.0634517,0.999999,0.0634517,0.5
15.78,0.999999,0.0633713,0.999999,0.0633713,0.5
15.8,0.999999,0.0632911,0.999999,0.0632911,0.5
15.82,0.999999,0.0632111,0.999999,0.063211,0.5
15.84,0.999999,0.0631312,0.999999,0.0631312,0.5
15.86,0.999999,0.0630516,0.999999,0.0630516,0.5
15.88,0.999999,0.0629722,0.999999,0.0629722,0.5
15.9,0.999999,0.062893,0.999999,0.062893,0.5
15.92,0.999999,0.062814,0.999999,0.062814,0.5
15.94,0.999999,0.0627352,0.999999,0.0627352,0.5
15.96,0.999999,0.0626566,0.999999,0.0626566,0.5
15.98,0.999999,0.0625782,0.999999,0.0625782,0.5
16,0.999999,0.0624999,0.999999,0.0624999,0.5
16.02,0.999999,0.0624219,0.999999,0.0624219,0.5
16.04,0.999999,0.0623441,0.999999,0.0623441,0.5
16.06,0.999999,0.0622664,0.999999,0.0622664,0.5
16.08,0.999999,0.062189,0.999999,0.062189,0.5
16.1,0.999999,0.0621117,0.999999,0.0621117,0.5
16.12,0.999999,0.0620347,0.999999,0.0620347,0.5
16.14,0.999999,0.0619578,0.999999,0.0619578,0.5
16.16,0.999999,0.0618811,0.999999,0.0618811,0.5
16.18,0.999999,0.0618046,0.999999,0.0618046,0.5
16.2,0.999999,0.0617283,0.999999,0.0617283,0.5
16.22,0.999999,0.0616522,0.999999,0.0616522,0.5
16.24,0.999999,0.0615763,0.999999,0.0615763,0.5
16.26,0.999999,0.0615006,0.999999,0.0615006,0.5
16.28,0.999999,0.061425,0.999999,0.061425,0.5
16.3,0.999999,0.0613497,0.999999,0.0613496,0.5
16.32,0.999999,0.0612745,0.999999,0.0612745,0.5
16.34,0.999999,0.0611995,0.999999,0.0611995,0.5
16.36,0.999999,0.0611247,0.999999,0.0611247,0.5
16.38,0.999999,0.06105,0.999999,0.06105,0.5
16.4,0.999999,0.0609756,0.999999,0.0609756,0.5
16.42,0.999999,0.0609013,0.999999,0.0609013,0.5
16.44,0.999999,0.0608272,0.999999,0.0608272,0.5
16.46,0.999999,0.0607533,0.999999,0.0607533,0.5
16.48,0.999999,0.0606796,0.999999,0.0606796,0.5
16.5,0.999999,0.060606,0.999999,0.060606,0.5
16.52,0.999999,0.0605327,0.999999,0.0605327,0.5
16.54,0.999999,0.0604595,0.999999,0.0604595,0.5
16.56,0.999999,0.0603864,0.999999,0.0603864,0.5
16.58,0.999999,0.0603136,0.999999,0.0603136,0.5
16.6,0.999999,0.0602409,0.999999,0.0602409,0.5
16.62,0.999999,0.0601684,0.999999,0.0601684,0.5
16.64,1,0.0600961,0.999999,0.0600961,0.5
16.66,1,0.060024,0.999999,0.060024,0.5
16.68,1,0.059952,0.999999,0.059952,0.5
16.7,1,0.0598802,0.999999,0.0598802,0.5
16.72,1,0.0598086,0.999999,0.0598086,0.5
16.74,1,0.0597371,0.999999,0.0597371,0.5
16.76,1,0.0596658,1,0.0596658,0.5
16.78,1,0.0595947,1,0.0595947,0.5
16.8,1,0.0595238,1,0.0595238,0.5
16.82,1,0.059453,1,0.059453,0.5
16.84,1,0.0593824,1,0.0593824,0.5
16.86,1,0.059312,1,0.059312,0.5
16.88,1,0.0592417,1,0.0592417,0.5
16.9,1,0.0591716,1,0.0591716,0.5
16.92,1,0.0591016,1,0.0591016,0.5
16.94,1,0.0590319,1,0.0590319,0.5
16.96,1,0.0589622,1,0.0589622,0.5
16.98,1,0.0588928,1,0.0588928,0.5
17,1,0.0588235,1,0.0588235,0.5
17.02,1,0.0587544,1,0.0587544,0.5
17.04,1,0.0586854,1,0.0586854,0.5
17.06,1,0.0586166,1,0.0586166,0.5
17.08,1,0.058548,1,0.058548,0.5
17.1,1,0.0584795,1,0.0584795,0.5
17.12,1,0.0584112,1,0.0584112,0.5
17.14,1,0.058343,1,0.058343,0.5
17.16,1,0.058275,1,0.058275,0.5
17.18,1,0.0582072,1,0.0582072,0.5
17.2,1,0.0581395,1,0.0581395,0.5
17.22,1,0.058072,1,0.058072,0.5
17.24,1,0.0580046,1,0.0580046,0.5
17.26,1,0.0579374,1,0.0579374,0.5
17.28,1,0.0578704,1,0.0578704,0.5
17.3,1,0.0578035,1,0.0578035,0.5
17.32,1,0.0577367,1,0.0577367,0.5
17.34,1,0.0576701,1,0.0576701,0.5
17.36,1,0.0576037,1,0.0576037,0.5
17.38,1,0.0575374,1,0.0575374,0.5
17.4,1,0.0574713,1,0.0574712,0.5
17.42,1,0.0574053,1,0.0574053,0.5
17.44,1,0.0573394,1,0.0573394,0.5
17.46,1,0.0572738,1,0.0572738,0.5
17.48,1,0.0572082,1,0.0572082,0.5
17.5,1,0.0571428,1,0.0571428,0.5
17.52,1,0.0570776,1,0.0570776,0.5
17.54,1,0.0570125,1,0.0570125,0.5
17.56,1,0.0569476,1,0.0569476,0.5
17.58,1,0.0568828,1,0.0568828,0.5
17.6,1,0.0568182,1,0.0568182,0.5
17.62,1,0.0567537,1,0.0567537,0.5
17.64,1,0.0566893,1,0.0566893,0.5
17.66,1,0.0566251,1,0.0566251,0.5
17.68,1,0.0565611,1,0.0565611,0.5
17.7,1,0.0564972,1,0.0564972,0.5
17.72,1,0.0564334,1,0.0564334,0.5
17.74,1,0.0563698,1,0.0563698,0.5
17.76,1,0.0563063,1,0.0563063,0.5
17.78,1,0.056243,1,0.056243,0.5
17.8,1,0.0561798,1,0.0561798,0.5
17.82,1,0.0561167,1,0.0561167,0.5
17.84,1,0.0560538,1,0.0560538,0.5
17.86,1,0.055991,1,0.055991,0.5
17.88,1,0.0559284,1,0.0559284,0.5
17.9,1,0.0558659,1,0.0558659,0.5
17.92,1,0.0558036,1,0.0558036,0.5
17.94,1,0.0557414,1,0.0557414,0.5
17.96,1,0.0556793,1,0.0556793,0.5
17.98,1,0.0556173,1,0.0556173,0.5
18,1,0.0555556,1,0.0555555,0.5
18.02,1,0.0554939,1,0.0554939,0.5
18.04,1,0.0554324,1,0.0554324,0.5
18.06,1,0.055371,1,0.055371,0.5
18.08,1,0.0553097,1,0.0553097,0.5
18.1,1,0.0552486,1,0.0552486,0.5
18.12,1,0.0551876,1,0.0551876,0.5
18.14,1,0.0551268,1,0.0551268,0.5
18.16,1,0.0550661,1,0.0550661,0.5
18.18,1,0.0550055,1,0.0550055,0.5
18.2,1,0.0549451,1,0.054945,0.5
18.22,1,0.0548847,1,0.0548847,0.5
18.24,1,0.0548246,1,0.0548246,0.5
18.26,1,0.0547645,1,0.0547645,0.5
18.28,1,0.0547046,1,0.0547046,0.5
18.3,1,0.0546448,1,0.0546448,0.5
18.32,1,0.0545852,1,0.0545851,0.5
18.34,1,0.0545256,1,0.0545256,0.5
18.36,1,0.0544662,1,0.0544662,0.5
18.38,1,0.054407,1,0.054407,0.5
18.4,1,0.0543478,1,0.0543478,0.5
18.42,1,0.0542888,1,0.0542888,0.5
18.44,1,0.0542299,1,0.0542299,0.5
18.46,1,0.0541712,1,0.0541712,0.5
18.48,1,0.0541126,1,0.0541125,0.5
18.5,1,0.0540541,1,0.054054,0.5
18.52,1,0.0539957,1,0.0539957,0.5
18.54,1,0.0539374,1,0.0539374,0.5
18.56,1,0.0538793,1,0.0538793,0.5
18.58,1,0.0538213,1,0.0538213,0.5
18.6,1,0.0537634,1,0.0537634,0.5
18.62,1,0.0537057,1,0.0537057,0.5
18.64,1,0.0536481,1,0.0536481,0.5
18.66,1,0.0535906,1,0.0535906,0.5
18.68,1,0.0535332,1,0.0535332,0.5
18.7,1,0.0534759,1,0.0534759,0.5
18.72,1,0.0534188,1,0.0534188,0.5
18.74,1,0.0533618,1,0.0533618,0.5
18.76,1,0.0533049,1,0.0533049,0.5
18.78,1,0.0532481,1,0.0532481,0.5
18.8,1,0.0531915,1,0.0531915,0.5
18.82,1,0.053135,1,0.053135,0.5
18.84,1,0.0530786,1,0.0530786,0.5
18.86,1,0.0530223,1,0.0530223,0.5
18.88,1,0.0529661,1,0.0529661,0.5
18.9,1,0.0529101,1,0.05291,0.5
18.92,1,0.0528541,1,0.0528541,0.5
18.94,1,0.0527983,1,0.0527983,0.5
18.96,1,0.0527426,1,0.0527426,0.5
18.98,1,0.052687,1,0.052687,0.5
19,1,0.0526316,1,0.0526316,0.5
19.02,1,0.0525762,1,0.0525762,0.5
19.04,1,0.052521,1,0.052521,0.5
19.06,1,0.0524659,1,0.0524659,0.5
19.08,1,0.0524109,1,0.0524109,0.5
19.1,1,0.052356,1,0.052356,0.5
19.12,1,0.0523013,1,0.0523013,0.5
19.14,1,0.0522466,1,0.0522466,0.5
19.16,1,0.0521921,1,0.0521921,0.5
19.18,1,0.0521376,1,0.0521376,0.5
19.2,1,0.0520833,1,0.0520833,0.5
19.22,1,0.0520291,1,0.0520291,0.5
19.24,1,0.0519751,1,0.051975,0.5
19.26,1,0.0519211,1,0.0519211,0.5
19.28,1,0.0518672,1,0.0518672,0.5
19.3,1,0.0518135,1,0.0518135,0.5
19.32,1,0.0517598,1,0.0517598,0.5
19.34,1,0.0517063,1,0.0517063,0.5
19.36,1,0.0516529,1,0.0516529,0.5
19.38,1,0.0515996,1,0.0515996,0.5
19.4,1,0.0515464,1,0.0515464,0.5
19.42,1,0.0514933,1,0.0514933,0.5
19.44,1,0.0514403,1,0.0514403,0.5
19.46,1,0.0513875,1,0.0513875,0.5
19.48,1,0.0513347,1,0.0513347,0.5
19.5,1,0.0512821,1,0.051282,0.5
19.52,1,0.0512295,1,0.0512295,0.5
19.54,1,0.0511771,1,0.0511771,0.5
19.56,1,0.0511247,1,0.0511247,0.5
19.58,1,0.0510725,1,0.0510725,0.5
19.6,1,0.0510204,1,0.0510204,0.5
19.62,1,0.0509684,1,0.0509684,0.5
19.64,1,0.0509165,1,0.0509165,0.5
19.66,1,0.0508647,1,0.0508647,0.5
19.68,1,0.050813,1,0.050813,0.5
19.7,1,0.0507614,1,0.0507614,0.5
19.72,1,0.0507099,1,0.0507099,0.5
19.74,1,0.0506586,1,0.0506586,0.5
19.76,1,0.0506073,1,0.0506073,0.5
19.78,1,0.0505561,1,0.0505561,0.5
19.8,1,0.0505051,1,0.050505,0.5
19.82,1,0.0504541,1,0.0504541,0.5
19.84,1,0.0504032,1,0.0504032,0.5
19.86,1,0.0503525,1,0.0503525,0.5
19.88,1,0.0503018,1,0.0503018,0.5
19.9,1,0.0502513,1,0.0502513,0.5
19.92,1,0.0502008,1,0.0502008,0.5
19.94,1,0.0501505,1,0.0501505,0.5
19.96,1,0.0501002,1,0.0501002,0.5
19.98,1,0.0500501,1,0.05005,0.5
20,1,0.05,1,0.05,0.5
