r,phi,Phi,exact,Exact,s
2.28,0.781112,0.342593,0.781112,0.342593,0.5
2.3,0.784443,0.341062,0.784443,0.341062,0.5
2.32,0.787729,0.339538,0.787729,0.339538,0.5
2.34,0.790969,0.338021,0.790969,0.338021,0.5
2.36,0.794164,0.33651,0.794164,0.33651,0.5
2.38,0.797314,0.335006,0.797314,0.335006,0.5
2.4,0.800421,0.333509,0.800421,0.333509,0.5
2.42,0.803483,0.332018,0.803483,0.332018,0.5
2.44,0.806503,0.330534,0.806503,0.330534,0.5
2.46,0.80948,0.329057,0.80948,0.329057,0.5
2.48,0.812415,0.327587,0.812415,0.327587,0.5
2.5,0.815309,0.326124,0.815309,0.326124,0.5
2.52,0.818161,0.324667,0.818161,0.324667,0.5
2.54,0.820973,0.323218,0.820973,0.323218,0.5
2.56,0.823745,0.321775,0.823745,0.321775,0.5
2.58,0.826478,0.32034,0.826478,0.32034,0.5
2.6,0.829171,0.318912,0.829171,0.318912,0.5
2.62,0.831825,0.317491,0.831825,0.317491,0.5
2.64,0.834442,0.316076,0.834442,0.316076,0.5
2.66,0.837021,0.314669,0.837021,0.314669,0.5
2.68,0.839562,0.313269,0.839562,0.313269,0.5
2.7,0.842067,0.311877,0.842067,0.311877,0.5
2.72,0.844536,0.310491,0.844536,0.310491,0.5
2.74,0.846968,0.309113,0.846968,0.309113,0.5
2.76,0.849366,0.307741,0.849366,0.307741,0.5
2.78,0.851728,0.306377,0.851728,0.306377,0.5
2.8,0.854056,0.30502,0.854056,0.30502,0.5
2.82,0.85635,0.30367,0.85635,0.30367,0.5
2.84,0.85861,0.302327,0.85861,0.302327,0.5
2.86,0.860837,0.300992,0.860837,0.300992,0.5
2.88,0.863031,0.299664,0.863031,0.299664,0.5
2.9,0.865193,0.298342,0.865193,0.298342,0.5
2.92,0.867323,0.297028,0.867323,0.297028,0.5
2.94,0.869422,0.295722,0.869422,0.295722,0.5
2.96,0.871489,0.294422,0.871489,0.294422,0.5
2.98,0.873526,0.293129,0.873526,0.293129,0.5
3,0.875532,0.291844,0.875532,0.291844,0.5
3.02,0.877509,0.290566,0.877509,0.290566,0.5
3.04,0.879456,0.289295,0.879456,0.289295,0.5
3.06,0.881374,0.288031,0.881374,0.288031,0.5
3.08,0.883264,0.286774,0.883263,0.286774,0.5
3.1,0.885125,0.285524,0.885125,0.285524,0.5
3.12,0.886958,0.284281,0.886958,0.284281,0.5
3.14,0.888763,0.283046,0.888763,0.283046,0.5
3.16,0.890542,0.281817,0.890542,0.281817,0.5
3.18,0.892293,0.280595,0.892293,0.280595,0.5
3.2,0.894018,0.279381,0.894018,0.279381,0.5
3.22,0.895717,0.278173,0.895717,0.278173,0.5
3.24,0.897391,0.276972,0.897391,0.276972,0.5
3.26,0.899039,0.275779,0.899039,0.275779,0.5
3.28,0.900661,0.274592,0.900661,0.274592,0.5
3.3,0.90226,0.273412,0.90226,0.273412,0.5
3.32,0.903833,0.272239,0.903833,0.272239,0.5
3.34,0.905383,0.271073,0.905383,0.271073,0.5
3.36,0.90691,0.269914,0.90691,0.269914,0.5
3.38,0.908412,0.268761,0.908412,0.268761,0.5
3.4,0.909892,0.267615,0.909892,0.267615,0.5
3.42,0.911349,0.266476,0.911349,0.266476,0.5
3.44,0.912784,0.265344,0.912784,0.265344,0.5
3.46,0.914197,0.264219,0.914197,0.264219,0.5
3.48,0.915588,0.2631,0.915588,0.2631,0.5
3.5,0.916957,0.261988,0.916957,0.261988,0.5
3.52,0.918306,0.260882,0.918306,0.260882,0.5
3.54,0.919633,0.259783,0.919633,0.259783,0.5
