x,phi,k
0.61,0.46955,2
0.62,0.472892,2
0.63,0.476045,2
0.64,0.479008,2
0.65,0.481779,2
0.66,0.484358,2
0.67,0.486742,2
0.68,0.488932,2
0.69,0.490927,2
0.7,0.492725,2
0.71,0.494326,2
0.72,0.495729,2
0.73,0.496934,2
0.74,0.49794,2
0.75,0.498747,2
0.76,0.499355,2
0.77,0.499763,2
0.78,0.499971,2
0.79,0.499979,2
0.8,0.499787,2
0.81,0.499395,2
0.82,0.498803,2
0.83,0.498012,2
0.84,0.497022,2
0.85,0.495832,2
0.86,0.494445,2
0.87,0.49286,2
0.88,0.491077,2
0.89,0.489098,2
0.9,0.486924,2
0.91,0.484555,2
0.92,0.481991,2
0.93,0.479236,2
0.94,0.476288,2
0.95,0.47315,2
0.96,0.469823,2
0.97,0.466308,2
0.98,0.462606,2
0.99,0.458719,2
1,0.454649,2
0,0,3
0.01,0.0099985,3
0.02,0.019988,3
0.03,0.0299595,3
0.04,0.0399041,3
0.05,0.0498127,3
0.06,0.0596765,3
0.07,0.0694866,3
0.08,0.0792342,3
0.09,0.0889105,3
0.1,0.0985067,3
0.11,0.108014,3
0.12,0.117425,3
0.13,0.126729,3
0.14,0.13592,3
0.15,0.144989,3
0.16,0.153926,3
0.17,0.162726,3
0.18,0.171379,3
0.19,0.179877,3
0.2,0.188214,3
0.21,0.196382,3
0.22,0.204372,3
0.23,0.212179,3
0.24,0.219795,3
0.25,0.227213,3
0.26,0.234426,3
0.27,0.241429,3
0.28,0.248214,3
0.29,0.254776,3
0.3,0.261109,3
0.31,0.267207,3
0.32,0.273064,3
0.33,0.278675,3
0.34,0.284036,3
0.35,0.289141,3
0.36,0.293986,3
0.37,0.298566,3
0.38,0.302878,3
0.39,0.306917,3
0.4,0.31068,3
0.41,0.314163,3
0.42,0.317363,3
0.43,0.320278,3
0.44,0.322905,3
0.45,0.325241,3
0.46,0.327285,3
0.47,0.329033,3
0.48,0.330486,3
0.49,0.331641,3
0.5,0.332498,3
0.51,0.333056,3
0.52,0.333314,3
0.53,0.333272,3
0.54,0.33293,3
0.55,0.332288,3
0.56,0.331348,3
0.57,0.330109,3
0.58,0.328573,3
0.59,0.326741,3
0.6,0.324616,3
0.61,0.322198,3
0.62,0.31949,3
0.63,0.316495,3
0.64,0.313215,3
0.65,0.309653,3
0.66,0.305813,3
0.67,0.301697,3
0.68,0.29731,3
0.69,0.292655,3
0.7,0.287736,3
0.71,0.282559,3
0.72,0.277128,3
0.73,0.271447,3
0.74,0.265522,3
0.75,0.259358,3
0.76,0.25296,3
0.77,0.246335,3
0.78,0.239488,3
0.79,0.232426,3
0.8,0.225154,3
0.81,0.21768,3
0.82,0.21001,3
0.83,0.202151,3
0.84,0.19411,3
0.85,0.185895,3
0.86,0.177512,3
0.87,0.168969,3
0.88,0.160274,3
0.89,0.151435,3
0.9,0.14246,3
0.91,0.133356,3
0.92,0.124133,3
0.93,0.114798,3
0.94,0.105359,3
0.95,0.095826,3
0.96,0.0862065,3
0.97,0.0765093,3
0.98,0.0667433,3
0.99,0.0569173,3
1,0.04704,3
0,0,4
0.01,0.00999733,4
0.02,0.0199787,4
0.03,0.0299281,4
0.04,0.0398296,4
0.05,0.0496673,4
0.06,0.0594257,4
0.07,0.0690889,4
0.08,0.0786416,4
0.09,0.0880686,4
0.1,0.0973546,4
0.11,0.106485,4
0.12,0.115445,4
0.13,0.12422,4
0.14,0.132797,4
0.15,0.141161,4
0.16,0.149299,4
0.17,0.157198,4
0.18,0.164846,4
0.19,0.17223,4
0.2,0.179339,4
0.21,0.186161,4
0.22,0.192685,4
0.23,0.1989,4
0.24,0.204798,4
0.25,0.210368,4
0.26,0.215601,4
0.27,0.220489,4
0.28,0.225025,4
0.29,0.229201,4
0.3,0.23301,4
0.31,0.236446,4
0.32,0.239504,4
0.33,0.242179,4
0.34,0.244466,4
0.35,0.246362,4
0.36,0.247865,4
0.37,0.24897,4
0.38,0.249678,4
0.39,0.249985,4
0.4,0.249893,4
0.41,0.249402,4
0.42,0.248511,4
0.43,0.247222,4
0.44,0.245539,4
0.45,0.243462,4
0.46,0.240996,4
0.47,0.238144,4
0.48,0.234911,4
0.49,0.231303,4
0.5,0.227324,4
0.51,0.222982,4
0.52,0.218283,4
0.53,0.213235,4
0.54,0.207846,4
0.55,0.202124,4
0.56,0.196079,4
0.57,0.18972,4
0.58,0.183058,4
0.59,0.176103,4
0.6,0.168866,4
0.61,0.161359,4
0.62,0.153594,4
0.63,0.145583,4
0.64,0.137339,4
0.65,0.128875,4
0.66,0.120206,4
0.67,0.111344,4
0.68,0.102304,4
0.69,0.0930998,4
0.7,0.0837471,4
0.71,0.0742604,4
0.72,0.0646549,4
0.73,0.0549459,4
0.74,0.0451491,4
0.75,0.03528,4
0.76,0.0253545,4
0.77,0.0153884,4
0.78,0.00539776,4
0.79,-0.00460156,4
0.8,-0.0145935,4
0.81,-0.0245621,4
0.82,-0.0344914,4
0.83,-0.0443656,4
0.84,-0.0541688,4
0.85,-0.0638853,4
0.86,-0.0734996,4
0.87,-0.0829963,4
0.88,-0.0923602,4
0.89,-0.101576,4
0.9,-0.11063,4
0.91,-0.119507,4
0.92,-0.128192,4
0.93,-0.136673,4
0.94,-0.144935,4
0.95,-0.152964,4
0.96,-0.16075,4
0.97,-0.168278,4
0.98,-0.175537,4
0.99,-0.182515,4
1,-0.189201,4
0,0,5
0.01,0.00999583,5
0.02,0.0199667,5
0.03,0.0298876,5
0.04,0.0397339,5
0.05,0.0494808,5
0.06,0.059104,5
0.07,0.0685796,5
0.08,0.0778837,5
0.09,0.0869931,5
0.1,0.0958851,5
0.11,0.104537,5
0.12,0.112928,5
0.13,0.121037,5
0.14,0.128844,5
0.15,0.136328,5
0.16,0.143471,5
0.17,0.150256,5
0.18,0.156665,5
0.19,0.162683,5
0.2,0.168294,5
0.21,0.173485,5
0.22,0.178241,5
0.23,0.182553,5
0.24,0.186408,5
0.25,0.189797,5
0.26,0.192712,5
0.27,0.195145,5
0.28,0.19709,5
0.29,0.198543,5
0.3,0.199499,5
0.31,0.199957,5
0.32,0.199915,5
0.33,0.199373,5
0.34,0.198333,5
0.35,0.196797,5
0.36,0.19477,5
0.37,0.192255,5
0.38,0.18926,5
0.39,0.185792,5
0.4,0.181859,5
0.41,0.177472,5
0.42,0.172642,5
0.43,0.16738,5
0.44,0.161699,5
0.45,0.155615,5
0.46,0.149141,5
0.47,0.142295,5
0.48,0.135093,5
0.49,0.127553,5
0.5,0.119694,5
0.51,0.111537,5
0.52,0.1031,5
0.53,0.0944061,5
0.54,0.085476,5
0.55,0.0763322,5
0.56,0.0669977,5
0.57,0.0574956,5
0.58,0.0478499,5
0.59,0.0380846,5
0.6,0.028224,5
0.61,0.018293,5
0.62,0.00831616,5
0.63,-0.00168142,5
0.64,-0.0116748,5
0.65,-0.021639,5
0.66,-0.0315491,5
0.67,-0.0413804,5
0.68,-0.0511082,5
0.69,-0.0607083,5
0.7,-0.0701566,5
0.71,-0.0794296,5
0.72,-0.0885041,5
0.73,-0.0973573,5
0.74,-0.105967,5
0.75,-0.114312,5
0.76,-0.122372,5
0.77,-0.130125,5
0.78,-0.137553,5
0.79,-0.144638,5
0.8,-0.15136,5
0.81,-0.157705,5
0.82,-0.163655,5
0.83,-0.169197,5
0.84,-0.174315,5
0.85,-0.178998,5
0.86,-0.183233,5
0.87,-0.18701,5
0.88,-0.19032,5
0.89,-0.193155,5
0.9,-0.195506,5
0.91,-0.197369,5
0.92,-0.198738,5
0.93,-0.199611,5
0.94,-0.199985,5
0.95,-0.199859,5
0.96,-0.199233,5
0.97,-0.198109,5
0.98,-0.196491,5
0.99,-0.194381,5
1,-0.191785,5
