x,y,M,S
-0.984252,-0.590551,-0.0147052,0
-0.984252,-0.574803,-0.0146702,0
-0.984252,-0.559055,-0.0146357,0
-0.984252,-0.543307,-0.0146017,0
-0.984252,-0.527559,-0.0145682,0
-0.984252,-0.511811,-0.0145353,0
-0.984252,-0.496063,-0.014503,0
-0.984252,-0.480315,-0.0144712,0
-0.984252,-0.464567,-0.0144401,0
-0.984252,-0.448819,-0.0144097,0
-0.984252,-0.433071,-0.0143799,0
-0.984252,-0.417323,-0.0143509,0
-0.984252,-0.401575,-0.0143226,0
-0.984252,-0.385827,-0.0142951,0
-0.984252,-0.370079,-0.0142684,0
-0.984252,-0.354331,-0.0142426,0
-0.984252,-0.338583,-0.0142176,0
-0.984252,-0.322835,-0.0141936,0
-0.984252,-0.307087,-0.0141704,0
-0.984252,-0.291339,-0.0141482,0
-0.984252,-0.275591,-0.014127,0
-0.984252,-0.259843,-0.0141068,0
-0.984252,-0.244094,-0.0140877,0
-0.984252,-0.228346,-0.0140696,0
-0.984252,-0.212598,-0.0140526,0
-0.984252,-0.19685,-0.0140367,0
-0.984252,-0.181102,-0.0140219,0
-0.984252,-0.165354,-0.0140083,0
-0.984252,-0.149606,-0.0139959,0
-0.984252,-0.133858,-0.0139846,0
-0.984252,-0.11811,-0.0139746,0
-0.984252,-0.102362,-0.0139658,0
-0.984252,-0.0866142,-0.0139582,0
-0.984252,-0.0708661,-0.0139519,0
-0.984252,-0.0551181,-0.0139468,0
-0.984252,-0.0393701,-0.013943,0
-0.984252,-0.023622,-0.0139404,0
-0.984252,-0.00787402,-0.0139392,0
-0.984252,0.00787402,-0.0139392,0
-0.984252,0.023622,-0.0139404,0
-0.984252,0.0393701,-0.013943,0
-0.984252,0.0551181,-0.0139468,0
-0.984252,0.0708661,-0.0139519,0
-0.984252,0.0866142,-0.0139582,0
-0.984252,0.102362,-0.0139658,0
-0.984252,0.11811,-0.0139746,0
-0.984252,0.133858,-0.0139846,0
-0.984252,0.149606,-0.0139959,0
-0.984252,0.165354,-0.0140083,0
-0.984252,0.181102,-0.0140219,0
-0.984252,0.19685,-0.0140367,0
-0.984252,0.212598,-0.0140526,0
-0.984252,0.228346,-0.0140696,0
-0.984252,0.244094,-0.0140877,0
-0.984252,0.259843,-0.0141068,0
-0.984252,0.275591,-0.014127,0
-0.984252,0.291339,-0.0141482,0
-0.984252,0.307087,-0.0141704,0
-0.984252,0.322835,-0.0141936,0
-0.984252,0.338583,-0.0142176,0
-0.984252,0.354331,-0.0142426,0
-0.984252,0.370079,-0.0142684,0
-0.984252,0.385827,-0.0142951,0
-0.984252,0.401575,-0.0143226,0
-0.984252,0.417323,-0.0143509,0
-0.984252,0.433071,-0.0143799,0
-0.984252,0.448819,-0.0144097,0
-0.984252,0.464567,-0.0144401,0
-0.984252,0.480315,-0.0144712,0
-0.984252,0.496063,-0.014503,0
-0.984252,0.511811,-0.0145353,0
-0.984252,0.527559,-0.0145682,0
-0.984252,0.543307,-0.0146017,0
-0.984252,0.559055,-0.0146357,0
-0.984252,0.574803,-0.0146702,0
-0.984252,0.590551,-0.0147052,0
-0.984252,0.606299,-0.0147406,0
-0.984252,0.622047,-0.0147764,0
-0.984252,0.637795,-0.0148126,0
-0.984252,0.653543,-0.0148492,0
-0.984252,0.669291,-0.0148861,0
-0.984252,0.685039,-0.0149234,0
-0.984252,0.700787,-0.0149609,0
-0.984252,0.716535,-0.0149987,0
-0.984252,0.732283,-0.0150368,0
-0.984252,0.748031,-0.0150751,0
-0.984252,0.76378,-0.0151137,0
-0.984252,0.779528,-0.0151524,0
-0.984252,0.795276,-0.0151913,0
-0.984252,0.811024,-0.0152304,0
-0.984252,0.826772,-0.0152696,0
-0.984252,0.84252,-0.0153089,0
-0.984252,0.858268,-0.0153484,0
-0.984252,0.874016,-0.015388,0
-0.984252,0.889764,-0.0154276,0
-0.984252,0.905512,-0.0154673,0
-0.984252,0.92126,-0.0155071,0
-0.984252,0.937008,-0.0155469,0
-0.984252,0.952756,-0.0155868,0
-0.984252,0.968504,-0.0156267,0
-0.984252,0.984252,-0.0156665,0
-0.984252,1,-0.0157064,0
-0.968504,-1,-0.0156671,0
-0.968504,-0.984252,-0.0156267,0
-0.968504,-0.968504,-0.0155862,0
-0.968504,-0.952756,-0.0155458,0
-0.968504,-0.937008,-0.0155054,0
-0.968504,-0.92126,-0.015465,0
-0.968504,-0.905512,-0.0154247,0
-0.968504,-0.889764,-0.0153843,0
-0.968504,-0.874016,-0.0153441,0
-0.968504,-0.858268,-0.0153039,0
-0.968504,-0.84252,-0.0152638,0
-0.968504,-0.826772,-0.0152239,0
-0.968504,-0.811024,-0.015184,0
-0.968504,-0.795276,-0.0151443,0
-0.968504,-0.779528,-0.0151047,0
-0.968504,-0.76378,-0.0150653,0
