t,y,abs_err,rel_err,h
0.46875,0.902103,0.00663069,0.00729663,0.03125
0.5,0.888889,0.00706796,0.00788873,0.03125
0.53125,0.875,0.00749712,0.00849536,0.03125
0.5625,0.860473,0.00791752,0.00911746,0.03125
0.59375,0.845348,0.00832846,0.00975599,0.03125
0.625,0.829663,0.00872924,0.0104119,0.03125
0.65625,0.813458,0.00911917,0.0110861,0.03125
0.6875,0.796776,0.00949755,0.0117796,0.03125
0.71875,0.779658,0.00986367,0.0124932,0.03125
0.75,0.762146,0.0102168,0.013228,0.03125
0.78125,0.744283,0.0105563,0.0139849,0.03125
0.8125,0.726112,0.0108815,0.0147648,0.03125
0.84375,0.707676,0.0111917,0.0155686,0.03125
0.875,0.689016,0.0114863,0.0163972,0.03125
0.90625,0.670176,0.0117646,0.0172517,0.03125
0.9375,0.651197,0.0120261,0.0181329,0.03125
0.96875,0.632118,0.0122702,0.0190417,0.03125
1,0.612982,0.0124964,0.019979,0.03125
1.03125,0.593826,0.0127043,0.0209458,0.03125
1.0625,0.574689,0.0128933,0.0219429,0.03125
1.09375,0.555608,0.0130631,0.0229713,0.03125
1.125,0.536617,0.0132135,0.0240318,0.03125
1.15625,0.517752,0.013344,0.0251254,0.03125
1.1875,0.499044,0.0134546,0.0262529,0.03125
1.21875,0.480525,0.013545,0.0274152,0.03125
1.25,0.462224,0.0136153,0.0286132,0.03125
1.28125,0.444168,0.0136653,0.0298477,0.03125
1.3125,0.426384,0.0136951,0.0311197,0.03125
1.34375,0.408896,0.0137049,0.0324298,0.03125
1.375,0.391725,0.0136947,0.0337791,0.03125
1.40625,0.374893,0.0136649,0.0351682,0.03125
1.4375,0.358418,0.0136158,0.0365981,0.03125
1.46875,0.342318,0.0135477,0.0380696,0.03125
1.5,0.326606,0.013461,0.0395835,0.03125
1.53125,0.311296,0.0133564,0.0411405,0.03125
1.5625,0.2964,0.0132342,0.0427414,0.03125
1.59375,0.281927,0.0130952,0.0443871,0.03125
1.625,0.267886,0.01294,0.0460783,0.03125
1.65625,0.254283,0.0127693,0.0478158,0.03125
1.6875,0.241121,0.0125838,0.0496002,0.03125
1.71875,0.228406,0.0123844,0.0514324,0.03125
1.75,0.216138,0.0121719,0.053313,0.03125
1.78125,0.204318,0.0119471,0.0552427,0.03125
1.8125,0.192945,0.0117109,0.0572223,0.03125
1.84375,0.182016,0.0114642,0.0592524,0.03125
1.875,0.171529,0.0112079,0.0613336,0.03125
1.90625,0.161479,0.010943,0.0634667,0.03125
1.9375,0.151859,0.0106704,0.0656523,0.03125
1.96875,0.142665,0.0103911,0.0678908,0.03125
2,0.133887,0.0101059,0.0701831,0.03125
2.03125,0.125519,0.00981581,0.0725296,0.03125
2.0625,0.117552,0.00952174,0.0749309,0.03125
2.09375,0.109975,0.00922459,0.0773876,0.03125
2.125,0.10278,0.00892523,0.0799001,0.03125
2.15625,0.0959545,0.00862453,0.082469,0.03125
2.1875,0.0894888,0.00832331,0.0850949,0.03125
2.21875,0.0833714,0.00802236,0.087778,0.03125
2.25,0.0775908,0.00772247,0.090519,0.03125
2.28125,0.0721352,0.00742435,0.0933182,0.03125
2.3125,0.0669927,0.00712871,0.0961761,0.03125
2.34375,0.0621514,0.00683619,0.0990929,0.03125
2.375,0.0575993,0.00654741,0.102069,0.03125
2.40625,0.0533244,0.00626294,0.105105,0.03125
2.4375,0.0493146,0.00598331,0.108201,0.03125
2.46875,0.0455582,0.005709,0.111358,0.03125
2.5,0.0420435,0.00544046,0.114575,0.03125
2.53125,0.0387589,0.00517808,0.117853,0.03125
2.5625,0.035693,0.00492222,0.121192,0.03125
2.59375,0.0328347,0.00467318,0.124592,0.03125
2.625,0.0301733,0.00443124,0.128054,0.03125
2.65625,0.0276982,0.00419662,0.131577,0.03125
2.6875,0.025399,0.00396951,0.135162,0.03125
2.71875,0.0232659,0.00375005,0.138809,0.03125
2.75,0.0212892,0.00353837,0.142518,0.03125
2.78125,0.0194597,0.00333452,0.146288,0.03125
2.8125,0.0177683,0.00313856,0.150121,0.03125
2.84375,0.0162067,0.0029505,0.154016,0.03125
2.875,0.0147664,0.00277031,0.157972,0.03125
2.90625,0.0134398,0.00259795,0.16199,0.03125
2.9375,0.0122192,0.00243334,0.16607,0.03125
2.96875,0.0110975,0.00227639,0.170212,0.03125
3,0.0100679,0.00212697,0.174415,0.03125
3.03125,0.00912406,0.00198494,0.178679,0.03125
0,1,0,0,0.015625
0.015625,1,0,0,0.015625
0.03125,0.999756,0.000122078,0.000122093,0.015625
0.046875,0.999268,0.000244141,0.00024426,0.015625
0.0625,0.998536,0.000366159,0.000366561,0.015625
0.078125,0.997561,0.000488102,0.000489056,0.015625
0.09375,0.996343,0.00060994,0.000611805,0.015625
0.109375,0.994883,0.000731644,0.000734866,0.015625
0.125,0.993183,0.000853181,0.0008583,0.015625
0.140625,0.991243,0.000974523,0.000982166,0.015625
0.15625,0.989065,0.00109564,0.00110652,0.015625
0.171875,0.986651,0.00121649,0.00123143,0.015625
0.1875,0.984001,0.00133706,0.00135695,0.015625
0.203125,0.981118,0.0014573,0.00148314,0.015625
0.21875,0.978004,0.00157719,0.00161006,0.015625
0.234375,0.974661,0.00169669,0.00173778,0.015625
0.25,0.971092,0.00181577,0.00186634,0.015625
0.265625,0.967299,0.0019344,0.0019958,0.015625
0.28125,0.963284,0.00205254,0.00212624,0.015625
0.296875,0.959051,0.00217016,0.00225771,0.015625
0.3125,0.954602,0.00228722,0.00239026,0.015625
0.328125,0.949941,0.00240368,0.00252396,0.015625
