t,x,y,u,v,theta
0.12059,0.96,0.658468,7.96084,4.86887,0.65
0.121846,0.97,0.664576,7.96084,4.85655,0.65
0.123103,0.98,0.670669,7.96084,4.84423,0.65
0.124359,0.99,0.676746,7.96084,4.8319,0.65
0.125615,1,0.682808,7.96084,4.81958,0.65
0.126871,1.01,0.688854,7.96084,4.80726,0.65
0.128127,1.02,0.694885,7.96084,4.79494,0.65
0.129383,1.03,0.700901,7.96084,4.78261,0.65
0.13064,1.04,0.7069,7.96084,4.77029,0.65
0.131896,1.05,0.712885,7.96084,4.75797,0.65
0.133152,1.06,0.718854,7.96084,4.74564,0.65
0.134408,1.07,0.724807,7.96084,4.73332,0.65
0.135664,1.08,0.730745,7.96084,4.721,0.65
0.13692,1.09,0.736668,7.96084,4.70868,0.65
0.138176,1.1,0.742575,7.96084,4.69635,0.65
0.139433,1.11,0.748467,7.96084,4.68403,0.65
0.140689,1.12,0.754343,7.96084,4.67171,0.65
0.141945,1.13,0.760203,7.96084,4.65939,0.65
0.143201,1.14,0.766048,7.96084,4.64706,0.65
0.144457,1.15,0.771878,7.96084,4.63474,0.65
0.145713,1.16,0.777692,7.96084,4.62242,0.65
0.146969,1.17,0.783491,7.96084,4.61009,0.65
0.148226,1.18,0.789274,7.96084,4.59777,0.65
0.149482,1.19,0.795042,7.96084,4.58545,0.65
0.150738,1.2,0.800794,7.96084,4.57313,0.65
0.151994,1.21,0.806531,7.96084,4.5608,0.65
0.15325,1.22,0.812252,7.96084,4.54848,0.65
0.154506,1.23,0.817958,7.96084,4.53616,0.65
0.155762,1.24,0.823649,7.96084,4.52383,0.65
0.157019,1.25,0.829323,7.96084,4.51151,0.65
0.158275,1.26,0.834983,7.96084,4.49919,0.65
0.159531,1.27,0.840627,7.96084,4.48687,0.65
0.160787,1.28,0.846255,7.96084,4.47454,0.65
0.162043,1.29,0.851868,7.96084,4.46222,0.65
0.163299,1.3,0.857466,7.96084,4.4499,0.65
0.164556,1.31,0.863048,7.96084,4.43757,0.65
0.165812,1.32,0.868614,7.96084,4.42525,0.65
0.167068,1.33,0.874165,7.96084,4.41293,0.65
0.168324,1.34,0.879701,7.96084,4.40061,0.65
0.16958,1.35,0.885221,7.96084,4.38828,0.65
0.170836,1.36,0.890725,7.96084,4.37596,0.65
0.172092,1.37,0.896214,7.96084,4.36364,0.65
0.173349,1.38,0.901688,7.96084,4.35131,0.65
0.174605,1.39,0.907146,7.96084,4.33899,0.65
0.175861,1.4,0.912589,7.96084,4.32667,0.65
0.177117,1.41,0.918016,7.96084,4.31435,0.65
0.178373,1.42,0.923428,7.96084,4.30202,0.65
0.179629,1.43,0.928824,7.96084,4.2897,0.65
0.180885,1.44,0.934205,7.96084,4.27738,0.65
0.182142,1.45,0.93957,7.96084,4.26505,0.65
0.183398,1.46,0.94492,7.96084,4.25273,0.65
0.184654,1.47,0.950254,7.96084,4.24041,0.65
0.18591,1.48,0.955573,7.96084,4.22809,0.65
0.187166,1.49,0.960877,7.96084,4.21576,0.65
0.188422,1.5,0.966164,7.96084,4.20344,0.65
0.189679,1.51,0.971437,7.96084,4.19112,0.65
0.190935,1.52,0.976694,7.96084,4.17879,0.65
0.192191,1.53,0.981935,7.96084,4.16647,0.65
0.193447,1.54,0.987161,7.96084,4.15415,0.65
0.194703,1.55,0.992372,7.96084,4.14183,0.65
0.195959,1.56,0.997567,7.96084,4.1295,0.65
0.197215,1.57,1.00275,7.96084,4.11718,0.65
0.198472,1.58,1.00791,7.96084,4.10486,0.65
0.199728,1.59,1.01306,7.96084,4.09254,0.65
0.200984,1.6,1.01819,7.96084,4.08021,0.65
0.20224,1.61,1.02331,7.96084,4.06789,0.65
0.203496,1.62,1.02841,7.96084,4.05557,0.65
0.204752,1.63,1.0335,7.96084,4.04324,0.65
0.206008,1.64,1.03857,7.96084,4.03092,0.65
0.207265,1.65,1.04363,7.96084,4.0186,0.65
0.208521,1.66,1.04867,7.96084,4.00628,0.65
0.209777,1.67,1.05369,7.96084,3.99395,0.65
0.211033,1.68,1.0587,7.96084,3.98163,0.65
0.212289,1.69,1.06369,7.96084,3.96931,0.65
0.213545,1.7,1.06867,7.96084,3.95698,0.65
0.214802,1.71,1.07363,7.96084,3.94466,0.65
0.216058,1.72,1.07858,7.96084,3.93234,0.65
0.217314,1.73,1.08351,7.96084,3.92002,0.65
0.21857,1.74,1.08843,7.96084,3.90769,0.65
0.219826,1.75,1.09333,7.96084,3.89537,0.65
0.221082,1.76,1.09822,7.96084,3.88305,0.65
0.222338,1.77,1.10309,7.96084,3.87072,0.65
0.223595,1.78,1.10794,7.96084,3.8584,0.65
0.224851,1.79,1.11278,7.96084,3.84608,0.65
0.226107,1.8,1.1176,7.96084,3.83376,0.65
0.227363,1.81,1.12241,7.96084,3.82143,0.65
0.228619,1.82,1.1272,7.96084,3.80911,0.65
0.229875,1.83,1.13198,7.96084,3.79679,0.65
0.231131,1.84,1.13674,7.96084,3.78446,0.65
0.232388,1.85,1.14149,7.96084,3.77214,0.65
0.233644,1.86,1.14622,7.96084,3.75982,0.65
0.2349,1.87,1.15093,7.96084,3.7475,0.65
0.236156,1.88,1.15563,7.96084,3.73517,0.65
0.237412,1.89,1.16032,7.96084,3.72285,0.65
0.238668,1.9,1.16499,7.96084,3.71053,0.65
0.239924,1.91,1.16964,7.96084,3.6982,0.65
0.241181,1.92,1.17428,7.96084,3.68588,0.65
0.242437,1.93,1.1789,7.96084,3.67356,0.65
0.243693,1.94,1.18351,7.96084,3.66124,0.65
0.244949,1.95,1.1881,7.96084,3.64891,0.65
0.246205,1.96,1.19267,7.96084,3.63659,0.65
0.247461,1.97,1.19723,7.96084,3.62427,0.65
0.248718,1.98,1.20178,7.96084,3.61195,0.65
0.249974,1.99,1.20631,7.96084,3.59962,0.65
0.25123,2,1.21082,7.96084,3.5873,0.65
0.252486,2.01,1.21532,7.96084,3.57498,0.65
0.253742,2.02,1.2198,7.96084,3.56265,0.65
