t,x,y,method
+3.235840e+01,+1.271533e+02,+8.041622e+00,Euler
+3.267256e+01,+1.296796e+02,-3.190476e+01,Euler
+3.298672e+01,+1.196565e+02,-7.264482e+01,Euler
+3.330088e+01,+9.683441e+01,-1.102360e+02,Euler
+3.361504e+01,+6.220275e+01,-1.406574e+02,Euler
+3.392920e+01,+1.801392e+01,-1.601990e+02,Euler
+3.424336e+01,-3.231408e+01,-1.658582e+02,Euler
+3.455752e+01,-8.441999e+01,-1.557065e+02,Euler
+3.487168e+01,-1.333366e+02,-1.291852e+02,Euler
+3.518584e+01,-1.739213e+02,-8.729622e+01,Euler
+3.550000e+01,-2.013462e+02,-3.265722e+01,Euler
+3.581416e+01,-2.116058e+02,+3.059757e+01,Euler
+3.612832e+01,-2.019933e+02,+9.707550e+01,Euler
+3.644247e+01,-1.714961e+02,+1.605336e+02,Euler
+3.675663e+01,-1.210630e+02,+2.144107e+02,Euler
+3.707079e+01,-5.370393e+01,+2.524437e+02,Euler
+3.738495e+01,+2.560360e+01,+2.693153e+02,Euler
+3.769911e+01,+1.102115e+02,+2.612717e+02,Euler
+3.801327e+01,+1.922924e+02,+2.266478e+02,Euler
+3.832743e+01,+2.634959e+02,+1.662373e+02,Euler
+3.864159e+01,+3.157209e+02,+8.345761e+01,Euler
+3.895575e+01,+3.419399e+02,-1.572904e+01,Euler
+3.926991e+01,+3.369985e+02,-1.231526e+02,Euler
+3.958407e+01,+2.983089e+02,-2.290238e+02,Euler
+3.989823e+01,+2.263590e+02,-3.227403e+02,Euler
+4.021239e+01,+1.249671e+02,-3.938531e+02,Euler
+4.052655e+01,+1.234509e+00,-4.331127e+02,Euler
+4.084070e+01,-1.348319e+02,-4.335005e+02,Euler
+4.115486e+01,-2.710201e+02,-3.911418e+02,Euler
+4.146902e+01,-3.939009e+02,-3.059984e+02,Euler
+4.178318e+01,-4.900331e+02,-1.822508e+02,Euler
+4.209734e+01,-5.472889e+02,-2.830232e+01,Euler
+4.241150e+01,-5.561803e+02,+1.436336e+02,Euler
+4.272566e+01,-5.110565e+02,+3.183628e+02,Euler
+4.303982e+01,-4.110399e+02,+4.789159e+02,Euler
+4.335398e+01,-2.605840e+02,+6.080479e+02,Euler
+4.366814e+01,-6.956016e+01,+6.899128e+02,Euler
+4.398230e+01,+1.471823e+02,+7.117657e+02,Euler
+4.429646e+01,+3.707901e+02,+6.655271e+02,Euler
+4.461062e+01,+5.798716e+02,+5.490399e+02,Euler
+4.492477e+01,+7.523576e+02,+3.668679e+02,Euler
+4.523893e+01,+8.676125e+02,+1.305077e+02,Euler
+4.555309e+01,+9.086127e+02,-1.420608e+02,Euler
+4.586725e+01,+8.639830e+02,-4.275099e+02,Euler
+4.618141e+01,+7.296768e+02,-6.989382e+02,Euler
+4.649557e+01,+5.100989e+02,-9.281729e+02,Euler
+4.680973e+01,+2.185048e+02,-1.088425e+03,Euler
+4.712389e+01,-1.234340e+02,-1.157071e+03,Euler
+4.743805e+01,-4.869385e+02,-1.118293e+03,Euler
+4.775221e+01,-8.382604e+02,-9.653164e+02,Euler
+4.806637e+01,-1.141524e+03,-7.019691e+02,Euler
