t,x,y,vx,vy,E,L
18.2412,3.36656,-1.14702,0.294407,0.225082,-0.212498,-1.09544
19.201,3.61552,-0.920548,0.225242,0.245635,-0.212499,-1.09544
20.3204,3.82498,-0.635979,0.149729,0.261497,-0.212499,-1.09544
21.6072,3.96415,-0.29226,0.0671205,0.271389,-0.212499,-1.09544
23.029,3.99615,0.0962087,-0.021971,0.273595,-0.212499,-1.09544
24.4854,3.89741,0.490802,-0.114057,0.266706,-0.2125,-1.09544
25.8396,3.68297,0.842409,-0.203546,0.250877,-0.2125,-1.09544
27.009,3.39704,1.12326,-0.286589,0.227706,-0.212499,-1.09544
27.9865,3.08042,1.33258,-0.362446,0.198822,-0.212499,-1.09544
28.7984,2.75845,1.48109,-0.431837,0.165257,-0.212499,-1.09544
29.4755,2.44478,1.58083,-0.495681,0.127559,-0.212498,-1.09544
30.0444,2.14631,1.64209,-0.554695,0.0860016,-0.212498,-1.09544
30.5258,1.86629,1.67303,-0.609347,0.0407142,-0.212497,-1.09544
30.9362,1.60597,1.68008,-0.659892,-0.00823964,-0.212497,-1.09544
31.2884,1.36546,1.66826,-0.706419,-0.0608216,-0.212497,-1.09544
31.5924,1.14427,1.64153,-0.748884,-0.116992,-0.212496,-1.09544
31.8564,0.941538,1.60302,-0.787141,-0.176691,-0.212496,-1.09544
32.0869,0.756246,1.55525,-0.820964,-0.239825,-0.212496,-1.09544
32.2891,0.587286,1.50024,-0.850063,-0.306255,-0.212496,-1.09544
32.4674,0.433536,1.43961,-0.874098,-0.375788,-0.212496,-1.09544
32.6254,0.293897,1.37466,-0.8927,-0.448165,-0.212495,-1.09544
32.7661,0.167315,1.30644,-0.905478,-0.523058,-0.212495,-1.09544
32.8921,0.0527915,1.23582,-0.912042,-0.600061,-0.212495,-1.09544
33.0054,-0.0506058,1.16347,-0.912011,-0.67869,-0.212495,-1.09544
33.1078,-0.143741,1.08994,-0.905037,-0.758379,-0.212495,-1.09544
33.2009,-0.227411,1.01565,-0.890816,-0.838481,-0.212495,-1.09544
33.286,-0.302344,0.940969,-0.869111,-0.918277,-0.212495,-1.09544
33.3642,-0.369201,0.866143,-0.839764,-0.996979,-0.212495,-1.09544
33.4364,-0.428584,0.791379,-0.802716,-1.07375,-0.212495,-1.09544
33.5035,-0.481031,0.716825,-0.758017,-1.14769,-0.212495,-1.09544
33.5663,-0.527025,0.64259,-0.70584,-1.21792,-0.212495,-1.09544
33.6254,-0.566996,0.568743,-0.64649,-1.28353,-0.212495,-1.09544
33.6812,-0.601322,0.495326,-0.580403,-1.34363,-0.212495,-1.09544
33.7345,-0.630333,0.422357,-0.508147,-1.39739,-0.212495,-1.09544
33.7855,-0.654314,0.349835,-0.430418,-1.44406,-0.212495,-1.09544
33.8347,-0.673508,0.277745,-0.348023,-1.48295,-0.212495,-1.09544
33.8826,-0.688115,0.206057,-0.261871,-1.51353,-0.212495,-1.09544
33.9293,-0.698297,0.134734,-0.172945,-1.53536,-0.212495,-1.09544
33.9753,-0.70418,0.0637343,-0.0822848,-1.54818,-0.212495,-1.09544
34.021,-0.705853,-0.00699027,0.00904186,-1.55185,-0.212495,-1.09544
34.0664,-0.70337,-0.0774882,0.0999659,-1.54641,-0.212495,-1.09544
34.1121,-0.696752,-0.147808,0.189442,-1.53202,-0.212495,-1.09544
34.1582,-0.685988,-0.217996,0.276475,-1.50902,-0.212495,-1.09544
34.2052,-0.671032,-0.288094,0.360138,-1.47786,-0.212495,-1.09544
34.2532,-0.651808,-0.358138,0.439598,-1.43908,-0.212495,-1.09544
34.3026,-0.628208,-0.428157,0.514121,-1.39336,-0.212495,-1.09544
34.3538,-0.600089,-0.498167,0.583091,-1.34141,-0.212495,-1.09544
34.4071,-0.56728,-0.568175,0.64601,-1.28401,-0.212495,-1.09544
34.463,-0.529574,-0.638171,0.7025,-1.22198,-0.212495,-1.09544
34.5218,-0.486731,-0.708127,0.752302,-1.15611,-0.212495,-1.09544
34.5841,-0.438478,-0.777995,0.795267,-1.08723,-0.212495,-1.09544
34.6504,-0.384507,-0.847703,0.831352,-1.01611,-0.212495,-1.09544
34.7213,-0.324475,-0.917148,0.860605,-0.943491,-0.212495,-1.09544
34.7975,-0.258002,-0.986195,0.883155,-0.870065,-0.212495,-1.09544
34.8797,-0.184672,-1.05467,0.899196,-0.79647,-0.212495,-1.09544
34.9688,-0.104034,-1.12235,0.90898,-0.723277,-0.212495,-1.09544
35.0659,-0.0155975,-1.18897,0.912798,-0.650996,-0.212495,-1.09544
35.1719,0.0811615,-1.25418,0.910971,-0.58007,-0.212495,-1.09544
35.2883,0.186802,-1.31757,0.903838,-0.510878,-0.212495,-1.09544
35.4165,0.301915,-1.37866,0.891745,-0.443737,-0.212496,-1.09544
35.5582,0.427118,-1.43683,0.875034,-0.378906,-0.212496,-1.09544
35.7154,0.563048,-1.49138,0.85404,-0.316592,-0.212496,-1.09544
35.8904,0.710352,-1.54144,0.829077,-0.256952,-0.212496,-1.09544
36.0859,0.869673,-1.58597,0.800434,-0.200101,-0.212496,-1.09544
36.3052,1.04163,-1.62375,0.768369,-0.146118,-0.212496,-1.09544
36.5518,1.22677,-1.65331,0.733104,-0.095051,-0.212496,-1.09544
36.8303,1.42556,-1.67287,0.694815,-0.0469247,-0.212496,-1.09544
37.1459,1.63829,-1.68032,0.653626,-0.00174636,-0.212497,-1.09544
37.5049,1.86498,-1.67311,0.609602,0.0404866,-0.212497,-1.09544
37.915,2.10525,-1.64817,0.562739,0.0797773,-0.212497,-1.09544
38.3855,2.3581,-1.60178,0.512942,0.116119,-0.212497,-1.09544
38.9275,2.62159,-1.52944,0.460014,0.14948,-0.212497,-1.09544
39.555,2.89231,-1.42574,0.403622,0.17978,-0.212498,-1.09544
40.2848,3.16455,-1.2842,0.343267,0.20686,-0.212498,-1.09544
41.1369,3.42899,-1.09736,0.278243,0.23042,-0.212498,-1.09544
42.1335,3.67069,-0.857385,0.207638,0.24993,-0.212498,-1.09544
43.2936,3.86638,-0.558253,0.130455,0.264489,-0.212499,-1.09544
44.6182,3.98304,-0.201568,0.0461393,0.272692,-0.212499,-1.09544
46.0602,3.98449,0.192802,-0.0441201,0.272792,-0.212499,-1.09544
47.5038,3.85481,0.581179,-0.136093,0.263657,-0.212499,-1.09544
48.8177,3.61874,0.917038,-0.224246,0.245886,-0.212499,-1.09544
49.9395,3.32225,1.18,-0.305536,0.221208,-0.212499,-1.09544
50.8741,3.00255,1.37351,-0.379747,0.191122,-0.212499,-1.09544
51.6508,2.68166,1.5092,-0.44772,0.156523,-0.212498,-1.09544
52.2996,2.37119,1.59879,-0.510343,0.117876,-0.212498,-1.09544
52.8456,2.07698,1.65206,-0.56827,0.0754098,-0.212497,-1.09544
53.3085,1.80165,1.67671,-0.621914,0.0292335,-0.212497,-1.09544
53.7038,1.54613,1.67879,-0.671487,-0.020599,-0.212497,-1.09544
54.0436,1.31035,1.66304,-0.717042,-0.0740509,-0.212496,-1.09544
54.3373,1.09369,1.6332,-0.758509,-0.131079,-0.212496,-1.09544
54.5926,0.895272,1.59226,-0.79572,-0.191617,-0.212496,-1.09544
54.8158,0.714023,1.54257,-0.828431,-0.255561,-0.212495,-1.09544
55.0119,0.548836,1.48607,-0.85634,-0.32276,-0.212495,-1.09544
55.185,0.398591,1.42428,-0.8791,-0.393005,-0.212495,-1.09544
55.3386,0.262198,1.35846,-0.896332,-0.466022,-0.212495,-1.09544
55.4755,0.138614,1.28959,-0.907647,-0.541464,-0.212495,-1.09544
55.5982,0.0268589,1.21849,-0.912653,-0.618907,-0.212495,-1.09544
55.7088,-0.0739854,1.14581,-0.910978,-0.697847,-0.212495,-1.09544
55.8088,-0.164766,1.07206,-0.902281,-0.777698,-0.212495,-1.09544
55.8999,-0.246264,0.997656,-0.886273,-0.857795,-0.212495,-1.09544
55.9832,-0.319189,0.922915,-0.862735,-0.937401,-0.212495,-1.09544
56.0599,-0.38419,0.848088,-0.831531,-1.01572,-0.212495,-1.09544
56.1308,-0.441851,0.773363,-0.792628,-1.09188,-0.212495,-1.09544
56.1968,-0.492699,0.698878,-0.746104,-1.16502,-0.212495,-1.09544
56.2586,-0.537203,0.624731,-0.692164,-1.23421,-0.212495,-1.09544
56.3168,-0.575779,0.550985,-0.631143,-1.29857,-0.212494,-1.09544
56.372,-0.608794,0.477676,-0.56351,-1.35722,-0.212494,-1.09544
56.4247,-0.636566,0.404817,-0.489866,-1.40933,-0.212494,-1.09544
56.4752,-0.659372,0.332401,-0.410932,-1.45418,-0.212494,-1.09544
56.5241,-0.677442,0.260411,-0.327545,-1.49111,-0.212494,-1.09544
56.5717,-0.690967,0.188815,-0.24063,-1.51962,-0.212494,-1.09544
56.6182,-0.700102,0.117575,-0.151189,-1.53929,-0.212494,-1.09544
56.6641,-0.704962,0.0466464,-0.0602699,-1.54991,-0.212494,-1.09544
56.7097,-0.705629,-0.0240186,0.0310572,-1.55137,-0.212494,-1.09544
56.7552,-0.702147,-0.0944688,0.121726,-1.54375,-0.212494,-1.09544
56.8009,-0.694532,-0.164752,0.210702,-1.52725,-0.212494,-1.09544
56.8472,-0.682761,-0.234914,0.297003,-1.50224,-0.212494,-1.09544
56.8944,-0.666784,-0.304996,0.379726,-1.46918,-0.212494,-1.09544
56.9427,-0.646516,-0.375031,0.458057,-1.42866,-0.212494,-1.09544
56.9925,-0.621839,-0.445046,0.531293,-1.38137,-0.212494,-1.09544
57.0442,-0.592607,-0.515056,0.598844,-1.32803,-0.212495,-1.09544
57.0981,-0.558636,-0.585062,0.660242,-1.26944,-0.212495,-1.09544
57.1546,-0.519714,-0.655051,0.715138,-1.20641,-0.212495,-1.09544
57.2142,-0.475592,-0.724991,0.763299,-1.13975,-0.212495,-1.09544
57.2774,-0.42599,-0.794828,0.804605,-1.07025,-0.212495,-1.09544
57.3448,-0.370589,-0.864482,0.839034,-0.998704,-0.212495,-1.09544
57.4169,-0.309039,-0.933845,0.866655,-0.925828,-0.212495,-1.09544
57.4944,-0.240952,-1.00277,0.887614,-0.852305,-0.212495,-1.09544
57.5783,-0.165902,-1.07108,0.902121,-0.778756,-0.212495,-1.09544
57.6692,-0.0834291,-1.13853,0.910438,-0.705739,-0.212495,-1.09544
57.7683,0.00696539,-1.20484,0.912864,-0.633747,-0.212495,-1.09544
57.8767,0.105814,-1.26965,0.909725,-0.563207,-0.212495,-1.09544
57.9958,0.213685,-1.33254,0.901364,-0.494483,-0.212495,-1.09544
58.1271,0.331174,-1.39298,0.888125,-0.427878,-0.212495,-1.09544
58.2723,0.458905,-1.45035,0.870351,-0.363638,-0.212495,-1.09544
58.4336,0.597519,-1.5039,0.848371,-0.301956,-0.212495,-1.09544
58.6133,0.747664,-1.55272,0.822495,-0.242979,-0.212495,-1.09544
58.8142,0.909978,-1.59575,0.793004,-0.186814,-0.212496,-1.09544
59.0397,1.08507,-1.63169,0.760149,-0.133532,-0.212496,-1.09544
59.2936,1.27347,-1.65901,0.72414,-0.0831728,-0.212496,-1.09544
59.5805,1.4756,-1.67586,0.685141,-0.0357576,-0.212496,-1.09544
59.906,1.69171,-1.68003,0.643265,0.00870974,-0.212496,-1.09544
60.2766,1.92172,-1.66885,0.59856,0.0502327,-0.212496,-1.09544
60.7003,2.16515,-1.6391,0.551001,0.0888132,-0.212497,-1.09544
61.1869,2.42079,-1.58689,0.500472,0.12444,-0.212497,-1.09544
61.7482,2.68641,-1.50753,0.446745,0.157072,-0.212497,-1.09544
62.3987,2.95813,-1.39533,0.38945,0.186614,-0.212497,-1.09544
63.156,3.22951,-1.24357,0.328041,0.212879,-0.212497,-1.09544
64.041,3.4901,-1.04462,0.261761,0.235522,-0.212498,-1.09544
65.0756,3.7232,-0.790774,0.189658,0.253938,-0.212498,-1.09544
66.2765,3.90319,-0.477126,0.110767,0.267112,-0.212498,-1.09544
67.6364,3.99512,-0.108592,0.0248051,0.27352,-0.212498,-1.09544
