t,x,y,vx,vy,E,L
104.275,0.992771,-1.61405,0.777571,-0.160763,-0.212495,-1.09543
104.514,1.17422,-1.64604,0.743171,-0.108886,-0.212495,-1.09543
104.783,1.3692,-1.66856,0.705703,-0.0599454,-0.212495,-1.09543
105.088,1.57805,-1.6796,0.665307,-0.0139519,-0.212495,-1.09543
105.434,1.8009,-1.67673,0.622065,0.029095,-0.212495,-1.09543
105.829,2.03748,-1.65704,0.575992,0.0691993,-0.212496,-1.09543
106.282,2.287,-1.617,0.527022,0.106358,-0.212496,-1.09543
106.803,2.54781,-1.55234,0.474988,0.140549,-0.212496,-1.09543
107.405,2.81698,-1.45792,0.419596,0.171707,-0.212496,-1.09543
108.105,3.08955,-1.32756,0.360399,0.199701,-0.212496,-1.09543
108.921,3.35736,-1.15404,0.29675,0.224275,-0.212497,-1.09543
109.875,3.60728,-0.929513,0.22779,0.244977,-0.212497,-1.09543
110.989,3.81861,-0.647071,0.152518,0.261023,-0.212497,-1.09543
112.27,3.9609,-0.305323,0.0701626,0.271154,-0.212498,-1.09543
113.689,3.99726,0.0820827,-0.01874,0.273662,-0.212498,-1.09543
115.146,3.90313,0.477338,-0.110814,0.267103,-0.212498,-1.09543
116.506,3.69209,0.83113,-0.200481,0.251567,-0.212498,-1.09543
