t,x,y,u,v,theta
0.96,0.771606,0.125778,0.803756,-0.348981,0.65
0.97,0.779643,0.122238,0.803756,-0.358981,0.65
0.98,0.787681,0.118599,0.803756,-0.368981,0.65
0.99,0.795719,0.114859,0.803756,-0.378981,0.65
1,0.803756,0.111019,0.803756,-0.388981,0.65
1.01,0.811794,0.107079,0.803756,-0.398981,0.65
1.02,0.819831,0.103039,0.803756,-0.408981,0.65
1.03,0.827869,0.0988995,0.803756,-0.418981,0.65
1.04,0.835906,0.0946597,0.803756,-0.428981,0.65
1.05,0.843944,0.0903199,0.803756,-0.438981,0.65
1.06,0.851981,0.0858801,0.803756,-0.448981,0.65
1.07,0.860019,0.0813402,0.803756,-0.458981,0.65
1.08,0.868057,0.0767004,0.803756,-0.468981,0.65
1.09,0.876094,0.0719606,0.803756,-0.478981,0.65
1.1,0.884132,0.0671208,0.803756,-0.488981,0.65
1.11,0.892169,0.062181,0.803756,-0.498981,0.65
1.12,0.900207,0.0571412,0.803756,-0.508981,0.65
1.13,0.908244,0.0520014,0.803756,-0.518981,0.65
1.14,0.916282,0.0467616,0.803756,-0.528981,0.65
1.15,0.92432,0.0414218,0.803756,-0.538981,0.65
1.16,0.932357,0.035982,0.803756,-0.548981,0.65
1.17,0.940395,0.0304421,0.803756,-0.558981,0.65
1.18,0.948432,0.0248023,0.803756,-0.568981,0.65
1.19,0.95647,0.0190625,0.803756,-0.578981,0.65
1.2,0.964507,0.0132227,0.803756,-0.588981,0.65
1.21,0.972545,0.0072829,0.803756,-0.598981,0.65
1.22,0.980582,0.00124309,0.803756,-0.608981,0.65
1.23,0.98862,-0.00489672,0.803756,-0.618981,0.65
1.24,0.996658,-0.0111365,0.803756,-0.628981,0.65
1.25,1.0047,-0.0174763,0.803756,-0.638981,0.65
0,0,0,0.798572,0.617779,0.658438
0.01,0.00798572,0.00612779,0.798572,0.607779,0.658438
0.02,0.0159714,0.0121556,0.798572,0.597779,0.658438
0.03,0.0239572,0.0180834,0.798572,0.587779,0.658438
0.04,0.0319429,0.0239112,0.798572,0.577779,0.658438
0.05,0.0399286,0.0296389,0.798572,0.567779,0.658438
0.06,0.0479143,0.0352667,0.798572,0.557779,0.658438
0.07,0.0559,0.0407945,0.798572,0.547779,0.658438
0.08,0.0638858,0.0462223,0.798572,0.537779,0.658438
0.09,0.0718715,0.0515501,0.798572,0.527779,0.658438
0.1,0.0798572,0.0567779,0.798572,0.517779,0.658438
0.11,0.0878429,0.0619057,0.798572,0.507779,0.658438
0.12,0.0958286,0.0669335,0.798572,0.497779,0.658438
0.13,0.103814,0.0718612,0.798572,0.487779,0.658438
0.14,0.1118,0.076689,0.798572,0.477779,0.658438
0.15,0.119786,0.0814168,0.798572,0.467779,0.658438
0.16,0.127772,0.0860446,0.798572,0.457779,0.658438
0.17,0.135757,0.0905724,0.798572,0.447779,0.658438
0.18,0.143743,0.0950002,0.798572,0.437779,0.658438
0.19,0.151729,0.099328,0.798572,0.427779,0.658438
0.2,0.159714,0.103556,0.798572,0.417779,0.658438
0.21,0.1677,0.107684,0.798572,0.407779,0.658438
0.22,0.175686,0.111711,0.798572,0.397779,0.658438
0.23,0.183672,0.115639,0.798572,0.387779,0.658438
0.24,0.191657,0.119467,0.798572,0.377779,0.658438
0.25,0.199643,0.123195,0.798572,0.367779,0.658438
0.26,0.207629,0.126822,0.798572,0.357779,0.658438
0.27,0.215614,0.13035,0.798572,0.347779,0.658438
0.28,0.2236,0.133778,0.798572,0.337779,0.658438
0.29,0.231586,0.137106,0.798572,0.327779,0.658438
0.3,0.239572,0.140334,0.798572,0.317779,0.658438
0.31,0.247557,0.143461,0.798572,0.307779,0.658438
0.32,0.255543,0.146489,0.798572,0.297779,0.658438
0.33,0.263529,0.149417,0.798572,0.287779,0.658438
0.34,0.271515,0.152245,0.798572,0.277779,0.658438
0.35,0.2795,0.154973,0.798572,0.267779,0.658438
0.36,0.287486,0.1576,0.798572,0.257779,0.658438
0.37,0.295472,0.160128,0.798572,0.247779,0.658438
0.38,0.303457,0.162556,0.798572,0.237779,0.658438
0.39,0.311443,0.164884,0.798572,0.227779,0.658438
0.4,0.319429,0.167112,0.798572,0.217779,0.658438
0.41,0.327415,0.169239,0.798572,0.207779,0.658438
0.42,0.3354,0.171267,0.798572,0.197779,0.658438
0.43,0.343386,0.173195,0.798572,0.187779,0.658438
0.44,0.351372,0.175023,0.798572,0.177779,0.658438
0.45,0.359357,0.17675,0.798572,0.167779,0.658438
