t,x,delta_y,u,v,theta
0.084,0.065529,2.38282e-14,0.780107,0.556938,0.687775
0.085,0.0663091,2.40918e-14,0.780107,0.555938,0.687775
0.086,0.0670892,2.43625e-14,0.780107,0.554938,0.687775
0.087,0.0678693,2.46192e-14,0.780107,0.553938,0.687775
0.088,0.0686494,2.48829e-14,0.780107,0.552938,0.687775
0.089,0.0694295,2.51396e-14,0.780107,0.551938,0.687775
0.09,0.0702096,2.54033e-14,0.780107,0.550938,0.687775
0.091,0.0709897,2.566e-14,0.780107,0.549938,0.687775
0.092,0.0717698,2.59237e-14,0.780107,0.548938,0.687775
0.093,0.0725499,2.61874e-14,0.780107,0.547938,0.687775
0.094,0.07333,2.64441e-14,0.780107,0.546938,0.687775
0.095,0.0741101,2.67009e-14,0.780107,0.545938,0.687775
0.096,0.0748903,2.69645e-14,0.780107,0.544938,0.687775
0.097,0.0756704,2.72213e-14,0.780107,0.543938,0.687775
0.098,0.0764505,2.7485e-14,0.780107,0.542938,0.687775
0.099,0.0772306,2.77348e-14,0.780107,0.541938,0.687775
0.1,0.0780107,2.79984e-14,0.780107,0.540938,0.687775
0.101,0.0787908,2.82621e-14,0.780107,0.539938,0.687775
0.102,0.0795709,2.85119e-14,0.780107,0.538938,0.687775
0.103,0.080351,2.87617e-14,0.780107,0.537938,0.687775
0.104,0.0811311,2.90185e-14,0.780107,0.536938,0.687775
0.105,0.0819112,2.92821e-14,0.780107,0.535938,0.687775
0.106,0.0826913,2.95389e-14,0.780107,0.534938,0.687775
0.107,0.0834714,2.97956e-14,0.780107,0.533938,0.687775
0.108,0.0842515,3.00454e-14,0.780107,0.532938,0.687775
0.109,0.0850316,3.03091e-14,0.780107,0.531938,0.687775
0.11,0.0858117,3.05589e-14,0.780107,0.530938,0.687775
0.111,0.0865919,3.08087e-14,0.780107,0.529938,0.687775
0.112,0.087372,3.10585e-14,0.780107,0.528938,0.687775
0.113,0.0881521,3.13222e-14,0.780107,0.527938,0.687775
0.114,0.0889322,3.1572e-14,0.780107,0.526938,0.687775
0.115,0.0897123,3.18218e-14,0.780107,0.525938,0.687775
0.116,0.0904924,3.20993e-14,0.780107,0.524938,0.687775
0.117,0.0912725,3.23491e-14,0.780107,0.523938,0.687775
0.118,0.0920526,3.2585e-14,0.780107,0.522938,0.687775
0.119,0.0928327,3.28348e-14,0.780107,0.521938,0.687775
0.12,0.0936128,3.30846e-14,0.780107,0.520938,0.687775
0.121,0.0943929,3.33344e-14,0.780107,0.519938,0.687775
0.122,0.095173,3.35704e-14,0.780107,0.518938,0.687775
0.123,0.0959531,3.38202e-14,0.780107,0.517938,0.687775
0.124,0.0967332,3.40838e-14,0.780107,0.516938,0.687775
0.125,0.0975134,3.43198e-14,0.780107,0.515938,0.687775
0.126,0.0982935,3.45696e-14,0.780107,0.514938,0.687775
0.127,0.0990736,3.48194e-14,0.780107,0.513938,0.687775
0.128,0.0998537,3.5083e-14,0.780107,0.512938,0.687775
0.129,0.100634,3.53328e-14,0.780107,0.511938,0.687775
0.13,0.101414,3.55826e-14,0.780107,0.510938,0.687775
0.131,0.102194,3.58324e-14,0.780107,0.509938,0.687775
0.132,0.102974,3.60684e-14,0.780107,0.508938,0.687775
0.133,0.103754,3.63182e-14,0.780107,0.507938,0.687775
0.134,0.104534,3.65541e-14,0.780107,0.506938,0.687775
0.135,0.105314,3.679e-14,0.780107,0.505938,0.687775
0.136,0.106095,3.70398e-14,0.780107,0.504938,0.687775
0.137,0.106875,3.72757e-14,0.780107,0.503938,0.687775
0.138,0.107655,3.75255e-14,0.780107,0.502938,0.687775
0.139,0.108435,3.77615e-14,0.780107,0.501938,0.687775
0.14,0.109215,3.80113e-14,0.780107,0.500938,0.687775
0.141,0.109995,3.82611e-14,0.780107,0.499938,0.687775
0.142,0.110775,3.8497e-14,0.780107,0.498938,0.687775
0.143,0.111555,3.87468e-14,0.780107,0.497938,0.687775
0.144,0.112335,3.89966e-14,0.780107,0.496938,0.687775
0.145,0.113115,3.92464e-14,0.780107,0.495938,0.687775
0.146,0.113896,3.94823e-14,0.780107,0.494938,0.687775
0.147,0.114676,3.97044e-14,0.780107,0.493938,0.687775
0.148,0.115456,3.99542e-14,0.780107,0.492938,0.687775
0.149,0.116236,4.01901e-14,0.780107,0.491938,0.687775
0.15,0.117016,4.0426e-14,0.780107,0.490938,0.687775
0.151,0.117796,4.06619e-14,0.780107,0.489938,0.687775
0.152,0.118576,4.09117e-14,0.780107,0.488938,0.687775
0.153,0.119356,4.11476e-14,0.780107,0.487938,0.687775
0.154,0.120136,4.13836e-14,0.780107,0.486938,0.687775
0.155,0.120917,4.16195e-14,0.780107,0.485938,0.687775
0.156,0.121697,4.18693e-14,0.780107,0.484938,0.687775
0.157,0.122477,4.21052e-14,0.780107,0.483938,0.687775
0.158,0.123257,4.23411e-14,0.780107,0.482938,0.687775
0.159,0.124037,4.26048e-14,0.780107,0.481938,0.687775
0.16,0.124817,4.28269e-14,0.780107,0.480938,0.687775
0.161,0.125597,4.30489e-14,0.780107,0.479938,0.687775
0.162,0.126377,4.32848e-14,0.780107,0.478938,0.687775
0.163,0.127157,4.35207e-14,0.780107,0.477938,0.687775
0.164,0.127938,4.37567e-14,0.780107,0.476938,0.687775
0.165,0.128718,4.39787e-14,0.780107,0.475938,0.687775
0.166,0.129498,4.42146e-14,0.780107,0.474938,0.687775
0.167,0.130278,4.44506e-14,0.780107,0.473938,0.687775
0.168,0.131058,4.46865e-14,0.780107,0.472938,0.687775
0.169,0.131838,4.49224e-14,0.780107,0.471938,0.687775
0.17,0.132618,4.51583e-14,0.780107,0.470938,0.687775
0.171,0.133398,4.53942e-14,0.780107,0.469938,0.687775
0.172,0.134178,4.56302e-14,0.780107,0.468938,0.687775
0.173,0.134958,4.58661e-14,0.780107,0.467938,0.687775
0.174,0.135739,4.60881e-14,0.780107,0.466938,0.687775
0.175,0.136519,4.63241e-14,0.780107,0.465938,0.687775
0.176,0.137299,4.65461e-14,0.780107,0.464938,0.687775
0.177,0.138079,4.6782e-14,0.780107,0.463938,0.687775
0.178,0.138859,4.69902e-14,0.780107,0.462938,0.687775
0.179,0.139639,4.724e-14,0.780107,0.461938,0.687775
0.18,0.140419,4.7462e-14,0.780107,0.460938,0.687775
