dt,theta1,theta2
0.5,0.781097058074,0.856673101415
0.25,0.696098236221,0.863071479508
0.125,0.683841582746,0.868481012906
0.0625,0.679824166148,0.872202167795
0.03125,0.678506046214,0.872430467491
0.015625,0.678403483313,0.872533765627
0.0078125,0.678354172079,0.872582999956
0.00390625,0.678330439169,0.872591252496
0.001953125,0.678330324997,0.872595246894
0.0009765625,0.678330268186,0.872595291601
0.00048828125,0.678330239847,0.87259531402
0.000244140625,0.678330225695,0.872595325245
0.0001220703125,0.678330218623,0.872595330862
6.103515625e-05,0.678330215088,0.872595333671
3.0517578125e-05,0.67833021393,0.87259533426
1.52587890625e-05,0.678330213778,0.872595334464
7.62939453125e-06,0.678330213701,0.872595334487
3.81469726562e-06,0.678330213694,0.872595334498
1.90734863281e-06,0.67833021369,0.8725953345
9.53674316406e-07,0.678330213689,0.872595334501
