x,psi
-4.225,-6.74784e-07
-4.2,-7.49724e-07
-4.175,-8.32467e-07
-4.15,-9.23763e-07
-4.125,-1.02443e-06
-4.1,-1.13536e-06
-4.075,-1.25751e-06
-4.05,-1.39194e-06
-4.025,-1.53978e-06
-4,-1.70225e-06
-3.975,-1.88069e-06
-3.95,-2.07653e-06
-3.925,-2.29134e-06
-3.9,-2.52679e-06
-3.875,-2.78469e-06
-3.85,-3.067e-06
-3.825,-3.37582e-06
-3.8,-3.71341e-06
-3.775,-4.0822e-06
-3.75,-4.48482e-06
-3.725,-4.92408e-06
-3.7,-5.40297e-06
-3.675,-5.92474e-06
-3.65,-6.49283e-06
-3.625,-7.11095e-06
-3.6,-7.78306e-06
-3.575,-8.51336e-06
-3.55,-9.30637e-06
-3.525,-1.01669e-05
-3.5,-1.11e-05
-3.475,-1.21113e-05
-3.45,-1.32064e-05
-3.425,-1.43915e-05
-3.4,-1.56731e-05
-3.375,-1.70583e-05
-3.35,-1.85542e-05
-3.325,-2.01688e-05
-3.3,-2.19101e-05
-3.275,-2.37869e-05
-3.25,-2.58084e-05
-3.225,-2.79841e-05
-3.2,-3.03243e-05
-3.175,-3.28396e-05
-3.15,-3.55414e-05
-3.125,-3.84414e-05
-3.1,-4.15521e-05
-3.075,-4.48864e-05
-3.05,-4.8458e-05
-3.025,-5.22812e-05
-3,-5.63706e-05
-2.975,-6.0742e-05
-2.95,-6.54115e-05
-2.925,-7.0396e-05
-2.9,-7.57129e-05
-2.875,-8.13805e-05
-2.85,-8.74177e-05
-2.825,-9.38442e-05
-2.8,-0.00010068
-2.775,-0.000107947
-2.75,-0.000115665
-2.725,-0.000123858
-2.7,-0.000132548
-2.675,-0.00014176
-2.65,-0.000151517
-2.625,-0.000161844
-2.6,-0.000172768
-2.575,-0.000184313
-2.55,-0.000196507
-2.525,-0.000209377
-2.5,-0.00022295
-2.475,-0.000237255
-2.45,-0.00025232
-2.425,-0.000268174
-2.4,-0.000284846
-2.375,-0.000302365
-2.35,-0.000320762
-2.325,-0.000340065
-2.3,-0.000360304
-2.275,-0.000381509
-2.25,-0.000403711
-2.225,-0.000426937
-2.2,-0.000451217
-2.175,-0.00047658
-2.15,-0.000503054
-2.125,-0.000530668
-2.1,-0.000559447
-2.075,-0.000589418
-2.05,-0.000620607
-2.025,-0.000653038
-2,-0.000686735
-1.975,-0.000721719
-1.95,-0.000758011
-1.925,-0.000795631
-1.9,-0.000834596
-1.875,-0.000874923
-1.85,-0.000916625
-1.825,-0.000959714
-1.8,-0.0010042
-1.775,-0.00105009
-1.75,-0.0010974
-1.725,-0.00114612
-1.7,-0.00119625
-1.675,-0.0012478
-1.65,-0.00130075
-1.625,-0.00135511
-1.6,-0.00141085
-1.575,-0.00146797
-1.55,-0.00152645
-1.525,-0.00158626
-1.5,-0.00164739
-1.475,-0.00170981
-1.45,-0.00177348
-1.425,-0.00183837
-1.4,-0.00190445
-1.375,-0.00197167
-1.35,-0.00203999
-1.325,-0.00210935
-1.3,-0.00217971
-1.275,-0.00225101
-1.25,-0.00232319
-1.225,-0.00239619
-1.2,-0.00246994
-1.175,-0.00254436
-1.15,-0.00261939
-1.125,-0.00269495
-1.1,-0.00277096
-1.075,-0.00284733
-1.05,-0.00292397
-1.025,-0.0030008
-1,-0.00307773
-0.975,-0.00315466
-0.95,-0.00323149
-0.925,-0.00330812
-0.9,-0.00338445
-0.875,-0.00346039
-0.85,-0.00353581
-0.825,-0.00361062
-0.8,-0.00368471
-0.775,-0.00375798
-0.75,-0.0038303
-0.725,-0.00390158
-0.7,-0.00397169
-0.675,-0.00404055
-0.65,-0.00410803
-0.625,-0.00417402
-0.6,-0.00423843
-0.575,-0.00430114
-0.55,-0.00436205
-0.525,-0.00442106
-0.5,-0.00447807
-0.475,-0.00453298
-0.45,-0.0045857
-0.425,-0.00463613
-0.4,-0.00468419
-0.375,-0.00472979
-0.35,-0.00477285
-0.325,-0.00481329
-0.3,-0.00485104
-0.275,-0.00488603
-0.25,-0.0049182
-0.225,-0.00494749
-0.2,-0.00497384
-0.175,-0.00499721
-0.15,-0.00501756
-0.125,-0.00503483
-0.1,-0.00504901
-0.075,-0.00506007
-0.05,-0.00506798
-0.025,-0.00507274
7.48776e-14,-0.00507432
0.025,-0.00507274
0.05,-0.00506798
0.075,-0.00506007
0.1,-0.00504901
0.125,-0.00503483
0.15,-0.00501756
0.175,-0.00499721
0.2,-0.00497384
0.225,-0.00494749
0.25,-0.0049182
0.275,-0.00488603
0.3,-0.00485104
0.325,-0.00481329
0.35,-0.00477285
0.375,-0.00472979
0.4,-0.00468419
0.425,-0.00463613
0.45,-0.0045857
0.475,-0.00453298
0.5,-0.00447807
0.525,-0.00442106
0.55,-0.00436205
0.575,-0.00430114
0.6,-0.00423843
0.625,-0.00417402
0.65,-0.00410803
0.675,-0.00404055
0.7,-0.00397169
0.725,-0.00390158
0.75,-0.0038303
0.775,-0.00375798
0.8,-0.00368471
0.825,-0.00361062
0.85,-0.00353581
0.875,-0.00346039
0.9,-0.00338445
0.925,-0.00330812
0.95,-0.00323149
0.975,-0.00315466
1,-0.00307773
1.025,-0.0030008
1.05,-0.00292397
1.075,-0.00284733
1.1,-0.00277096
1.125,-0.00269495
1.15,-0.00261939
1.175,-0.00254436
1.2,-0.00246994
1.225,-0.00239619
1.25,-0.00232319
1.275,-0.00225101
1.3,-0.00217971
1.325,-0.00210935
1.35,-0.00203999
1.375,-0.00197167
1.4,-0.00190445
1.425,-0.00183837
1.45,-0.00177348
1.475,-0.00170981
1.5,-0.00164739
1.525,-0.00158626
1.55,-0.00152645
1.575,-0.00146797
1.6,-0.00141085
1.625,-0.00135511
1.65,-0.00130075
1.675,-0.0012478
1.7,-0.00119625
1.725,-0.00114612
1.75,-0.0010974
1.775,-0.00105009
1.8,-0.0010042
1.825,-0.000959714
1.85,-0.000916625
1.875,-0.000874923
1.9,-0.000834596
1.925,-0.000795631
1.95,-0.000758011
1.975,-0.000721719
2,-0.000686735
2.025,-0.000653038
2.05,-0.000620607
2.075,-0.000589418
2.1,-0.000559447
2.125,-0.000530668
2.15,-0.000503054
2.175,-0.00047658
2.2,-0.000451217
2.225,-0.000426937
2.25,-0.000403711
2.275,-0.00038151
2.3,-0.000360304
2.325,-0.000340065
2.35,-0.000320762
2.375,-0.000302365
2.4,-0.000284846
2.425,-0.000268174
2.45,-0.00025232
2.475,-0.000237255
2.5,-0.00022295
2.525,-0.000209377
2.55,-0.000196507
2.575,-0.000184313
2.6,-0.000172768
2.625,-0.000161845
2.65,-0.000151517
2.675,-0.00014176
2.7,-0.000132549
2.725,-0.000123858
2.75,-0.000115665
2.775,-0.000107947
2.8,-0.00010068
2.825,-9.38446e-05
2.85,-8.74182e-05
2.875,-8.13809e-05
2.9,-7.57133e-05
2.925,-7.03964e-05
2.95,-6.5412e-05
2.975,-6.07426e-05
3,-5.63712e-05
3.025,-5.22818e-05
3.05,-4.84587e-05
3.075,-4.48872e-05
3.1,-4.15529e-05
3.125,-3.84423e-05
3.15,-3.55423e-05
3.175,-3.28406e-05
3.2,-3.03253e-05
3.225,-2.79852e-05
3.25,-2.58095e-05
3.275,-2.37882e-05
3.3,-2.19115e-05
3.325,-2.01702e-05
3.35,-1.85558e-05
3.375,-1.706e-05
3.4,-1.5675e-05
3.425,-1.43935e-05
3.45,-1.32085e-05
3.475,-1.21136e-05
3.5,-1.11025e-05
3.525,-1.01696e-05
3.55,-9.30931e-06
3.575,-8.51655e-06
3.6,-7.78652e-06
3.625,-7.11471e-06
3.65,-6.49692e-06
3.675,-5.92918e-06
3.7,-5.40781e-06
3.725,-4.92934e-06
3.75,-4.49057e-06
3.775,-4.08847e-06
3.8,-3.72024e-06
3.825,-3.38328e-06
3.85,-3.07516e-06
3.875,-2.79361e-06
3.9,-2.53655e-06
3.925,-2.30204e-06
3.95,-2.08825e-06
3.975,-1.89354e-06
4,-1.71635e-06
4.025,-1.55527e-06
4.05,-1.40896e-06
4.075,-1.27623e-06
4.1,-1.15595e-06
4.125,-1.04711e-06
4.15,-9.48748e-07
4.175,-8.60014e-07
4.2,-7.80118e-07
4.225,-7.0834e-07
4.25,-6.44027e-07
4.275,-5.86587e-07
4.3,-5.35486e-07
4.325,-4.90242e-07
4.35,-4.50427e-07
4.375,-4.15661e-07
4.4,-3.85612e-07
4.425,-3.59991e-07
4.45,-3.38555e-07
4.475,-3.211e-07
4.5,-3.07467e-07
4.525,-2.97537e-07
4.55,-2.91232e-07
4.575,-2.88517e-07
4.6,-2.89399e-07
4.625,-2.93932e-07
4.65,-3.02215e-07
4.675,-3.14397e-07
4.7,-3.30683e-07
4.725,-3.51332e-07
4.75,-3.76671e-07
4.775,-4.07091e-07
4.8,-4.43066e-07
4.825,-4.85152e-07
4.85,-5.34002e-07
4.875,-5.9038e-07
4.9,-6.5517e-07
4.925,-7.29394e-07
4.95,-8.14236e-07
4.975,-9.11054e-07
5,-1.02142e-06
5.025,-1.14712e-06
5.05,-1.29024e-06
5.075,-1.45314e-06
5.1,-1.63857e-06
5.125,-1.84964e-06
5.15,-2.08997e-06
5.175,-2.36368e-06
5.2,-2.67554e-06
5.225,-3.03102e-06
5.25,-3.43639e-06
5.275,-3.89891e-06
5.3,-4.4269e-06
5.325,-5.02996e-06
5.35,-5.71916e-06
5.375,-6.50726e-06
5.4,-7.40898e-06
5.425,-8.44132e-06
5.45,-9.62391e-06
5.475,-1.09794e-05
5.5,-1.25341e-05
5.525,-1.43184e-05
5.55,-1.63673e-05
5.575,-1.87216e-05
5.6,-2.14285e-05
5.625,-2.45428e-05
5.65,-2.81279e-05
5.675,-3.22576e-05
5.7,-3.70176e-05
5.725,-4.25075e-05
5.75,-4.88432e-05
5.775,-5.61595e-05
5.8,-6.46134e-05
5.825,-7.43879e-05
5.85,-8.56964e-05
5.875,-9.87878e-05
5.9,-0.000113953
5.925,-0.00013153
5.95,-0.000151917
5.975,-0.000175576
