E,Res
0.356,1.17
0.357,1.15532
0.358,1.14077
0.359,1.12634
0.36,1.11204
0.361,1.09786
0.362,1.0838
0.363,1.06987
0.364,1.05606
0.365,1.04237
0.366,1.0288
0.367,1.01534
0.368,1.00201
0.369,0.988793
0.37,0.975691
0.371,0.962705
0.372,0.949834
0.373,0.937076
0.374,0.924431
0.375,0.911898
0.376,0.899475
0.377,0.887164
0.378,0.874961
0.379,0.862868
0.38,0.850882
0.381,0.839003
0.382,0.827231
0.383,0.815564
0.384,0.804001
0.385,0.792543
0.386,0.781188
0.387,0.769935
0.388,0.758783
0.389,0.747733
0.39,0.736783
0.391,0.725932
0.392,0.715179
0.393,0.704525
0.394,0.693967
0.395,0.683506
0.396,0.673141
0.397,0.66287
0.398,0.652694
0.399,0.642612
0.4,0.632622
0.401,0.622724
0.402,0.612918
0.403,0.603203
0.404,0.593577
0.405,0.584041
0.406,0.574594
0.407,0.565235
0.408,0.555963
0.409,0.546778
0.41,0.537678
0.411,0.528665
0.412,0.519736
0.413,0.510891
0.414,0.502129
0.415,0.49345
0.416,0.484854
0.417,0.476339
0.418,0.467905
0.419,0.459551
0.42,0.451277
0.421,0.443082
0.422,0.434966
0.423,0.426927
0.424,0.418966
0.425,0.411081
0.426,0.403272
0.427,0.395539
0.428,0.387881
0.429,0.380297
0.43,0.372787
0.431,0.36535
0.432,0.357986
0.433,0.350694
0.434,0.343473
0.435,0.336323
0.436,0.329244
0.437,0.322235
0.438,0.315294
0.439,0.308423
0.44,0.30162
0.441,0.294884
0.442,0.288216
0.443,0.281614
0.444,0.275078
0.445,0.268608
0.446,0.262203
0.447,0.255863
0.448,0.249587
0.449,0.243374
0.45,0.237224
0.451,0.231137
0.452,0.225112
0.453,0.219148
0.454,0.213246
0.455,0.207404
0.456,0.201622
0.457,0.1959
0.458,0.190237
0.459,0.184632
0.46,0.179086
0.461,0.173598
0.462,0.168167
0.463,0.162793
0.464,0.157475
0.465,0.152213
0.466,0.147007
0.467,0.141856
0.468,0.136759
0.469,0.131716
0.47,0.126728
0.471,0.121792
0.472,0.116909
0.473,0.112079
0.474,0.107301
0.475,0.102574
0.476,0.0978986
0.477,0.0932739
0.478,0.0886995
0.479,0.084175
0.48,0.0797001
0.481,0.0752743
0.482,0.0708972
0.483,0.0665684
0.484,0.0622875
0.485,0.0580542
0.486,0.053868
0.487,0.0497286
0.488,0.0456356
0.489,0.0415885
0.49,0.0375871
0.491,0.0336309
0.492,0.0297196
0.493,0.0258527
0.494,0.02203
0.495,0.018251
0.496,0.0145155
0.497,0.0108229
0.498,0.0071731
0.499,0.00356556
0.5,4.51119e-10
0.501,-0.00352394
0.502,-0.00700662
0.503,-0.0104484
0.504,-0.0138495
0.505,-0.0172105
