E,Res
1.399,-0.00291495
1.4,-0.00287286
1.401,-0.00283108
1.402,-0.00278962
1.403,-0.00274848
1.404,-0.00270764
1.405,-0.00266712
1.406,-0.0026269
1.407,-0.00258699
1.408,-0.00254739
1.409,-0.00250808
1.41,-0.00246908
1.411,-0.00243038
1.412,-0.00239198
1.413,-0.00235388
1.414,-0.00231607
1.415,-0.00227855
1.416,-0.00224132
1.417,-0.00220439
1.418,-0.00216774
1.419,-0.00213138
1.42,-0.0020953
1.421,-0.00205951
1.422,-0.002024
1.423,-0.00198877
1.424,-0.00195382
1.425,-0.00191914
1.426,-0.00188474
1.427,-0.00185062
1.428,-0.00181676
1.429,-0.00178318
1.43,-0.00174986
1.431,-0.00171682
1.432,-0.00168404
1.433,-0.00165152
1.434,-0.00161926
1.435,-0.00158727
1.436,-0.00155554
1.437,-0.00152406
1.438,-0.00149285
1.439,-0.00146188
1.44,-0.00143117
1.441,-0.00140072
1.442,-0.00137051
1.443,-0.00134055
1.444,-0.00131084
1.445,-0.00128138
1.446,-0.00125216
1.447,-0.00122319
1.448,-0.00119445
1.449,-0.00116596
1.45,-0.00113771
1.451,-0.00110969
1.452,-0.00108191
1.453,-0.00105437
1.454,-0.00102706
1.455,-0.000999979
1.456,-0.000973131
1.457,-0.000946511
1.458,-0.00092012
1.459,-0.000893955
1.46,-0.000868015
1.461,-0.000842299
1.462,-0.000816805
1.463,-0.000791532
1.464,-0.000766479
1.465,-0.000741644
1.466,-0.000717026
1.467,-0.000692624
1.468,-0.000668436
1.469,-0.000644461
1.47,-0.000620698
1.471,-0.000597145
1.472,-0.000573802
1.473,-0.000550666
1.474,-0.000527737
1.475,-0.000505013
1.476,-0.000482493
1.477,-0.000460175
1.478,-0.000438059
1.479,-0.000416144
1.48,-0.000394427
1.481,-0.000372908
1.482,-0.000351586
1.483,-0.000330458
1.484,-0.000309525
1.485,-0.000288785
1.486,-0.000268236
1.487,-0.000247877
1.488,-0.000227708
1.489,-0.000207726
1.49,-0.000187932
1.491,-0.000168323
1.492,-0.000148898
1.493,-0.000129657
1.494,-0.000110597
1.495,-9.1719e-05
1.496,-7.30203e-05
1.497,-5.45002e-05
1.498,-3.61576e-05
1.499,-1.79912e-05
1.5,-3.43279e-11
1.501,1.78171e-05
1.502,3.54613e-05
1.503,5.29338e-05
1.504,7.02355e-05
1.505,8.73677e-05
1.506,0.000104331
1.507,0.000121128
1.508,0.000137758
1.509,0.000154223
1.51,0.000170523
1.511,0.000186661
1.512,0.000202637
1.513,0.000218452
1.514,0.000234107
1.515,0.000249603
1.516,0.000264942
1.517,0.000280123
1.518,0.00029515
1.519,0.000310021
1.52,0.000324739
1.521,0.000339304
1.522,0.000353718
1.523,0.000367981
1.524,0.000382095
1.525,0.00039606
1.526,0.000409878
1.527,0.000423549
1.528,0.000437075
1.529,0.000450456
1.53,0.000463693
1.531,0.000476788
1.532,0.000489742
1.533,0.000502554
1.534,0.000515227
1.535,0.000527761
1.536,0.000540157
1.537,0.000552417
1.538,0.00056454
1.539,0.000576528
1.54,0.000588383
1.541,0.000600104
1.542,0.000611693
1.543,0.00062315
1.544,0.000634478
1.545,0.000645675
1.546,0.000656744
1.547,0.000667686
1.548,0.0006785
1.549,0.000689189
1.55,0.000699752
1.551,0.000710192
1.552,0.000720508
1.553,0.000730702
1.554,0.000740774
1.555,0.000750725
1.556,0.000760557
1.557,0.000770269
1.558,0.000779863
1.559,0.00078934
1.56,0.000798701
1.561,0.000807946
1.562,0.000817076
1.563,0.000826092
1.564,0.000834995
1.565,0.000843785
1.566,0.000852464
1.567,0.000861032
1.568,0.000869491
1.569,0.00087784
1.57,0.00088608
1.571,0.000894213
1.572,0.00090224
1.573,0.00091016
1.574,0.000917975
1.575,0.000925686
1.576,0.000933292
1.577,0.000940796
1.578,0.000948198
1.579,0.000955498
1.58,0.000962698
1.581,0.000969798
1.582,0.000976798
1.583,0.0009837
1.584,0.000990505
1.585,0.000997212
1.586,0.00100382
1.587,0.00101034
1.588,0.00101676
1.589,0.00102309
1.59,0.00102932
1.591,0.00103546
1.592,0.00104151
1.593,0.00104747
1.594,0.00105333
1.595,0.00105911
1.596,0.0010648
1.597,0.0010704
1.598,0.00107591
1.599,0.00108133
1.6,0.00108667
1.601,0.00109192
1.602,0.00109709
1.603,0.00110217
1.604,0.00110717
1.605,0.00111208
1.606,0.00111691
1.607,0.00112166
1.608,0.00112633
1.609,0.00113092
1.61,0.00113543
1.611,0.00113986
1.612,0.00114421
1.613,0.00114848
1.614,0.00115267
1.615,0.00115679
1.616,0.00116083
1.617,0.0011648
1.618,0.00116869
1.619,0.00117251
1.62,0.00117625
1.621,0.00117992
1.622,0.00118351
1.623,0.00118704
1.624,0.00119049
1.625,0.00119387
1.626,0.00119718
1.627,0.00120043
1.628,0.0012036
1.629,0.0012067
1.63,0.00120974
1.631,0.00121271
1.632,0.00121561
1.633,0.00121844
1.634,0.00122121
1.635,0.00122391
1.636,0.00122655
1.637,0.00122913
1.638,0.00123164
1.639,0.00123409
1.64,0.00123647
1.641,0.0012388
1.642,0.00124106
1.643,0.00124326
1.644,0.0012454
1.645,0.00124748
1.646,0.0012495
1.647,0.00125146
1.648,0.00125336
1.649,0.00125521
1.65,0.001257
1.651,0.00125873
1.652,0.0012604
1.653,0.00126202
1.654,0.00126358
1.655,0.00126509
1.656,0.00126654
1.657,0.00126794
1.658,0.00126929
1.659,0.00127058
1.66,0.00127182
1.661,0.00127301
1.662,0.00127414
1.663,0.00127523
1.664,0.00127626
1.665,0.00127725
1.666,0.00127818
1.667,0.00127906
1.668,0.0012799
1.669,0.00128069
1.67,0.00128142
1.671,0.00128212
1.672,0.00128276
1.673,0.00128336
1.674,0.00128391
1.675,0.00128441
1.676,0.00128487
1.677,0.00128528
1.678,0.00128565
1.679,0.00128598
1.68,0.00128626
1.681,0.0012865
1.682,0.00128669
1.683,0.00128685
1.684,0.00128696
1.685,0.00128703
1.686,0.00128705
1.687,0.00128704
1.688,0.00128698
1.689,0.00128689
1.69,0.00128676
1.691,0.00128658
1.692,0.00128637
1.693,0.00128612
1.694,0.00128583
1.695,0.0012855
1.696,0.00128513
1.697,0.00128473
1.698,0.00128429
1.699,0.00128382
1.7,0.00128331
1.701,0.00128276
1.702,0.00128218
1.703,0.00128156
1.704,0.00128091
1.705,0.00128022
1.706,0.0012795
1.707,0.00127874
1.708,0.00127796
1.709,0.00127714
1.71,0.00127628
1.711,0.0012754
1.712,0.00127448
1.713,0.00127353
1.714,0.00127255
1.715,0.00127154
1.716,0.0012705
1.717,0.00126943
1.718,0.00126833
1.719,0.0012672
1.72,0.00126604
1.721,0.00126485
1.722,0.00126363
1.723,0.00126239
1.724,0.00126111
1.725,0.00125981
1.726,0.00125848
1.727,0.00125713
1.728,0.00125575
1.729,0.00125434
1.73,0.0012529
1.731,0.00125144
1.732,0.00124995
1.733,0.00124844
1.734,0.00124691
1.735,0.00124534
1.736,0.00124376
1.737,0.00124215
1.738,0.00124051
1.739,0.00123885
1.74,0.00123717
1.741,0.00123547
1.742,0.00123374
1.743,0.00123199
1.744,0.00123022
1.745,0.00122843
1.746,0.00122661
1.747,0.00122478
1.748,0.00122292
1.749,0.00122104
1.75,0.00121914
1.751,0.00121722
1.752,0.00121528
1.753,0.00121332
1.754,0.00121134
1.755,0.00120934
1.756,0.00120732
1.757,0.00120529
1.758,0.00120323
1.759,0.00120116
1.76,0.00119907
1.761,0.00119696
1.762,0.00119483
1.763,0.00119268
1.764,0.00119052
1.765,0.00118834
1.766,0.00118615
1.767,0.00118393
1.768,0.00118171
1.769,0.00117946
1.77,0.0011772
1.771,0.00117492
1.772,0.00117263
1.773,0.00117033
1.774,0.001168
1.775,0.00116567
1.776,0.00116332
1.777,0.00116095
1.778,0.00115857
1.779,0.00115618
1.78,0.00115377
1.781,0.00115135
1.782,0.00114892
1.783,0.00114647
1.784,0.00114401
1.785,0.00114154
1.786,0.00113905
1.787,0.00113656
1.788,0.00113405
1.789,0.00113153
1.79,0.00112899
1.791,0.00112645
1.792,0.00112389
1.793,0.00112133
1.794,0.00111875
1.795,0.00111616
1.796,0.00111356
1.797,0.00111095
1.798,0.00110833
1.799,0.0011057
1.8,0.00110306
1.801,0.00110041
1.802,0.00109775
1.803,0.00109509
1.804,0.00109241
1.805,0.00108972
1.806,0.00108703
1.807,0.00108432
1.808,0.00108161
1.809,0.00107889
1.81,0.00107616
1.811,0.00107342
1.812,0.00107068
1.813,0.00106793
1.814,0.00106517
1.815,0.0010624
1.816,0.00105963
1.817,0.00105685
1.818,0.00105406
1.819,0.00105126
1.82,0.00104846
1.821,0.00104565
1.822,0.00104284
1.823,0.00104002
1.824,0.00103719
1.825,0.00103436
1.826,0.00103152
1.827,0.00102868
1.828,0.00102583
1.829,0.00102297
1.83,0.00102011
1.831,0.00101725
1.832,0.00101438
1.833,0.00101151
1.834,0.00100863
1.835,0.00100574
1.836,0.00100286
1.837,0.000999965
1.838,0.00099707
1.839,0.00099417
1.84,0.000991266
1.841,0.000988359
1.842,0.000985449
1.843,0.000982534
1.844,0.000979617
1.845,0.000976696
1.846,0.000973772
1.847,0.000970846
1.848,0.000967916
1.849,0.000964984
1.85,0.000962049
1.851,0.000959112
1.852,0.000956172
1.853,0.00095323
1.854,0.000950286
1.855,0.00094734
1.856,0.000944392
1.857,0.000941442
1.858,0.000938491
1.859,0.000935538
1.86,0.000932583
1.861,0.000929627
1.862,0.00092667
1.863,0.000923711
1.864,0.000920752
1.865,0.000917791
1.866,0.00091483
1.867,0.000911868
1.868,0.000908905
1.869,0.000905942
1.87,0.000902978
1.871,0.000900014
1.872,0.00089705
1.873,0.000894085
1.874,0.00089112
1.875,0.000888156
1.876,0.000885191
1.877,0.000882227
1.878,0.000879263
1.879,0.000876299
1.88,0.000873336
1.881,0.000870373
1.882,0.000867411
1.883,0.000864449
1.884,0.000861489
1.885,0.000858529
1.886,0.00085557
1.887,0.000852613
1.888,0.000849656
1.889,0.000846701
1.89,0.000843747
1.891,0.000840794
1.892,0.000837843
1.893,0.000834893
1.894,0.000831945
1.895,0.000828999
1.896,0.000826054
1.897,0.000823112
1.898,0.000820171
1.899,0.000817232
1.9,0.000814295
1.901,0.00081136
1.902,0.000808428
1.903,0.000805498
1.904,0.00080257
1.905,0.000799644
1.906,0.000796721
1.907,0.000793801
1.908,0.000790883
1.909,0.000787968
1.91,0.000785056
1.911,0.000782146
1.912,0.000779239
1.913,0.000776335
1.914,0.000773434
1.915,0.000770537
1.916,0.000767642
1.917,0.00076475
1.918,0.000761862
1.919,0.000758977
1.92,0.000756096
1.921,0.000753217
1.922,0.000750343
1.923,0.000747471
1.924,0.000744604
1.925,0.00074174
1.926,0.000738879
1.927,0.000736023
1.928,0.00073317
1.929,0.000730321
1.93,0.000727476
1.931,0.000724635
1.932,0.000721798
1.933,0.000718965
1.934,0.000716136
1.935,0.000713311
1.936,0.00071049
1.937,0.000707674
1.938,0.000704862
1.939,0.000702054
1.94,0.000699251
1.941,0.000696452
1.942,0.000693657
1.943,0.000690867
1.944,0.000688082
1.945,0.000685301
1.946,0.000682525
1.947,0.000679754
1.948,0.000676987
1.949,0.000674225
1.95,0.000671468
1.951,0.000668716
1.952,0.000665968
1.953,0.000663226
1.954,0.000660488
1.955,0.000657756
1.956,0.000655028
1.957,0.000652306
1.958,0.000649589
1.959,0.000646877
1.96,0.00064417
1.961,0.000641468
1.962,0.000638772
1.963,0.000636081
1.964,0.000633395
1.965,0.000630714
1.966,0.000628039
1.967,0.00062537
1.968,0.000622706
1.969,0.000620047
1.97,0.000617394
1.971,0.000614746
1.972,0.000612104
1.973,0.000609468
1.974,0.000606837
1.975,0.000604212
1.976,0.000601592
1.977,0.000598978
1.978,0.00059637
1.979,0.000593768
1.98,0.000591171
1.981,0.000588581
1.982,0.000585996
1.983,0.000583417
1.984,0.000580844
1.985,0.000578277
1.986,0.000575716
1.987,0.000573161
1.988,0.000570611
1.989,0.000568068
1.99,0.000565531
1.991,0.000563
1.992,0.000560475
1.993,0.000557956
1.994,0.000555443
1.995,0.000552936
1.996,0.000550436
1.997,0.000547941
1.998,0.000545453
1.999,0.000542971
2,0.000540495
2.001,0.000538026
2.002,0.000535563
2.003,0.000533106
2.004,0.000530655
2.005,0.000528211
2.006,0.000525773
2.007,0.000523341
2.008,0.000520916
2.009,0.000518497
2.01,0.000516084
2.011,0.000513678
2.012,0.000511278
2.013,0.000508885
2.014,0.000506498
2.015,0.000504118
2.016,0.000501744
2.017,0.000499377
2.018,0.000497016
2.019,0.000494661
2.02,0.000492313
2.021,0.000489972
2.022,0.000487637
2.023,0.000485309
2.024,0.000482987
2.025,0.000480672
2.026,0.000478364
2.027,0.000476062
2.028,0.000473766
2.029,0.000471478
2.03,0.000469196
2.031,0.00046692
2.032,0.000464651
2.033,0.000462389
2.034,0.000460134
2.035,0.000457885
2.036,0.000455642
2.037,0.000453407
2.038,0.000451178
2.039,0.000448956
2.04,0.00044674
2.041,0.000444532
2.042,0.000442329
2.043,0.000440134
2.044,0.000437945
2.045,0.000435763
2.046,0.000433588
2.047,0.00043142
2.048,0.000429258
2.049,0.000427103
2.05,0.000424954
2.051,0.000422813
2.052,0.000420678
2.053,0.00041855
2.054,0.000416428
2.055,0.000414314
2.056,0.000412206
2.057,0.000410104
2.058,0.00040801
2.059,0.000405922
2.06,0.000403841
2.061,0.000401767
2.062,0.0003997
2.063,0.000397639
2.064,0.000395585
2.065,0.000393538
2.066,0.000391498
2.067,0.000389464
2.068,0.000387437
2.069,0.000385417
2.07,0.000383404
2.071,0.000381397
2.072,0.000379397
2.073,0.000377404
2.074,0.000375418
2.075,0.000373438
2.076,0.000371465
2.077,0.000369499
2.078,0.00036754
2.079,0.000365587
2.08,0.000363641
2.081,0.000361702
2.082,0.000359769
2.083,0.000357844
2.084,0.000355925
2.085,0.000354012
2.086,0.000352107
2.087,0.000350208
2.088,0.000348315
2.089,0.00034643
2.09,0.000344551
2.091,0.000342679
2.092,0.000340813
2.093,0.000338955
2.094,0.000337102
2.095,0.000335257
2.096,0.000333418
2.097,0.000331586
2.098,0.000329761
2.099,0.000327942
2.1,0.000326129
2.101,0.000324324
2.102,0.000322525
2.103,0.000320733
2.104,0.000318947
2.105,0.000317168
2.106,0.000315395
2.107,0.000313629
2.108,0.00031187
2.109,0.000310117
2.11,0.000308371
2.111,0.000306631
2.112,0.000304898
2.113,0.000303172
2.114,0.000301451
2.115,0.000299738
2.116,0.000298031
2.117,0.000296331
2.118,0.000294637
2.119,0.000292949
2.12,0.000291268
2.121,0.000289594
2.122,0.000287926
2.123,0.000286264
2.124,0.000284609
2.125,0.00028296
2.126,0.000281318
2.127,0.000279682
2.128,0.000278053
2.129,0.00027643
2.13,0.000274813
2.131,0.000273203
2.132,0.000271599
2.133,0.000270001
2.134,0.00026841
2.135,0.000266825
2.136,0.000265247
2.137,0.000263675
2.138,0.000262109
2.139,0.000260549
2.14,0.000258996
2.141,0.000257449
2.142,0.000255908
2.143,0.000254374
2.144,0.000252845
2.145,0.000251323
2.146,0.000249808
2.147,0.000248298
2.148,0.000246795
2.149,0.000245298
2.15,0.000243807
2.151,0.000242322
2.152,0.000240843
2.153,0.00023937
2.154,0.000237904
2.155,0.000236444
2.156,0.00023499
2.157,0.000233541
2.158,0.000232099
2.159,0.000230663
2.16,0.000229233
2.161,0.00022781
2.162,0.000226392
2.163,0.00022498
2.164,0.000223574
2.165,0.000222174
2.166,0.00022078
2.167,0.000219393
2.168,0.000218011
2.169,0.000216635
2.17,0.000215265
2.171,0.0002139
2.172,0.000212542
2.173,0.00021119
2.174,0.000209843
2.175,0.000208503
2.176,0.000207168
2.177,0.000205839
2.178,0.000204516
2.179,0.000203199
2.18,0.000201887
2.181,0.000200581
2.182,0.000199281
2.183,0.000197987
2.184,0.000196699
2.185,0.000195416
2.186,0.000194139
2.187,0.000192868
2.188,0.000191602
2.189,0.000190342
2.19,0.000189088
2.191,0.000187839
2.192,0.000186596
2.193,0.000185358
2.194,0.000184127
2.195,0.0001829
2.196,0.00018168
2.197,0.000180464
2.198,0.000179255
2.199,0.000178051
2.2,0.000176852
2.201,0.000175659
2.202,0.000174472
2.203,0.00017329
2.204,0.000172113
2.205,0.000170942
2.206,0.000169776
2.207,0.000168616
2.208,0.000167461
2.209,0.000166311
2.21,0.000165167
2.211,0.000164028
2.212,0.000162895
2.213,0.000161766
2.214,0.000160643
2.215,0.000159526
2.216,0.000158414
2.217,0.000157307
2.218,0.000156205
2.219,0.000155108
2.22,0.000154017
2.221,0.000152931
2.222,0.00015185
2.223,0.000150774
2.224,0.000149703
2.225,0.000148638
2.226,0.000147578
2.227,0.000146522
2.228,0.000145472
2.229,0.000144427
2.23,0.000143387
2.231,0.000142352
2.232,0.000141323
2.233,0.000140298
2.234,0.000139278
2.235,0.000138263
2.236,0.000137253
2.237,0.000136248
2.238,0.000135248
2.239,0.000134253
2.24,0.000133263
2.241,0.000132278
2.242,0.000131298
2.243,0.000130323
2.244,0.000129352
2.245,0.000128386
2.246,0.000127425
2.247,0.000126469
2.248,0.000125518
2.249,0.000124572
2.25,0.00012363
2.251,0.000122693
2.252,0.000121761
2.253,0.000120833
2.254,0.00011991
2.255,0.000118992
2.256,0.000118079
2.257,0.00011717
2.258,0.000116266
2.259,0.000115366
2.26,0.000114472
2.261,0.000113581
2.262,0.000112696
2.263,0.000111814
2.264,0.000110938
2.265,0.000110066
2.266,0.000109198
2.267,0.000108335
2.268,0.000107477
2.269,0.000106623
2.27,0.000105773
2.271,0.000104928
2.272,0.000104087
2.273,0.000103251
2.274,0.000102419
2.275,0.000101592
2.276,0.000100769
2.277,9.99499e-05
2.278,9.91355e-05
2.279,9.83254e-05
2.28,9.75197e-05
2.281,9.67182e-05
2.282,9.5921e-05
2.283,9.51281e-05
2.284,9.43394e-05
2.285,9.3555e-05
2.286,9.27748e-05
2.287,9.19987e-05
2.288,9.12269e-05
2.289,9.04593e-05
2.29,8.96958e-05
2.291,8.89365e-05
2.292,8.81813e-05
2.293,8.74302e-05
2.294,8.66832e-05
2.295,8.59403e-05
2.296,8.52015e-05
2.297,8.44667e-05
2.298,8.3736e-05
2.299,8.30093e-05
2.3,8.22866e-05
2.301,8.15679e-05
2.302,8.08532e-05
2.303,8.01424e-05
2.304,7.94356e-05
2.305,7.87328e-05
2.306,7.80339e-05
2.307,7.73388e-05
2.308,7.66477e-05
2.309,7.59605e-05
2.31,7.52771e-05
2.311,7.45976e-05
2.312,7.39219e-05
2.313,7.325e-05
2.314,7.25819e-05
2.315,7.19177e-05
2.316,7.12572e-05
2.317,7.06004e-05
2.318,6.99475e-05
2.319,6.92982e-05
2.32,6.86527e-05
2.321,6.80108e-05
2.322,6.73727e-05
2.323,6.67382e-05
2.324,6.61074e-05
2.325,6.54803e-05
2.326,6.48568e-05
2.327,6.42369e-05
2.328,6.36206e-05
2.329,6.30079e-05
2.33,6.23987e-05
2.331,6.17932e-05
2.332,6.11912e-05
2.333,6.05927e-05
2.334,5.99977e-05
2.335,5.94062e-05
2.336,5.88183e-05
2.337,5.82338e-05
2.338,5.76527e-05
2.339,5.70752e-05
2.34,5.6501e-05
2.341,5.59303e-05
2.342,5.5363e-05
2.343,5.47991e-05
2.344,5.42385e-05
2.345,5.36813e-05
2.346,5.31275e-05
2.347,5.2577e-05
2.348,5.20299e-05
2.349,5.1486e-05
2.35,5.09454e-05
2.351,5.04082e-05
2.352,4.98742e-05
2.353,4.93434e-05
2.354,4.88159e-05
2.355,4.82916e-05
2.356,4.77706e-05
2.357,4.72527e-05
2.358,4.6738e-05
2.359,4.62265e-05
2.36,4.57182e-05
2.361,4.5213e-05
2.362,4.47109e-05
2.363,4.4212e-05
2.364,4.37162e-05
2.365,4.32235e-05
2.366,4.27338e-05
2.367,4.22472e-05
2.368,4.17637e-05
2.369,4.12832e-05
2.37,4.08057e-05
2.371,4.03313e-05
2.372,3.98599e-05
2.373,3.93914e-05
2.374,3.89259e-05
2.375,3.84634e-05
2.376,3.80039e-05
2.377,3.75472e-05
2.378,3.70935e-05
2.379,3.66428e-05
2.38,3.61949e-05
2.381,3.57499e-05
2.382,3.53077e-05
2.383,3.48685e-05
2.384,3.4432e-05
2.385,3.39985e-05
2.386,3.35677e-05
2.387,3.31397e-05
2.388,3.27146e-05
2.389,3.22922e-05
2.39,3.18726e-05
2.391,3.14558e-05
2.392,3.10417e-05
2.393,3.06303e-05
2.394,3.02217e-05
2.395,2.98157e-05
2.396,2.94125e-05
2.397,2.9012e-05
2.398,2.86141e-05
2.399,2.82189e-05
2.4,2.78263e-05
2.401,2.74364e-05
2.402,2.70491e-05
2.403,2.66644e-05
2.404,2.62823e-05
2.405,2.59028e-05
2.406,2.55259e-05
2.407,2.51516e-05
2.408,2.47798e-05
2.409,2.44105e-05
2.41,2.40437e-05
2.411,2.36795e-05
2.412,2.33178e-05
2.413,2.29586e-05
2.414,2.26019e-05
2.415,2.22476e-05
2.416,2.18958e-05
2.417,2.15464e-05
2.418,2.11995e-05
2.419,2.0855e-05
2.42,2.05129e-05
2.421,2.01732e-05
2.422,1.98359e-05
2.423,1.95009e-05
2.424,1.91684e-05
2.425,1.88382e-05
2.426,1.85103e-05
2.427,1.81848e-05
2.428,1.78615e-05
2.429,1.75406e-05
2.43,1.7222e-05
2.431,1.69057e-05
2.432,1.65917e-05
2.433,1.62799e-05
2.434,1.59704e-05
2.435,1.56631e-05
2.436,1.5358e-05
2.437,1.50552e-05
2.438,1.47546e-05
2.439,1.44562e-05
2.44,1.416e-05
2.441,1.38659e-05
2.442,1.3574e-05
2.443,1.32843e-05
2.444,1.29967e-05
2.445,1.27112e-05
2.446,1.24279e-05
2.447,1.21467e-05
2.448,1.18676e-05
2.449,1.15906e-05
2.45,1.13156e-05
2.451,1.10428e-05
2.452,1.0772e-05
2.453,1.05032e-05
2.454,1.02365e-05
2.455,9.97179e-06
2.456,9.70912e-06
2.457,9.44846e-06
2.458,9.1898e-06
2.459,8.93312e-06
2.46,8.67843e-06
2.461,8.4257e-06
2.462,8.17493e-06
2.463,7.92611e-06
2.464,7.67923e-06
2.465,7.43427e-06
2.466,7.19123e-06
2.467,6.9501e-06
2.468,6.71087e-06
2.469,6.47352e-06
2.47,6.23806e-06
2.471,6.00446e-06
2.472,5.77272e-06
2.473,5.54283e-06
2.474,5.31478e-06
2.475,5.08856e-06
2.476,4.86416e-06
2.477,4.64156e-06
2.478,4.42077e-06
2.479,4.20177e-06
2.48,3.98456e-06
2.481,3.76911e-06
2.482,3.55543e-06
2.483,3.3435e-06
2.484,3.13331e-06
2.485,2.92486e-06
2.486,2.71813e-06
2.487,2.51312e-06
2.488,2.30982e-06
2.489,2.10822e-06
2.49,1.9083e-06
2.491,1.71006e-06
2.492,1.51349e-06
2.493,1.31859e-06
2.494,1.12533e-06
2.495,9.33723e-07
2.496,7.43746e-07
2.497,5.55395e-07
2.498,3.68659e-07
2.499,1.83531e-07
2.5,1.51591e-12
2.501,-1.81938e-07
2.502,-3.62297e-07
2.503,-5.41084e-07
2.504,-7.18307e-07
2.505,-8.93975e-07
2.506,-1.0681e-06
2.507,-1.24068e-06
2.508,-1.41174e-06
2.509,-1.58127e-06
2.51,-1.74929e-06
2.511,-1.91581e-06
2.512,-2.08084e-06
2.513,-2.24438e-06
2.514,-2.40644e-06
2.515,-2.56703e-06
2.516,-2.72615e-06
2.517,-2.88383e-06
2.518,-3.04006e-06
2.519,-3.19485e-06
2.52,-3.34822e-06
2.521,-3.50016e-06
2.522,-3.65069e-06
2.523,-3.79982e-06
2.524,-3.94755e-06
2.525,-4.0939e-06
2.526,-4.23886e-06
2.527,-4.38245e-06
2.528,-4.52468e-06
2.529,-4.66555e-06
2.53,-4.80507e-06
2.531,-4.94325e-06
2.532,-5.0801e-06
2.533,-5.21563e-06
2.534,-5.34984e-06
2.535,-5.48273e-06
2.536,-5.61433e-06
2.537,-5.74463e-06
2.538,-5.87365e-06
2.539,-6.00138e-06
2.54,-6.12785e-06
2.541,-6.25305e-06
2.542,-6.37699e-06
2.543,-6.49969e-06
2.544,-6.62114e-06
2.545,-6.74137e-06
2.546,-6.86036e-06
2.547,-6.97814e-06
2.548,-7.0947e-06
2.549,-7.21006e-06
2.55,-7.32422e-06
2.551,-7.43719e-06
2.552,-7.54898e-06
2.553,-7.65959e-06
2.554,-7.76903e-06
2.555,-7.87732e-06
2.556,-7.98444e-06
2.557,-8.09042e-06
2.558,-8.19526e-06
2.559,-8.29897e-06
2.56,-8.40155e-06
2.561,-8.50301e-06
2.562,-8.60336e-06
2.563,-8.7026e-06
2.564,-8.80075e-06
2.565,-8.8978e-06
2.566,-8.99377e-06
2.567,-9.08865e-06
2.568,-9.18247e-06
2.569,-9.27522e-06
2.57,-9.36692e-06
2.571,-9.45756e-06
2.572,-9.54715e-06
2.573,-9.63571e-06
2.574,-9.72324e-06
2.575,-9.80974e-06
2.576,-9.89522e-06
2.577,-9.97969e-06
2.578,-1.00631e-05
2.579,-1.01456e-05
2.58,-1.02271e-05
2.581,-1.03076e-05
2.582,-1.03871e-05
2.583,-1.04656e-05
2.584,-1.05432e-05
2.585,-1.06198e-05
2.586,-1.06954e-05
2.587,-1.07701e-05
2.588,-1.08438e-05
2.589,-1.09167e-05
2.59,-1.09885e-05
2.591,-1.10595e-05
2.592,-1.11295e-05
2.593,-1.11987e-05
2.594,-1.12669e-05
2.595,-1.13342e-05
2.596,-1.14006e-05
2.597,-1.14662e-05
2.598,-1.15308e-05
2.599,-1.15946e-05
2.6,-1.16575e-05
2.601,-1.17195e-05
2.602,-1.17807e-05
2.603,-1.1841e-05
2.604,-1.19005e-05
2.605,-1.19591e-05
2.606,-1.20169e-05
2.607,-1.20739e-05
2.608,-1.213e-05
2.609,-1.21853e-05
2.61,-1.22398e-05
2.611,-1.22935e-05
2.612,-1.23464e-05
2.613,-1.23985e-05
2.614,-1.24498e-05
2.615,-1.25003e-05
2.616,-1.25501e-05
2.617,-1.2599e-05
2.618,-1.26472e-05
2.619,-1.26946e-05
2.62,-1.27413e-05
2.621,-1.27872e-05
2.622,-1.28324e-05
2.623,-1.28768e-05
2.624,-1.29204e-05
2.625,-1.29634e-05
2.626,-1.30056e-05
2.627,-1.30471e-05
2.628,-1.30878e-05
2.629,-1.31279e-05
2.63,-1.31672e-05
2.631,-1.32059e-05
2.632,-1.32438e-05
2.633,-1.32811e-05
2.634,-1.33176e-05
2.635,-1.33535e-05
2.636,-1.33887e-05
2.637,-1.34232e-05
2.638,-1.34571e-05
2.639,-1.34903e-05
2.64,-1.35228e-05
2.641,-1.35547e-05
2.642,-1.35859e-05
2.643,-1.36165e-05
2.644,-1.36465e-05
2.645,-1.36758e-05
2.646,-1.37044e-05
2.647,-1.37325e-05
2.648,-1.37599e-05
2.649,-1.37868e-05
2.65,-1.3813e-05
2.651,-1.38385e-05
2.652,-1.38635e-05
2.653,-1.38879e-05
2.654,-1.39117e-05
2.655,-1.39349e-05
2.656,-1.39576e-05
2.657,-1.39796e-05
2.658,-1.40011e-05
2.659,-1.4022e-05
2.66,-1.40423e-05
2.661,-1.40621e-05
2.662,-1.40813e-05
2.663,-1.40999e-05
2.664,-1.4118e-05
2.665,-1.41356e-05
2.666,-1.41526e-05
2.667,-1.41691e-05
2.668,-1.4185e-05
2.669,-1.42004e-05
2.67,-1.42153e-05
2.671,-1.42297e-05
2.672,-1.42435e-05
2.673,-1.42569e-05
2.674,-1.42697e-05
2.675,-1.4282e-05
2.676,-1.42939e-05
2.677,-1.43052e-05
2.678,-1.4316e-05
2.679,-1.43264e-05
2.68,-1.43362e-05
2.681,-1.43456e-05
2.682,-1.43545e-05
2.683,-1.43629e-05
2.684,-1.43709e-05
2.685,-1.43784e-05
