x,psi,E
-7.44975,1.02517e-12,0
-7.43713,1.12713e-12,0
-7.4245,1.23902e-12,0
-7.41188,1.36181e-12,0
-7.39925,1.49654e-12,0
-7.38663,1.64433e-12,0
-7.374,1.80643e-12,0
-7.36138,1.9842e-12,0
-7.34875,2.17912e-12,0
-7.33613,2.39281e-12,0
-7.3235,2.62703e-12,0
-7.31088,2.88373e-12,0
-7.29825,3.16502e-12,0
-7.28563,3.47319e-12,0
-7.273,3.81076e-12,0
-7.26038,4.18049e-12,0
-7.24775,4.58536e-12,0
-7.23513,5.02865e-12,0
-7.2225,5.51392e-12,0
-7.20988,6.04507e-12,0
-7.19725,6.62634e-12,0
-7.18463,7.26235e-12,0
-7.172,7.95815e-12,0
-7.15938,8.71924e-12,0
-7.14675,9.5516e-12,0
-7.13413,1.04618e-11,0
-7.1215,1.14569e-11,0
-7.10888,1.25446e-11,0
-7.09625,1.37335e-11,0
-7.08363,1.50327e-11,0
-7.071,1.64522e-11,0
-7.05838,1.80029e-11,0
-7.04575,1.96966e-11,0
-7.03313,2.15462e-11,0
-7.0205,2.35659e-11,0
-7.00788,2.57708e-11,0
-6.99525,2.81775e-11,0
-6.98263,3.08041e-11,0
-6.97,3.36703e-11,0
-6.95738,3.67973e-11,0
-6.94475,4.02085e-11,0
-6.93213,4.39289e-11,0
-6.9195,4.79859e-11,0
-6.90688,5.24094e-11,0
-6.89425,5.72316e-11,0
-6.88163,6.24876e-11,0
-6.869,6.82156e-11,0
-6.85638,7.44569e-11,0
-6.84375,8.12565e-11,0
-6.83113,8.86629e-11,0
-6.8185,9.67293e-11,0
-6.80588,1.05513e-10,0
-6.79325,1.15076e-10,0
-6.78063,1.25486e-10,0
-6.768,1.36816e-10,0
-6.75538,1.49145e-10,0
-6.74275,1.6256e-10,0
-6.73013,1.77153e-10,0
-6.7175,1.93027e-10,0
-6.70488,2.10289e-10,0
-6.69225,2.29059e-10,0
-6.67963,2.49465e-10,0
-6.667,2.71646e-10,0
-6.65438,2.95752e-10,0
-6.64175,3.21948e-10,0
-6.62913,3.50407e-10,0
-6.6165,3.81323e-10,0
-6.60388,4.14901e-10,0
-6.59125,4.51365e-10,0
-6.57863,4.90955e-10,0
-6.566,5.33934e-10,0
-6.55338,5.80584e-10,0
-6.54075,6.31211e-10,0
-6.52813,6.86144e-10,0
-6.5155,7.45739e-10,0
-6.50288,8.10384e-10,0
-6.49025,8.80493e-10,0
-6.47763,9.56517e-10,0
-6.465,1.03894e-09,0
-6.45238,1.12829e-09,0
-6.43975,1.22513e-09,0
-6.42713,1.33007e-09,0
-6.4145,1.44378e-09,0
-6.40188,1.56696e-09,0
-6.38925,1.70037e-09,0
-6.37663,1.84486e-09,0
-6.364,2.00131e-09,0
-6.35138,2.17069e-09,0
-6.33875,2.35403e-09,0
-6.32613,2.55245e-09,0
-6.3135,2.76716e-09,0
-6.30088,2.99946e-09,0
-6.28825,3.25075e-09,0
-6.27563,3.52254e-09,0
-6.263,3.81645e-09,0
-6.25038,4.13424e-09,0
-6.23775,4.47778e-09,0
-6.22513,4.8491e-09,0
-6.2125,5.25039e-09,0
-6.19988,5.68399e-09,0
-6.18725,6.15243e-09,0
-6.17463,6.65843e-09,0
-6.162,7.20491e-09,0
-6.14938,7.79501e-09,0
-6.13675,8.43212e-09,0
-6.12413,9.11987e-09,0
-6.1115,9.86216e-09,0
-6.09888,1.06632e-08,0
-6.08625,1.15275e-08,0
-6.07363,1.24598e-08,0
-6.061,1.34655e-08,0
-6.04838,1.455e-08,0
-6.03575,1.57194e-08,0
-6.02313,1.69802e-08,0
-6.0105,1.83391e-08,0
-5.99788,1.98037e-08,0
-5.98525,2.13819e-08,0
-5.97263,2.30823e-08,0
-5.96,2.49139e-08,0
-5.94738,2.68867e-08,0
-5.93475,2.90111e-08,0
-5.92213,3.12984e-08,0
-5.9095,3.37608e-08,0
-5.89688,3.64112e-08,0
-5.88425,3.92634e-08,0
-5.87163,4.23325e-08,0
-5.859,4.56342e-08,0
-5.84638,4.91858e-08,0
-5.83375,5.30054e-08,0
-5.82113,5.71126e-08,0
-5.8085,6.15285e-08,0
-5.79588,6.62753e-08,0
-5.78325,7.13772e-08,0
-5.77063,7.68597e-08,0
-5.758,8.27503e-08,0
-5.74538,8.90784e-08,0
-5.73275,9.58753e-08,0
-5.72013,1.03175e-07,0
-5.7075,1.11012e-07,0
-5.69488,1.19427e-07,0
-5.68225,1.28458e-07,0
-5.66963,1.38152e-07,0
-5.657,1.48553e-07,0
-5.64438,1.59712e-07,0
-5.63175,1.71683e-07,0
-5.61913,1.84522e-07,0
-5.6065,1.98289e-07,0
-5.59388,2.13051e-07,0
-5.58125,2.28876e-07,0
-5.56863,2.45837e-07,0
-5.556,2.64014e-07,0
-5.54338,2.83491e-07,0
-5.53075,3.04356e-07,0
-5.51813,3.26706e-07,0
-5.5055,3.50642e-07,0
-5.49288,3.76273e-07,0
-5.48025,4.03713e-07,0
-5.46763,4.33088e-07,0
-5.455,4.64526e-07,0
-5.44238,4.98168e-07,0
-5.42975,5.34164e-07,0
-5.41713,5.7267e-07,0
-5.4045,6.13855e-07,0
-5.39188,6.579e-07,0
-5.37925,7.04994e-07,0
-5.36663,7.5534e-07,0
-5.354,8.09156e-07,0
-5.34138,8.66669e-07,0
-5.32875,9.28125e-07,0
-5.31613,9.93783e-07,0
-5.3035,1.06392e-06,0
-5.29088,1.13883e-06,0
-5.27825,1.21882e-06,0
-5.26563,1.30422e-06,0
-5.253,1.39539e-06,0
-5.24038,1.4927e-06,0
-5.22775,1.59654e-06,0
-5.21513,1.70735e-06,0
-5.2025,1.82555e-06,0
-5.18988,1.95163e-06,0
-5.17725,2.0861e-06,0
-5.16463,2.22948e-06,0
-5.152,2.38234e-06,0
-5.13938,2.54528e-06,0
-5.12675,2.71894e-06,0
-5.11413,2.904e-06,0
-5.1015,3.10116e-06,0
-5.08888,3.3112e-06,0
-5.07625,3.5349e-06,0
-5.06363,3.77313e-06,0
-5.051,4.02678e-06,0
-5.03838,4.29681e-06,0
-5.02575,4.58424e-06,0
-5.01313,4.89012e-06,0
-5.0005,5.2156e-06,0
-4.98788,5.56187e-06,0
-4.97525,5.9302e-06,0
-4.96263,6.32193e-06,0
-4.95,6.73849e-06,0
-4.93738,7.18137e-06,0
-4.92475,7.65217e-06,0
-4.91213,8.15255e-06,0
-4.8995,8.68429e-06,0
-4.88688,9.24928e-06,0
-4.87425,9.84947e-06,0
-4.86163,1.0487e-05,0
-4.849,1.1164e-05,0
-4.83638,1.18829e-05,0
-4.82375,1.26461e-05,0
-4.81113,1.34562e-05,0
-4.7985,1.43159e-05,0
-4.78588,1.52282e-05,0
-4.77325,1.61962e-05,0
-4.76063,1.72229e-05,0
-4.748,1.83119e-05,0
-4.73538,1.94667e-05,0
-4.72275,2.06911e-05,0
-4.71013,2.19891e-05,0
-4.6975,2.33648e-05,0
-4.68488,2.48228e-05,0
-4.67225,2.63676e-05,0
-4.65963,2.80041e-05,0
-4.647,2.97376e-05,0
-4.63438,3.15735e-05,0
-4.62175,3.35175e-05,0
-4.60913,3.55757e-05,0
-4.5965,3.77543e-05,0
-4.58388,4.00601e-05,0
-4.57125,4.25001e-05,0
-4.55863,4.50817e-05,0
-4.546,4.78126e-05,0
-4.53338,5.07011e-05,0
-4.52075,5.37556e-05,0
-4.50813,5.69854e-05,0
-4.4955,6.03997e-05,0
-4.48288,6.40087e-05,0
-4.47025,6.78228e-05,0
-4.45763,7.18529e-05,0
-4.445,7.61106e-05,0
-4.43238,8.06081e-05,0
-4.41975,8.5358e-05,0
-4.40713,9.03738e-05,0
-4.3945,9.56693e-05,0
-4.38188,0.000101259,0
-4.36925,0.00010716,0
-4.35663,0.000113386,0
-4.344,0.000119955,0
-4.33138,0.000126885,0
-4.31875,0.000134195,0
-4.30613,0.000141904,0
-4.2935,0.000150032,0
-4.28088,0.000158601,0
-4.26825,0.000167633,0
-4.25563,0.000177153,0
-4.243,0.000187184,0
-4.23038,0.000197752,0
-4.21775,0.000208884,0
-4.20513,0.000220608,0
-4.1925,0.000232955,0
-4.17988,0.000245954,0
-4.16725,0.000259638,0
-4.15463,0.000274042,0
-4.142,0.000289199,0
-4.12938,0.000305147,0
-4.11675,0.000321925,0
-4.10413,0.000339572,0
-4.0915,0.000358131,0
-4.07888,0.000377646,0
-4.06625,0.000398163,0
-4.05363,0.000419729,0
-4.041,0.000442394,0
-4.02838,0.000466212,0
-4.01575,0.000491235,0
-4.00313,0.000517521,0
-3.9905,0.00054513,0
-3.97788,0.000574122,0
-3.96525,0.000604562,0
-3.95263,0.000636518,0
-3.94,0.000670059,0
-3.92738,0.000705258,0
-3.91475,0.000742191,0
-3.90213,0.000780938,0
-3.8895,0.00082158,0
-3.87688,0.000864203,0
-3.86425,0.000908897,0
-3.85163,0.000955755,0
-3.839,0.00100487,0
-3.82638,0.00105635,0
-3.81375,0.0011103,0
-3.80113,0.00116682,0
-3.7885,0.00122602,0
-3.77588,0.00128803,0
-3.76325,0.00135297,0
-3.75063,0.00142096,0
-3.738,0.00149214,0
-3.72538,0.00156665,0
-3.71275,0.00164462,0
-3.70013,0.0017262,0
-3.6875,0.00181155,0
-3.67488,0.00190083,0
-3.66225,0.0019942,0
-3.64963,0.00209183,0
-3.637,0.00219391,0
-3.62438,0.00230061,0
-3.61175,0.00241213,0
-3.59913,0.00252866,0
-3.5865,0.00265042,0
-3.57388,0.00277761,0
-3.56125,0.00291045,0
-3.54863,0.00304918,0
-3.536,0.00319403,0
-3.52338,0.00334525,0
-3.51075,0.00350309,0
-3.49813,0.00366781,0
-3.4855,0.00383968,0
-3.47288,0.00401899,0
-3.46025,0.00420603,0
-3.44763,0.00440109,0
-3.435,0.0046045,0
-3.42238,0.00481656,0
-3.40975,0.00503762,0
-3.39713,0.00526801,0
-3.3845,0.0055081,0
-3.37188,0.00575824,0
-3.35925,0.00601882,0
-3.34663,0.00629022,0
-3.334,0.00657286,0
-3.32138,0.00686714,0
-3.30875,0.0071735,0
-3.29613,0.00749238,0
-3.2835,0.00782423,0
-3.27088,0.00816953,0
-3.25825,0.00852876,0
-3.24563,0.00890242,0
-3.233,0.00929103,0
-3.22038,0.00969513,0
-3.20775,0.0101152,0
-3.19513,0.010552,0
-3.1825,0.0110058,0
-3.16988,0.0114775,0
-3.15725,0.0119675,0
-3.14463,0.0124766,0
-3.132,0.0130053,0
-3.11938,0.0135544,0
-3.10675,0.0141244,0
-3.09413,0.0147162,0
-3.0815,0.0153305,0
-3.06888,0.015968,0
-3.05625,0.0166294,0
-3.04363,0.0173156,0
-3.031,0.0180274,0
-3.01838,0.0187656,0
-3.00575,0.019531,0
-2.99313,0.0203245,0
-2.9805,0.0211471,0
-2.96788,0.0219996,0
-2.95525,0.022883,0
-2.94263,0.0237983,0
-2.93,0.0247464,0
-2.91738,0.0257284,0
-2.90475,0.0267453,0
-2.89213,0.0277981,0
-2.8795,0.028888,0
-2.86688,0.0300161,0
-2.85425,0.0311836,0
-2.84163,0.0323915,0
-2.829,0.0336411,0
-2.81638,0.0349336,0
-2.80375,0.0362703,0
-2.79113,0.0376524,0
-2.7785,0.0390813,0
-2.76588,0.0405583,0
-2.75325,0.0420848,0
-2.74063,0.043662,0
-2.728,0.0452916,0
-2.71538,0.0469749,0
-2.70275,0.0487134,0
-2.69013,0.0505086,0
-2.6775,0.0523621,0
-2.66488,0.0542754,0
-2.65225,0.0562502,0
-2.63963,0.058288,0
-2.627,0.0603906,0
-2.61438,0.0625596,0
-2.60175,0.0647968,0
-2.58913,0.0671038,0
-2.5765,0.0694826,0
-2.56388,0.0719349,0
-2.55125,0.0744626,0
-2.53863,0.0770675,0
-2.526,0.0797516,0
-2.51338,0.0825168,0
-2.50075,0.085365,0
-2.48813,0.0882984,0
-2.4755,0.0913189,0
-2.46288,0.0944286,0
-2.45025,0.0976297,0
-2.43763,0.100924,0
-2.425,0.104314,0
-2.41238,0.107802,0
-2.39975,0.11139,0
-2.38713,0.11508,0
-2.3745,0.118874,0
-2.36188,0.122776,0
-2.34925,0.126786,0
-2.33663,0.130908,0
-2.324,0.135144,0
-2.31138,0.139497,0
-2.29875,0.143968,0
-2.28613,0.14856,0
-2.2735,0.153277,0
-2.26088,0.158119,0
-2.24825,0.16309,0
-2.23563,0.168193,0
-2.223,0.17343,0
-2.21038,0.178803,0
-2.19775,0.184315,0
-2.18513,0.18997,0
-2.1725,0.195769,0
-2.15988,0.201715,0
-2.14725,0.207811,0
-2.13463,0.21406,0
-2.122,0.220465,0
-2.10938,0.227028,0
-2.09675,0.233751,0
-2.08413,0.240639,0
-2.0715,0.247693,0
-2.05888,0.254916,0
-2.04625,0.262312,0
-2.03363,0.269883,0
-2.021,0.277632,0
-2.00838,0.285561,0
-1.99575,0.293674,0
-1.98313,0.301974,0
-1.9705,0.310463,0
-1.95788,0.319144,0
-1.94525,0.328019,0
-1.93263,0.337093,0
-1.92,0.346368,0
-1.90738,0.355846,0
-1.89475,0.36553,0
-1.88213,0.375423,0
-1.8695,0.385529,0
-1.85688,0.395849,0
-1.84425,0.406387,0
-1.83163,0.417145,0
-1.819,0.428126,0
-1.80638,0.439333,0
-1.79375,0.450768,0
-1.78113,0.462435,0
-1.7685,0.474335,0
-1.75588,0.486472,0
-1.74325,0.498848,0
-1.73063,0.511466,0
-1.718,0.524327,0
-1.70538,0.537436,0
-1.69275,0.550793,0
-1.68013,0.564402,0
-1.6675,0.578265,0
-1.65488,0.592385,0
-1.64225,0.606763,0
-1.62963,0.621401,0
-1.617,0.636303,0
-1.60438,0.65147,0
-1.59175,0.666904,0
-1.57913,0.682608,0
-1.5665,0.698582,0
-1.55388,0.71483,0
-1.54125,0.731353,0
-1.52863,0.748154,0
-1.516,0.765232,0
-1.50338,0.782591,0
-1.49075,0.800232,0
-1.47813,0.818156,0
-1.4655,0.836366,0
-1.45288,0.854861,0
-1.44025,0.873644,0
-1.42763,0.892717,0
-1.415,0.912079,0
-1.40238,0.931732,0
-1.38975,0.951677,0
-1.37713,0.971915,0
-1.3645,0.992447,0
-1.35188,1.01327,0
-1.33925,1.03439,0
-1.32663,1.05581,0
-1.314,1.07753,0
-1.30138,1.09954,0
-1.28875,1.12184,0
-1.27613,1.14445,0
-1.2635,1.16735,0
-1.25088,1.19054,0
-1.23825,1.21404,0
-1.22563,1.23783,0
-1.213,1.26192,0
-1.20038,1.2863,0
-1.18775,1.31098,0
-1.17513,1.33596,0
-1.1625,1.36122,0
-1.14988,1.38678,0
-1.13725,1.41264,0
-1.12463,1.43878,0
-1.112,1.46522,0
-1.09938,1.49194,0
-1.08675,1.51895,0
-1.07413,1.54625,0
-1.0615,1.57383,0
-1.04888,1.60169,0
-1.03625,1.62984,0
-1.02363,1.65826,0
-1.011,1.68696,0
-0.998375,1.71594,0
-0.98575,1.74519,0
-0.973125,1.7747,0
-0.9605,1.80449,0
-0.947875,1.83454,0
-0.93525,1.86485,0
-0.922625,1.89543,0
-0.91,1.92626,0
-0.897375,1.95735,0
-0.88475,1.98868,0
-0.872125,2.02027,0
-0.8595,2.0521,0
-0.846875,2.08417,0
-0.83425,2.11648,0
-0.821625,2.14902,0
-0.809,2.1818,0
-0.796375,2.2148,0
-0.78375,2.24803,0
-0.771125,2.28148,0
-0.7585,2.31514,0
-0.745875,2.34902,0
-0.73325,2.3831,0
-0.720625,2.41739,0
-0.708,2.45188,0
-0.695375,2.48656,0
-0.68275,2.52144,0
-0.670125,2.5565,0
-0.6575,2.59175,0
-0.644875,2.62717,0
-0.63225,2.66277,0
-0.619625,2.69854,0
-0.607,2.73447,0
-0.594375,2.77057,0
-0.58175,2.80682,0
-0.569125,2.84322,0
-0.5565,2.87977,0
-0.543875,2.91646,0
-0.53125,2.95328,0
-0.518625,2.99025,0
-0.506,3.02733,0
-0.493375,3.06455,0
-0.48075,3.10188,0
-0.468125,3.13933,0
-0.4555,3.17688,0
-0.442875,3.21454,0
-0.43025,3.2523,0
-0.417625,3.29016,0
-0.405,3.32811,0
-0.392375,3.36614,0
-0.37975,3.40426,0
-0.367125,3.44246,0
-0.3545,3.48073,0
-0.341875,3.51907,0
-0.32925,3.55747,0
-0.316625,3.59594,0
-0.304,3.63447,0
-0.291375,3.67304,0
-0.27875,3.71167,0
-0.266125,3.75035,0
-0.2535,3.78906,0
-0.240875,3.82782,0
-0.22825,3.86661,0
-0.215625,3.90543,0
-0.203,3.94428,0
-0.190375,3.98316,0
-0.17775,4.02206,0
-0.165125,4.06098,0
-0.1525,4.09992,0
-0.139875,4.13887,0
-0.12725,4.17784,0
-0.114625,4.21682,0
-0.102,4.2558,0
-0.089375,4.2948,0
-0.07675,4.33379,0
-0.064125,4.3728,0
-0.0515,4.4118,0
-0.038875,4.45081,0
-0.02625,4.48982,0
-0.013625,4.52883,0
-0.001,4.56784,0
0.011625,4.60685,0
0.02425,4.64586,0
0.036875,4.68487,0
0.0495,4.72388,0
0.062125,4.76289,0
0.07475,4.80191,0
0.087375,4.84093,0
0.1,4.87995,0
9.98762,2.18282e-22,0
9.97525,2.47027e-22,0
9.96287,2.79541e-22,0
9.9505,3.16309e-22,0
9.93812,3.5788e-22,0
9.92575,4.0487e-22,0
9.91337,4.57975e-22,0
9.901,5.17982e-22,0
9.88862,5.85774e-22,0
9.87625,6.62348e-22,0
9.86387,7.48827e-22,0
9.8515,8.46478e-22,0
9.83912,9.56724e-22,0
9.82675,1.08117e-21,0
9.81437,1.22162e-21,0
9.802,1.38012e-21,0
9.78962,1.55895e-21,0
9.77725,1.76068e-21,0
9.76487,1.98822e-21,0
9.7525,2.24482e-21,0
9.74012,2.53416e-21,0
9.72775,2.86036e-21,0
9.71537,3.22805e-21,0
9.703,3.64247e-21,0
9.69062,4.10945e-21,0
9.67825,4.63561e-21,0
9.66587,5.22834e-21,0
9.6535,5.89595e-21,0
9.64112,6.64781e-21,0
9.62875,7.4944e-21,0
9.61637,8.44752e-21,0
9.604,9.5204e-21,0
9.59162,1.07279e-20,0
9.57925,1.20867e-20,0
9.56687,1.36156e-20,0
9.5545,1.53355e-20,0
9.54212,1.72701e-20,0
9.52975,1.94457e-20,0
9.51737,2.1892e-20,0
9.505,2.46424e-20,0
9.49262,2.77341e-20,0
9.48025,3.12089e-20,0
9.46787,3.51138e-20,0
9.4555,3.95012e-20,0
9.44312,4.443e-20,0
9.43075,4.99662e-20,0
9.41837,5.61837e-20,0
9.406,6.31653e-20,0
9.39362,7.10035e-20,0
9.38125,7.98023e-20,0
9.36887,8.96778e-20,0
9.3565,1.0076e-19,0
9.34412,1.13195e-19,0
9.33175,1.27144e-19,0
9.31937,1.42791e-19,0
9.307,1.60339e-19,0
9.29462,1.80017e-19,0
9.28225,2.02078e-19,0
9.26987,2.26809e-19,0
9.2575,2.54527e-19,0
9.24512,2.85589e-19,0
9.23275,3.20394e-19,0
9.22037,3.59385e-19,0
9.208,4.0306e-19,0
9.19562,4.51974e-19,0
9.18325,5.06747e-19,0
9.17087,5.6807e-19,0
9.1585,6.36718e-19,0
9.14612,7.13554e-19,0
9.13375,7.99539e-19,0
9.12137,8.95749e-19,0
9.109,1.00338e-18,0
9.09662,1.12378e-18,0
9.08425,1.25843e-18,0
9.07187,1.40901e-18,0
9.0595,1.57735e-18,0
9.04712,1.76555e-18,0
9.03475,1.97589e-18,0
9.02237,2.21096e-18,0
9.01,2.47362e-18,0
8.99762,2.76706e-18,0
8.98525,3.09484e-18,0
8.97287,3.46092e-18,0
8.9605,3.86972e-18,0
8.94812,4.32614e-18,0
8.93575,4.83566e-18,0
8.92337,5.40437e-18,0
8.911,6.03904e-18,0
8.89862,6.74722e-18,0
8.88625,7.5373e-18,0
8.87387,8.41861e-18,0
8.8615,9.40154e-18,0
8.84912,1.04976e-17,0
8.83675,1.17197e-17,0
8.82437,1.30821e-17,0
8.812,1.46007e-17,0
8.79962,1.6293e-17,0
8.78725,1.81787e-17,0
8.77487,2.02796e-17,0
8.7625,2.26198e-17,0
