x,psi,E
-7.74013,9.79037e-14,0.5
-7.7275,1.07945e-13,0.5
-7.71488,1.18998e-13,0.5
-7.70225,1.31161e-13,0.5
-7.68963,1.44544e-13,0.5
-7.677,1.59268e-13,0.5
-7.66438,1.75463e-13,0.5
-7.65175,1.93275e-13,0.5
-7.63913,2.1286e-13,0.5
-7.6265,2.34393e-13,0.5
-7.61388,2.58063e-13,0.5
-7.60125,2.84078e-13,0.5
-7.58863,3.12666e-13,0.5
-7.576,3.44076e-13,0.5
-7.56338,3.78581e-13,0.5
-7.55075,4.1648e-13,0.5
-7.53813,4.581e-13,0.5
-7.5255,5.03798e-13,0.5
-7.51288,5.53967e-13,0.5
-7.50025,6.09035e-13,0.5
-7.48763,6.6947e-13,0.5
-7.475,7.35785e-13,0.5
-7.46238,8.0854e-13,0.5
-7.44975,8.88348e-13,0.5
-7.43713,9.75877e-13,0.5
-7.4245,1.07186e-12,0.5
-7.41188,1.1771e-12,0.5
-7.39925,1.29246e-12,0.5
-7.38663,1.4189e-12,0.5
-7.374,1.55746e-12,0.5
-7.36138,1.70928e-12,0.5
-7.34875,1.87561e-12,0.5
-7.33613,2.05778e-12,0.5
-7.3235,2.2573e-12,0.5
-7.31088,2.47576e-12,0.5
-7.29825,2.71494e-12,0.5
-7.28563,2.97674e-12,0.5
-7.273,3.26327e-12,0.5
-7.26038,3.57681e-12,0.5
-7.24775,3.91985e-12,0.5
-7.23513,4.29511e-12,0.5
-7.2225,4.70554e-12,0.5
-7.20988,5.15437e-12,0.5
-7.19725,5.64511e-12,0.5
-7.18463,6.18159e-12,0.5
-7.172,6.76798e-12,0.5
-7.15938,7.4088e-12,0.5
-7.14675,8.10901e-12,0.5
-7.13413,8.87399e-12,0.5
-7.1215,9.70958e-12,0.5
-7.10888,1.06222e-11,0.5
-7.09625,1.16187e-11,0.5
-7.08363,1.27066e-11,0.5
-7.071,1.38942e-11,0.5
-7.05838,1.51904e-11,0.5
-7.04575,1.66049e-11,0.5
-7.03313,1.81482e-11,0.5
-7.0205,1.98317e-11,0.5
-7.00788,2.1668e-11,0.5
-6.99525,2.36706e-11,0.5
-6.98263,2.58541e-11,0.5
-6.97,2.82345e-11,0.5
-6.95738,3.08291e-11,0.5
-6.94475,3.36569e-11,0.5
-6.93213,3.67381e-11,0.5
-6.9195,4.00951e-11,0.5
-6.90688,4.37518e-11,0.5
