x,psi,E
-8.17482,3.08002e-15,6.95173e-310
-8.16232,3.41116e-15,6.95173e-310
-8.14982,3.77731e-15,6.95173e-310
-8.13731,4.18212e-15,6.95173e-310
-8.12481,4.62958e-15,6.95173e-310
-8.11231,5.12412e-15,6.95173e-310
-8.09981,5.67059e-15,6.95173e-310
-8.08731,6.27437e-15,6.95173e-310
-8.07481,6.94135e-15,6.95173e-310
-8.06231,7.67804e-15,6.95173e-310
-8.04981,8.49157e-15,6.95173e-310
-8.0373,9.38984e-15,6.95173e-310
-8.0248,1.03815e-14,6.95173e-310
-8.0123,1.14761e-14,6.95173e-310
-7.9998,1.26842e-14,6.95173e-310
-7.9873,1.40172e-14,6.95173e-310
-7.9748,1.54879e-14,6.95173e-310
-7.9623,1.71102e-14,6.95173e-310
-7.9498,1.88995e-14,6.95173e-310
-7.93729,2.08726e-14,6.95173e-310
-7.92479,2.30482e-14,6.95173e-310
-7.91229,2.54465e-14,6.95173e-310
-7.89979,2.809e-14,6.95173e-310
-7.88729,3.10032e-14,6.95173e-310
-7.87479,3.42133e-14,6.95173e-310
-7.86229,3.77498e-14,6.95173e-310
-7.84979,4.16454e-14,6.95173e-310
-7.83728,4.59358e-14,6.95173e-310
-7.82478,5.06603e-14,6.95173e-310
-7.81228,5.5862e-14,6.95173e-310
-7.79978,6.15881e-14,6.95173e-310
-7.78728,6.78906e-14,6.95173e-310
-7.77478,7.48264e-14,6.95173e-310
-7.76228,8.24578e-14,6.95173e-310
-7.74978,9.08534e-14,6.95173e-310
-7.73727,1.00088e-13,6.95173e-310
-7.72477,1.10244e-13,6.95173e-310
-7.71227,1.21412e-13,6.95173e-310
-7.69977,1.3369e-13,6.95173e-310
-7.68727,1.47187e-13,6.95173e-310
-7.67477,1.62021e-13,6.95173e-310
-7.66227,1.78322e-13,6.95173e-310
-7.64977,1.96233e-13,6.95173e-310
-7.63726,2.15908e-13,6.95173e-310
-7.62476,2.3752e-13,6.95173e-310
-7.61226,2.61254e-13,6.95173e-310
-7.59976,2.87314e-13,6.95173e-310
-7.58726,3.15925e-13,6.95173e-310
-7.57476,3.4733e-13,6.95173e-310
-7.56226,3.81798e-13,6.95173e-310
-7.54976,4.19621e-13,6.95173e-310
-7.53725,4.61118e-13,6.95173e-310
-7.52475,5.06641e-13,6.95173e-310
-7.51225,5.5657e-13,6.95173e-310
-7.49975,6.11324e-13,6.95173e-310
-7.48725,6.7136e-13,6.95173e-310
-7.47475,7.37176e-13,6.95173e-310
-7.46225,8.09318e-13,6.95173e-310
-7.44975,8.88382e-13,6.95173e-310
-7.43724,9.75016e-13,6.95173e-310
-7.42474,1.06993e-12,6.95173e-310
-7.41224,1.17391e-12,6.95173e-310
-7.39974,1.28778e-12,6.95173e-310
-7.38724,1.41248e-12,6.95173e-310
-7.37474,1.54902e-12,6.95173e-310
-7.36224,1.69848e-12,6.95173e-310
-7.34974,1.86208e-12,6.95173e-310
-7.33723,2.04112e-12,6.95173e-310
-7.32473,2.23702e-12,6.95173e-310
-7.31223,2.45134e-12,6.95173e-310
-7.29973,2.68577e-12,6.95173e-310
-7.28723,2.94216e-12,6.95173e-310
-7.27473,3.22253e-12,6.95173e-310
-7.26223,3.52906e-12,6.95173e-310
-7.24973,3.86414e-12,6.95173e-310
-7.23722,4.23038e-12,6.95173e-310
-7.22472,4.63061e-12,6.95173e-310
-7.21222,5.06791e-12,6.95173e-310
-7.19972,5.54564e-12,6.95173e-310
-7.18722,6.06745e-12,6.95173e-310
-7.17472,6.63733e-12,6.95173e-310
-7.16222,7.2596e-12,6.95173e-310
-7.14972,7.93896e-12,6.95173e-310
-7.13721,8.68055e-12,6.95173e-310
-7.12471,9.48993e-12,6.95173e-310
-7.11221,1.03731e-11,6.95173e-310
-7.09971,1.13368e-11,6.95173e-310
-7.08721,1.2388e-11,6.95173e-310
-7.07471,1.35346e-11,6.95173e-310
-7.06221,1.4785e-11,6.95173e-310
-7.04971,1.61485e-11,6.95173e-310
-7.0372,1.76348e-11,6.95173e-310
-7.0247,1.9255e-11,6.95173e-310
-7.0122,2.10208e-11,6.95173e-310
-6.9997,2.29449e-11,6.95173e-310
-6.9872,2.50412e-11,6.95173e-310
-6.9747,2.73247e-11,6.95173e-310
-6.9622,2.98119e-11,6.95173e-310
-6.9497,3.25203e-11,6.95173e-310
-6.93719,3.54692e-11,6.95173e-310
-6.92469,3.86796e-11,6.95173e-310
-6.91219,4.21739e-11,6.95173e-310
-6.89969,4.59766e-11,6.95173e-310
-6.88719,5.01145e-11,6.95173e-310
-6.87469,5.46162e-11,6.95173e-310
-6.86219,5.9513e-11,6.95173e-310
-6.84969,6.48387e-11,6.95173e-310
-6.83718,7.06299e-11,6.95173e-310
-6.82468,7.69264e-11,6.95173e-310
-6.81218,8.37711e-11,6.95173e-310
-6.79968,9.12105e-11,6.95173e-310
-6.78718,9.92951e-11,6.95173e-310
-6.77468,1.08079e-10,6.95173e-310
-6.76218,1.17622e-10,6.95173e-310
-6.74968,1.27988e-10,6.95173e-310
-6.73717,1.39246e-10,6.95173e-310
-6.72467,1.51469e-10,6.95173e-310
-6.71217,1.64741e-10,6.95173e-310
-6.69967,1.79147e-10,6.95173e-310
-6.68717,1.94782e-10,6.95173e-310
-6.67467,2.11749e-10,6.95173e-310
-6.66217,2.30158e-10,6.95173e-310
-6.64967,2.50128e-10,6.95173e-310
-6.63716,2.71788e-10,6.95173e-310
-6.62466,2.95278e-10,6.95173e-310
-6.61216,3.20748e-10,6.95173e-310
-6.59966,3.4836e-10,6.95173e-310
-6.58716,3.78291e-10,6.95173e-310
-6.57466,4.10729e-10,6.95173e-310
