x,psi
3.1,0.00818512
3.075,0.00884193
3.05,0.00954548
3.025,0.0102986
3,0.0111041
2.975,0.0119652
2.95,0.0128851
2.925,0.0138669
2.9,0.0149143
2.875,0.0160307
2.85,0.0172199
2.825,0.0184858
2.8,0.0198324
2.775,0.0212638
2.75,0.0227842
2.725,0.0243981
2.7,0.02611
2.675,0.0279245
2.65,0.0298465
2.625,0.0318808
2.6,0.0340326
2.575,0.0363068
2.55,0.0387088
2.525,0.041244
2.5,0.0439177
2.475,0.0467356
2.45,0.0497031
2.425,0.0528261
2.4,0.0561102
2.375,0.0595612
2.35,0.063185
2.325,0.0669874
2.3,0.0709743
2.275,0.0751514
2.25,0.0795247
2.225,0.0840999
2.2,0.0888827
2.175,0.0938789
2.15,0.0990939
2.125,0.104533
2.1,0.110202
2.075,0.116106
2.05,0.12225
2.025,0.128638
2,0.135276
1.975,0.142167
1.95,0.149316
1.925,0.156727
1.9,0.164402
1.875,0.172346
1.85,0.180561
1.825,0.189049
1.8,0.197812
1.775,0.206852
1.75,0.216171
1.725,0.225767
1.7,0.235643
1.675,0.245797
1.65,0.256228
1.625,0.266935
1.6,0.277916
1.575,0.289167
1.55,0.300686
1.525,0.312469
1.5,0.32451
1.475,0.336805
1.45,0.349348
1.425,0.362131
1.4,0.375147
1.375,0.388388
1.35,0.401845
1.325,0.415509
1.3,0.429369
1.275,0.443415
1.25,0.457633
1.225,0.472012
1.2,0.486539
1.175,0.5012
1.15,0.51598
1.125,0.530864
1.1,0.545835
1.075,0.560879
1.05,0.575977
1.025,0.591112
1,0.606265
0.975,0.621419
0.95,0.636553
0.925,0.651648
0.9,0.666685
0.875,0.681642
0.85,0.6965
0.825,0.711237
0.8,0.725831
0.775,0.740263
0.75,0.754509
0.725,0.76855
0.7,0.782362
0.675,0.795925
0.65,0.809217
0.625,0.822218
0.6,0.834905
0.575,0.847258
0.55,0.859257
0.525,0.870881
0.5,0.882111
0.475,0.892927
0.45,0.903312
0.425,0.913246
0.4,0.922712
0.375,0.931695
0.35,0.940176
0.325,0.948143
0.3,0.955579
0.275,0.962472
0.25,0.968809
0.225,0.974579
0.2,0.97977
0.175,0.984373
0.15,0.98838
0.125,0.991784
0.1,0.994577
0.075,0.996755
0.05,0.998314
0.025,0.99925
-7.48776e-14,0.999562
-0.025,0.99925
-0.05,0.998314
-0.075,0.996755
-0.1,0.994577
-0.125,0.991784
-0.15,0.98838
-0.175,0.984373
-0.2,0.97977
-0.225,0.974579
-0.25,0.968809
-0.275,0.962472
-0.3,0.955579
-0.325,0.948143
-0.35,0.940176
-0.375,0.931695
-0.4,0.922712
-0.425,0.913246
-0.45,0.903312
-0.475,0.892927
-0.5,0.882111
-0.525,0.870881
-0.55,0.859257
-0.575,0.847258
-0.6,0.834905
-0.625,0.822218
-0.65,0.809217
-0.675,0.795925
-0.7,0.782362
-0.725,0.76855
-0.75,0.754509
-0.775,0.740263
-0.8,0.725831
-0.825,0.711237
-0.85,0.6965
-0.875,0.681642
-0.9,0.666685
-0.925,0.651648
-0.95,0.636553
-0.975,0.621419
-1,0.606265
-1.025,0.591112
-1.05,0.575977
-1.075,0.560879
-1.1,0.545835
-1.125,0.530864
-1.15,0.51598
-1.175,0.5012
-1.2,0.486539
-1.225,0.472012
-1.25,0.457633
-1.275,0.443415
-1.3,0.429369
-1.325,0.415509
-1.35,0.401845
-1.375,0.388388
-1.4,0.375147
-1.425,0.362131
-1.45,0.349348
-1.475,0.336805
-1.5,0.32451
-1.525,0.312469
-1.55,0.300686
-1.575,0.289167
-1.6,0.277916
-1.625,0.266935
-1.65,0.256228
-1.675,0.245797
-1.7,0.235643
-1.725,0.225767
-1.75,0.216171
-1.775,0.206852
-1.8,0.197812
-1.825,0.189049
-1.85,0.180561
-1.875,0.172346
-1.9,0.164403
-1.925,0.156727
-1.95,0.149316
-1.975,0.142167
-2,0.135276
-2.025,0.128638
-2.05,0.12225
-2.075,0.116106
-2.1,0.110202
-2.125,0.104533
-2.15,0.0990939
-2.175,0.0938789
-2.2,0.0888827
-2.225,0.0840999
-2.25,0.0795247
-2.275,0.0751515
-2.3,0.0709743
-2.325,0.0669875
-2.35,0.0631851
-2.375,0.0595613
-2.4,0.0561102
-2.425,0.0528261
-2.45,0.0497032
-2.475,0.0467356
-2.5,0.0439177
-2.525,0.041244
-2.55,0.0387089
-2.575,0.0363068
-2.6,0.0340326
-2.625,0.0318809
-2.65,0.0298466
-2.675,0.0279246
-2.7,0.02611
-2.725,0.0243982
-2.75,0.0227843
-2.775,0.0212638
-2.8,0.0198325
-2.825,0.0184859
-2.85,0.01722
-2.875,0.0160308
-2.9,0.0149144
-2.925,0.013867
-2.95,0.0128852
-2.975,0.0119653
-3,0.0111043
-3.025,0.0102987
-3.05,0.00954561
-3.075,0.00884207
-3.1,0.00818527
-3.125,0.00757253
-3.15,0.00700128
-3.175,0.00646908
-3.2,0.00597361
-3.225,0.00551264
-3.25,0.00508408
-3.275,0.0046859
-3.3,0.00431622
-3.325,0.00397322
-3.35,0.00365521
-3.375,0.00336055
-3.4,0.00308773
-3.425,0.00283529
-3.45,0.00260187
-3.475,0.00238619
-3.5,0.00218703
-3.525,0.00200325
-3.55,0.00183379
-3.575,0.00167763
-3.6,0.00153382
-3.625,0.00140149
-3.65,0.00127979
-3.675,0.00116796
-3.7,0.00106525
-3.725,0.000971004
-3.75,0.000884572
-3.775,0.000805364
-3.8,0.000732829
-3.825,0.000666454
-3.85,0.000605758
-3.875,0.000550298
-3.9,0.000499662
-3.925,0.000453465
-3.95,0.000411353
-3.975,0.000372998
-4,0.000338095
-4.025,0.000306363
-4.05,0.000277544
-4.075,0.000251398
-4.1,0.000227705
-4.125,0.000206264
-4.15,0.000186889
-4.175,0.000169409
-4.2,0.000153671
-4.225,0.000139532
-4.25,0.000126863
-4.275,0.000115549
-4.3,0.000105482
-4.325,9.657e-05
-4.35,8.8727e-05
-4.375,8.18788e-05
-4.4,7.59596e-05
-4.425,7.09127e-05
-4.45,6.669e-05
-4.475,6.32518e-05
-4.5,6.05663e-05
-4.525,5.86102e-05
-4.55,5.73682e-05
-4.575,5.68333e-05
-4.6,5.70072e-05
-4.625,5.79e-05
-4.65,5.95316e-05
-4.675,6.19314e-05
-4.7,6.51394e-05
-4.725,6.9207e-05
-4.75,7.41982e-05
-4.775,8.01906e-05
-4.8,8.72771e-05
-4.825,9.55673e-05
-4.85,0.00010519
-4.875,0.000116296
-4.9,0.000129058
-4.925,0.000143679
-4.95,0.000160392
-4.975,0.000179464
-5,0.000201203
-5.025,0.000225965
-5.05,0.000254157
-5.075,0.000286247
-5.1,0.000322772
-5.125,0.00036435
-5.15,0.000411691
-5.175,0.000465609
-5.2,0.00052704
-5.225,0.000597063
-5.25,0.000676915
-5.275,0.000768024
-5.3,0.00087203
-5.325,0.000990824
-5.35,0.00112659
-5.375,0.00128183
-5.4,0.00145945
-5.425,0.00166281
-5.45,0.00189576
-5.475,0.00216278
-5.5,0.00246903
-5.525,0.0028205
-5.55,0.0032241
-5.575,0.00368787
-5.6,0.00422109
-5.625,0.00483455
-5.65,0.00554076
-5.675,0.00635425
-5.7,0.0072919
-5.725,0.00837332
-5.75,0.00962135
-5.775,0.0110625
-5.8,0.0127278
-5.825,0.0146533
-5.85,0.0168809
-5.875,0.0194597
-5.9,0.0224469
-5.925,0.0259093
-5.95,0.0299252
-5.975,0.0345858
-6,0.039998
-6.025,0.0462869
-6.05,0.0535991
-6.075,0.0621065
-6.1,0.0720104
-6.125,0.0835475
-6.15,0.0969953
-6.175,0.11268
-6.2,0.130985
-6.225,0.152362
-6.25,0.177342
-6.275,0.20655
-6.3,0.240722
-6.325,0.280729
-6.35,0.327595
-6.375,0.38253
-6.4,0.446963
-6.425,0.522585
-6.45,0.611394
-6.475,0.715754
-6.5,0.838464
-6.525,0.982842
-6.55,1.15282
-6.575,1.35306
-6.6,1.5891
-6.625,1.86751
-6.65,2.19611
-6.675,2.58417
-6.7,3.04276
-6.725,3.58502
-6.75,4.22662
-6.775,4.98624
-6.8,5.88614
-6.825,6.9529
-6.85,8.21824
-6.875,9.72007
-6.9,11.5037
-6.925,13.6233
-6.95,16.1438
-6.975,19.1429
-7,22.7135
-7.025,26.9675
-7.05,32.0385
-7.075,38.0875
-7.1,45.3074
-7.125,53.9304
-7.15,64.2355
-7.175,76.5585
-7.2,91.3037
-7.225,108.958
-7.25,130.11
-7.275,155.466
-7.3,185.883
-7.325,222.392
-7.35,266.242
-7.375,318.94
-7.4,382.314
-7.425,458.571
-7.45,550.39
-7.475,661.013
-7.5,794.377
-7.525,955.257
-7.55,1149.45
-7.575,1384
-7.6,1667.47
-7.625,2010.28
-7.65,2425.12
-7.675,2927.41
-7.7,3536
-7.725,4273.82
-7.75,5168.88
-7.775,6255.37
-7.8,7575.05
-7.825,9178.98
-7.85,11129.6
-7.875,13503.3
-7.9,16393.7
-7.925,19915.5
-7.95,24209.1
-7.975,29447.2
-8,35841.4
-8.025,43651.7
-8.05,53197.8
-8.075,64872.7
-8.1,79160.1
-8.125,96655.4
-8.15,118092
-8.175,144375
-8.2,176620
-8.225,216203
-8.25,264826
-8.275,324589
-8.3,398092
-8.325,488550
-8.35,599942
-8.375,737199
-8.4,906434
-8.425,1.11523e+06
-8.45,1.37298e+06
-8.475,1.69139e+06
-8.5,2.08495e+06
-8.525,2.57172e+06
-8.55,3.17415e+06
-8.575,3.92019e+06
-8.6,4.84463e+06
-8.625,5.99088e+06
-8.65,7.41302e+06
-8.675,9.17857e+06
-8.7,1.13718e+07
-8.725,1.40981e+07
-8.75,1.7489e+07
-8.775,2.17093e+07
-8.8,2.69651e+07
-8.825,3.35144e+07
-8.85,4.16809e+07
-8.875,5.18702e+07
-8.9,6.45912e+07
-8.925,8.0483e+07
-8.95,1.00348e+08
-8.975,1.25196e+08
-9,1.56295e+08
-9.025,1.95243e+08
-9.05,2.44051e+08
-9.075,3.05254e+08
-9.1,3.82046e+08
-9.125,4.7846e+08
-9.15,5.99584e+08
-9.175,7.51846e+08
-9.2,9.43372e+08
-9.225,1.18444e+09
-9.25,1.48804e+09
-9.275,1.87065e+09
-9.3,2.35313e+09
-9.325,2.96192e+09
-9.35,3.73057e+09
-9.375,4.70167e+09
-9.4,5.9293e+09
-9.425,7.48221e+09
-9.45,9.44779e+09
-9.475,1.19373e+10
-9.5,1.50923e+10
-9.525,1.90932e+10
-9.55,2.417e+10
-9.575,3.06161e+10
-9.6,3.88059e+10
-9.625,4.92176e+10
-9.65,6.24621e+10
-9.675,7.93209e+10
-9.7,1.00794e+11
-9.725,1.2816e+11
-9.75,1.6306e+11
-9.775,2.07594e+11
-9.8,2.64458e+11
-9.825,3.37112e+11
-9.85,4.29997e+11
-9.875,5.48822e+11
-9.9,7.00924e+11
-9.925,8.95747e+11
-9.95,1.14544e+12
-9.975,1.46567e+12
-10,1.87661e+12
