x,y,M,S
0.03125,0.734375,1.26511,0
0.03125,0.75,1.29839,0
0.03125,0.765625,1.33224,0
0.03125,0.78125,1.3667,0
0.03125,0.796875,1.40184,0
0.03125,0.8125,1.43769,0
0.03125,0.828125,1.47433,0
0.03125,0.84375,1.51184,0
0.03125,0.859375,1.55029,0
0.03125,0.875,1.58979,0
0.03125,0.890625,1.63048,0
0.03125,0.90625,1.67251,0
0.03125,0.921875,1.71608,0
0.03125,0.9375,1.76147,0
0.03125,0.953125,1.80903,0
0.03125,0.96875,1.85918,0
0.03125,0.984375,1.91242,0
0.03125,1,1.96875,0
0.046875,0,0,0
0.046875,0.015625,0.0244844,0
0.046875,0.03125,0.048974,0
0.046875,0.046875,0.0734744,0
0.046875,0.0625,0.0979907,0
0.046875,0.078125,0.122528,0
0.046875,0.09375,0.147093,0
0.046875,0.109375,0.17169,0
0.046875,0.125,0.196324,0
0.046875,0.140625,0.221002,0
0.046875,0.15625,0.245729,0
0.046875,0.171875,0.270511,0
0.046875,0.1875,0.295353,0
0.046875,0.203125,0.320261,0
0.046875,0.21875,0.345242,0
0.046875,0.234375,0.370302,0
0.046875,0.25,0.395446,0
0.046875,0.265625,0.420682,0
0.046875,0.28125,0.446016,0
0.046875,0.296875,0.471455,0
0.046875,0.3125,0.497005,0
0.046875,0.328125,0.522675,0
0.046875,0.34375,0.54847,0
0.046875,0.359375,0.5744,0
0.046875,0.375,0.600471,0
0.046875,0.390625,0.626693,0
0.046875,0.40625,0.653073,0
0.046875,0.421875,0.679621,0
0.046875,0.4375,0.706345,0
0.046875,0.453125,0.733255,0
0.046875,0.46875,0.760362,0
0.046875,0.484375,0.787675,0
0.046875,0.5,0.815206,0
0.046875,0.515625,0.842967,0
0.046875,0.53125,0.870968,0
0.046875,0.546875,0.899224,0
0.046875,0.5625,0.927747,0
0.046875,0.578125,0.956552,0
0.046875,0.59375,0.985654,0
0.046875,0.609375,1.01507,0
0.046875,0.625,1.04482,0
0.046875,0.640625,1.07491,0
0.046875,0.65625,1.10537,0
0.046875,0.671875,1.13623,0
