t,x,y,u,v,theta
1.07,0.834698,0.113373,0.780092,-0.429044,0.687799
1.08,0.842499,0.109033,0.780092,-0.439044,0.687799
1.09,0.8503,0.104592,0.780092,-0.449044,0.687799
1.1,0.858101,0.100052,0.780092,-0.459044,0.687799
1.11,0.865902,0.0954116,0.780092,-0.469044,0.687799
1.12,0.873703,0.0906711,0.780092,-0.479044,0.687799
1.13,0.881504,0.0858307,0.780092,-0.489044,0.687799
1.14,0.889304,0.0808902,0.780092,-0.499044,0.687799
1.15,0.897105,0.0758498,0.780092,-0.509044,0.687799
1.16,0.904906,0.0707094,0.780092,-0.519044,0.687799
1.17,0.912707,0.0654689,0.780092,-0.529044,0.687799
1.18,0.920508,0.0601285,0.780092,-0.539044,0.687799
1.19,0.928309,0.0546881,0.780092,-0.549044,0.687799
1.2,0.93611,0.0491476,0.780092,-0.559044,0.687799
1.21,0.943911,0.0435072,0.780092,-0.569044,0.687799
1.22,0.951712,0.0377668,0.780092,-0.579044,0.687799
1.23,0.959513,0.0319263,0.780092,-0.589044,0.687799
1.24,0.967314,0.0259859,0.780092,-0.599044,0.687799
1.25,0.975115,0.0199454,0.780092,-0.609044,0.687799
1.26,0.982915,0.013805,0.780092,-0.619044,0.687799
1.27,0.990716,0.00756457,0.780092,-0.629044,0.687799
1.28,0.998517,0.00122413,0.780092,-0.639044,0.687799
1.29,1.00632,-0.0052163,0.780092,-0.649044,0.687799
0,0,0,0.64094,0.780105,0.883019
0.01,0.0064094,0.00775105,0.64094,0.770105,0.883019
0.02,0.0128188,0.0154021,0.64094,0.760105,0.883019
0.03,0.0192282,0.0229532,0.64094,0.750105,0.883019
0.04,0.0256376,0.0304042,0.64094,0.740105,0.883019
0.05,0.032047,0.0377553,0.64094,0.730105,0.883019
0.06,0.0384564,0.0450063,0.64094,0.720105,0.883019
0.07,0.0448658,0.0521574,0.64094,0.710105,0.883019
0.08,0.0512752,0.0592084,0.64094,0.700105,0.883019
0.09,0.0576846,0.0661595,0.64094,0.690105,0.883019
0.1,0.064094,0.0730105,0.64094,0.680105,0.883019
0.11,0.0705033,0.0797616,0.64094,0.670105,0.883019
0.12,0.0769127,0.0864127,0.64094,0.660105,0.883019
0.13,0.0833221,0.0929637,0.64094,0.650105,0.883019
0.14,0.0897315,0.0994148,0.64094,0.640105,0.883019
0.15,0.0961409,0.105766,0.64094,0.630105,0.883019
0.16,0.10255,0.112017,0.64094,0.620105,0.883019
0.17,0.10896,0.118168,0.64094,0.610105,0.883019
0.18,0.115369,0.124219,0.64094,0.600105,0.883019
0.19,0.121779,0.13017,0.64094,0.590105,0.883019
0.2,0.128188,0.136021,0.64094,0.580105,0.883019
0.21,0.134597,0.141772,0.64094,0.570105,0.883019
0.22,0.141007,0.147423,0.64094,0.560105,0.883019
0.23,0.147416,0.152974,0.64094,0.550105,0.883019
0.24,0.153825,0.158425,0.64094,0.540105,0.883019
0.25,0.160235,0.163776,0.64094,0.530105,0.883019
0.26,0.166644,0.169027,0.64094,0.520105,0.883019
0.27,0.173054,0.174178,0.64094,0.510105,0.883019
0.28,0.179463,0.17923,0.64094,0.500105,0.883019
0.29,0.185872,0.184181,0.64094,0.490105,0.883019
0.3,0.192282,0.189032,0.64094,0.480105,0.883019
0.31,0.198691,0.193783,0.64094,0.470105,0.883019
0.32,0.205101,0.198434,0.64094,0.460105,0.883019
0.33,0.21151,0.202985,0.64094,0.450105,0.883019
0.34,0.217919,0.207436,0.64094,0.440105,0.883019
0.35,0.224329,0.211787,0.64094,0.430105,0.883019
0.36,0.230738,0.216038,0.64094,0.420105,0.883019
0.37,0.237148,0.220189,0.64094,0.410105,0.883019
0.38,0.243557,0.22424,0.64094,0.400105,0.883019
0.39,0.249966,0.228191,0.64094,0.390105,0.883019
0.4,0.256376,0.232042,0.64094,0.380105,0.883019
0.41,0.262785,0.235793,0.64094,0.370105,0.883019
0.42,0.269195,0.239444,0.64094,0.360105,0.883019
0.43,0.275604,0.242995,0.64094,0.350105,0.883019
0.44,0.282013,0.246446,0.64094,0.340105,0.883019
0.45,0.288423,0.249797,0.64094,0.330105,0.883019
0.46,0.294832,0.253049,0.64094,0.320105,0.883019
0.47,0.301242,0.2562,0.64094,0.310105,0.883019
0.48,0.307651,0.259251,0.64094,0.300105,0.883019
0.49,0.31406,0.262202,0.64094,0.290105,0.883019
0.5,0.32047,0.265053,0.64094,0.280105,0.883019
0.51,0.326879,0.267804,0.64094,0.270105,0.883019
0.52,0.333289,0.270455,0.64094,0.260105,0.883019
0.53,0.339698,0.273006,0.64094,0.250105,0.883019
0.54,0.346107,0.275457,0.64094,0.240105,0.883019
0.55,0.352517,0.277808,0.64094,0.230105,0.883019
0.56,0.358926,0.280059,0.64094,0.220105,0.883019
0.57,0.365336,0.28221,0.64094,0.210105,0.883019
0.58,0.371745,0.284261,0.64094,0.200105,0.883019
0.59,0.378154,0.286212,0.64094,0.190105,0.883019
0.6,0.384564,0.288063,0.64094,0.180105,0.883019
0.61,0.390973,0.289814,0.64094,0.170105,0.883019
0.62,0.397383,0.291465,0.64094,0.160105,0.883019
0.63,0.403792,0.293016,0.64094,0.150105,0.883019
0.64,0.410201,0.294467,0.64094,0.140105,0.883019
0.65,0.416611,0.295819,0.64094,0.130105,0.883019
0.66,0.42302,0.29707,0.64094,0.120105,0.883019
0.67,0.429429,0.298221,0.64094,0.110105,0.883019
0.68,0.435839,0.299272,0.64094,0.100105,0.883019
0.69,0.442248,0.300223,0.64094,0.0901054,0.883019
0.7,0.448658,0.301074,0.64094,0.0801054,0.883019
0.71,0.455067,0.301825,0.64094,0.0701054,0.883019
0.72,0.461476,0.302476,0.64094,0.0601054,0.883019
0.73,0.467886,0.303027,0.64094,0.0501054,0.883019
0.74,0.474295,0.303478,0.64094,0.0401054,0.883019
0.75,0.480705,0.303829,0.64094,0.0301054,0.883019
0.76,0.487114,0.30408,0.64094,0.0201054,0.883019
0.77,0.493523,0.304231,0.64094,0.0101054,0.883019
0.78,0.499933,0.304282,0.64094,0.000105442,0.883019
0.79,0.506342,0.304233,0.64094,-0.00989456,0.883019
0.8,0.512752,0.304084,0.64094,-0.0198946,0.883019
0.81,0.519161,0.303835,0.64094,-0.0298946,0.883019
0.82,0.52557,0.303486,0.64094,-0.0398946,0.883019
0.83,0.53198,0.303038,0.64094,-0.0498946,0.883019
0.84,0.538389,0.302489,0.64094,-0.0598946,0.883019
0.85,0.544799,0.30184,0.64094,-0.0698946,0.883019
0.86,0.551208,0.301091,0.64094,-0.0798946,0.883019
0.87,0.557617,0.300242,0.64094,-0.0898946,0.883019
0.88,0.564027,0.299293,0.64094,-0.0998946,0.883019
0.89,0.570436,0.298244,0.64094,-0.109895,0.883019
0.9,0.576846,0.297095,0.64094,-0.119895,0.883019
0.91,0.583255,0.295846,0.64094,-0.129895,0.883019
0.92,0.589664,0.294497,0.64094,-0.139895,0.883019
0.93,0.596074,0.293048,0.64094,-0.149895,0.883019
0.94,0.602483,0.291499,0.64094,-0.159895,0.883019
0.95,0.608893,0.28985,0.64094,-0.169895,0.883019
0.96,0.615302,0.288101,0.64094,-0.179895,0.883019
0.97,0.621711,0.286252,0.64094,-0.189895,0.883019
0.98,0.628121,0.284303,0.64094,-0.199895,0.883019
0.99,0.63453,0.282254,0.64094,-0.209895,0.883019
1,0.64094,0.280105,0.64094,-0.219895,0.883019
1.01,0.647349,0.277856,0.64094,-0.229895,0.883019
1.02,0.653758,0.275508,0.64094,-0.239895,0.883019
1.03,0.660168,0.273059,0.64094,-0.249895,0.883019
1.04,0.666577,0.27051,0.64094,-0.259895,0.883019
1.05,0.672987,0.267861,0.64094,-0.269895,0.883019
1.06,0.679396,0.265112,0.64094,-0.279895,0.883019
1.07,0.685805,0.262263,0.64094,-0.289895,0.883019
1.08,0.692215,0.259314,0.64094,-0.299895,0.883019
1.09,0.698624,0.256265,0.64094,-0.309895,0.883019
1.1,0.705033,0.253116,0.64094,-0.319895,0.883019
1.11,0.711443,0.249867,0.64094,-0.329895,0.883019
1.12,0.717852,0.246518,0.64094,-0.339895,0.883019
1.13,0.724262,0.243069,0.64094,-0.349895,0.883019
1.14,0.730671,0.23952,0.64094,-0.359895,0.883019
1.15,0.73708,0.235871,0.64094,-0.369895,0.883019
1.16,0.74349,0.232122,0.64094,-0.379895,0.883019
1.17,0.749899,0.228273,0.64094,-0.389895,0.883019
1.18,0.756309,0.224324,0.64094,-0.399895,0.883019
1.19,0.762718,0.220275,0.64094,-0.409895,0.883019
1.2,0.769127,0.216127,0.64094,-0.419895,0.883019
1.21,0.775537,0.211878,0.64094,-0.429895,0.883019
1.22,0.781946,0.207529,0.64094,-0.439895,0.883019
1.23,0.788356,0.20308,0.64094,-0.449895,0.883019
1.24,0.794765,0.198531,0.64094,-0.459895,0.883019
1.25,0.801174,0.193882,0.64094,-0.469895,0.883019
1.26,0.807584,0.189133,0.64094,-0.479895,0.883019
1.27,0.813993,0.184284,0.64094,-0.489895,0.883019
1.28,0.820403,0.179335,0.64094,-0.499895,0.883019
1.29,0.826812,0.174286,0.64094,-0.509895,0.883019
1.3,0.833221,0.169137,0.64094,-0.519895,0.883019
1.31,0.839631,0.163888,0.64094,-0.529895,0.883019
1.32,0.84604,0.158539,0.64094,-0.539895,0.883019
1.33,0.85245,0.15309,0.64094,-0.549895,0.883019
1.34,0.858859,0.147541,0.64094,-0.559895,0.883019
1.35,0.865268,0.141892,0.64094,-0.569895,0.883019
1.36,0.871678,0.136143,0.64094,-0.579895,0.883019
1.37,0.878087,0.130294,0.64094,-0.589895,0.883019
1.38,0.884497,0.124346,0.64094,-0.599895,0.883019
1.39,0.890906,0.118297,0.64094,-0.609895,0.883019
1.4,0.897315,0.112148,0.64094,-0.619895,0.883019
1.41,0.903725,0.105899,0.64094,-0.629895,0.883019
1.42,0.910134,0.0995497,0.64094,-0.639895,0.883019
1.43,0.916544,0.0931008,0.64094,-0.649895,0.883019
1.44,0.922953,0.0865518,0.64094,-0.659895,0.883019
1.45,0.929362,0.0799029,0.64094,-0.669895,0.883019
1.46,0.935772,0.0731539,0.64094,-0.679895,0.883019
1.47,0.942181,0.066305,0.64094,-0.689895,0.883019
1.48,0.948591,0.0593561,0.64094,-0.699895,0.883019
1.49,0.955,0.0523071,0.64094,-0.709895,0.883019
1.5,0.961409,0.0451582,0.64094,-0.719895,0.883019
1.51,0.967819,0.0379092,0.64094,-0.729895,0.883019
1.52,0.974228,0.0305603,0.64094,-0.739895,0.883019
1.53,0.980637,0.0231113,0.64094,-0.749895,0.883019
1.54,0.987047,0.0155624,0.64094,-0.759895,0.883019
1.55,0.993456,0.00791344,0.64094,-0.769895,0.883019
1.56,0.999866,0.00016449,0.64094,-0.779895,0.883019
1.57,1.00628,-0.00768446,0.64094,-0.789895,0.883019
