t,f,df,ddf
7.62,138.194,-21.7914,-25.6565
7.63,137.975,-22.0489,-25.7165
7.64,137.753,-22.307,-25.7764
7.65,137.529,-22.5656,-25.8364
7.66,137.302,-22.8249,-25.8963
7.67,137.072,-23.0847,-25.9563
7.68,136.84,-23.3452,-26.0162
7.69,136.605,-23.6063,-26.0761
7.7,136.368,-23.8679,-26.1361
7.71,136.128,-24.1302,-26.196
7.72,135.885,-24.393,-26.2559
7.73,135.64,-24.6565,-26.3159
7.74,135.392,-24.9206,-26.3758
7.75,135.142,-25.1852,-26.4357
7.76,134.889,-25.4505,-26.4957
7.77,134.633,-25.7163,-26.5556
7.78,134.374,-25.9828,-26.6155
7.79,134.113,-26.2498,-26.6755
7.8,133.849,-26.5175,-26.7354
7.81,133.583,-26.7857,-26.7953
7.82,133.314,-27.0546,-26.8553
7.83,133.042,-27.3241,-26.9152
7.84,132.767,-27.5941,-26.9751
7.85,132.49,-27.8648,-27.035
7.86,132.21,-28.136,-27.0949
7.87,131.927,-28.4079,-27.1549
7.88,131.642,-28.6803,-27.2148
7.89,131.353,-28.9533,-27.2747
7.9,131.063,-29.227,-27.3346
7.91,130.769,-29.5012,-27.3945
7.92,130.473,-29.7761,-27.4545
7.93,130.173,-30.0515,-27.5144
7.94,129.872,-30.3276,-27.5743
7.95,129.567,-30.6042,-27.6342
7.96,129.259,-30.8814,-27.6941
7.97,128.949,-31.1593,-27.754
7.98,128.636,-31.4377,-27.8139
7.99,128.32,-31.7168,-27.8739
8,128.002,-31.9964,-27.9338
8.01,127.681,-32.2766,-27.9937
8.02,127.356,-32.5575,-28.0536
8.03,127.029,-32.8389,-28.1135
8.04,126.7,-33.1209,-28.1734
8.05,126.367,-33.4036,-28.2333
8.06,126.032,-33.6868,-28.2932
8.07,125.693,-33.9706,-28.3531
8.08,125.352,-34.2551,-28.413
8.09,125.008,-34.5401,-28.4729
8.1,124.661,-34.8257,-28.5328
8.11,124.312,-35.1119,-28.5927
8.12,123.959,-35.3988,-28.6526
8.13,123.604,-35.6862,-28.7125
8.14,123.245,-35.9742,-28.7724
8.15,122.884,-36.2628,-28.8322
8.16,122.52,-36.5521,-28.8921
8.17,122.153,-36.8419,-28.952
8.18,121.783,-37.1323,-29.0119
8.19,121.41,-37.4233,-29.0718
8.2,121.035,-37.7149,-29.1317
8.21,120.656,-38.0072,-29.1916
8.22,120.275,-38.3,-29.2514
8.23,119.89,-38.5934,-29.3113
8.24,119.503,-38.8874,-29.3712
8.25,119.112,-39.182,-29.4311
8.26,118.719,-39.4772,-29.491
8.27,118.323,-39.773,-29.5508
8.28,117.924,-40.0694,-29.6107
8.29,117.521,-40.3664,-29.6706
8.3,117.116,-40.664,-29.7304
8.31,116.708,-40.9622,-29.7903
8.32,116.297,-41.261,-29.8502
8.33,115.883,-41.5604,-29.91
8.34,115.466,-41.8604,-29.9699
8.35,115.046,-42.161,-30.0298
8.36,114.623,-42.4622,-30.0896
8.37,114.197,-42.764,-30.1495
8.38,113.767,-43.0664,-30.2093
8.39,113.335,-43.3694,-30.2692
8.4,112.9,-43.673,-30.3291
8.41,112.462,-43.9772,-30.3889
8.42,112.02,-44.282,-30.4488
8.43,111.576,-44.5874,-30.5086
8.44,111.129,-44.8933,-30.5685
8.45,110.678,-45.1999,-30.6283
8.46,110.225,-45.5071,-30.6882
8.47,109.768,-45.8149,-30.748
8.48,109.308,-46.1233,-30.8078
8.49,108.846,-46.4322,-30.8677
8.5,108.38,-46.7418,-30.9275
8.51,107.911,-47.052,-30.9873
8.52,107.439,-47.3628,-31.0472
8.53,106.964,-47.6741,-31.107
8.54,106.485,-47.9861,-31.1668
8.55,106.004,-48.2987,-31.2267
8.56,105.519,-48.6118,-31.2865
8.57,105.032,-48.9256,-31.3463
8.58,104.541,-49.2399,-31.4062
8.59,104.047,-49.5549,-31.466
8.6,103.55,-49.8705,-31.5258
8.61,103.049,-50.1866,-31.5856
8.62,102.546,-50.5034,-31.6454
8.63,102.039,-50.8207,-31.7052
8.64,101.53,-51.1387,-31.7651
8.65,101.017,-51.4572,-31.8249
8.66,100.5,-51.7764,-31.8847
8.67,99.981,-52.0961,-31.9445
8.68,99.4585,-52.4164,-32.0043
8.69,98.9327,-52.7374,-32.0641
8.7,98.4037,-53.0589,-32.1239
8.71,97.8715,-53.3811,-32.1837
8.72,97.3361,-53.7038,-32.2435
8.73,96.7974,-54.0271,-32.3033
8.74,96.2555,-54.3511,-32.3631
8.75,95.7104,-54.6756,-32.4229
8.76,95.162,-55.0007,-32.4826
8.77,94.6104,-55.3264,-32.5424
8.78,94.0555,-55.6528,-32.6022
8.79,93.4973,-55.9797,-32.662
8.8,92.9359,-56.3072,-32.7218
8.81,92.3712,-56.6353,-32.7815
8.82,91.8032,-56.964,-32.8413
8.83,91.2319,-57.2933,-32.9011
8.84,90.6573,-57.6232,-32.9609
8.85,90.0795,-57.9537,-33.0206
8.86,89.4983,-58.2848,-33.0804
8.87,88.9138,-58.6165,-33.1402
8.88,88.3259,-58.9488,-33.1999
8.89,87.7348,-59.2817,-33.2597
8.9,87.1403,-59.6152,-33.3194
8.91,86.5425,-59.9493,-33.3792
8.92,85.9413,-60.284,-33.4389
8.93,85.3368,-60.6193,-33.4987
8.94,84.7289,-60.9552,-33.5584
8.95,84.1177,-61.2917,-33.6182
8.96,83.5031,-61.6287,-33.6779
8.97,82.8851,-61.9664,-33.7377
8.98,82.2638,-62.3047,-33.7974
8.99,81.639,-62.6435,-33.8571
9,81.0109,-62.983,-33.9169
9.01,80.3794,-63.3231,-33.9766
9.02,79.7444,-63.6637,-34.0363
9.03,79.1061,-64.005,-34.0961
9.04,78.4643,-64.3469,-34.1558
9.05,77.8192,-64.6893,-34.2155
9.06,77.1705,-65.0324,-34.2752
9.07,76.5185,-65.376,-34.3349
9.08,75.863,-65.7203,-34.3946
9.09,75.2041,-66.0651,-34.4544
9.1,74.5417,-66.4105,-34.5141
9.11,73.8759,-66.7566,-34.5738
9.12,73.2066,-67.1032,-34.6335
9.13,72.5338,-67.4504,-34.6932
9.14,71.8576,-67.7983,-34.7529
9.15,71.1779,-68.1467,-34.8126
9.16,70.4947,-68.4957,-34.8722
9.17,69.8079,-68.8453,-34.9319
9.18,69.1177,-69.1955,-34.9916
9.19,68.424,-69.5464,-35.0513
9.2,67.7268,-69.8978,-35.111
9.21,67.0261,-70.2498,-35.1707
9.22,66.3218,-70.6024,-35.2303
9.23,65.614,-70.9556,-35.29
9.24,64.9027,-71.3094,-35.3497
9.25,64.1878,-71.6638,-35.4093
9.26,63.4694,-72.0187,-35.469
9.27,62.7475,-72.3743,-35.5286
9.28,62.0219,-72.7305,-35.5883
9.29,61.2929,-73.0873,-35.648
9.3,60.5602,-73.4447,-35.7076
9.31,59.824,-73.8026,-35.7673
9.32,59.0842,-74.1612,-35.8269
9.33,58.3407,-74.5204,-35.8865
9.34,57.5937,-74.8801,-35.9462
9.35,56.8431,-75.2405,-36.0058
9.36,56.0889,-75.6014,-36.0654
9.37,55.3311,-75.963,-36.1251
9.38,54.5697,-76.3251,-36.1847
9.39,53.8046,-76.6879,-36.2443
9.4,53.0359,-77.0512,-36.3039
9.41,52.2636,-77.4151,-36.3635
9.42,51.4876,-77.7797,-36.4232
9.43,50.708,-78.1448,-36.4828
9.44,49.9247,-78.5105,-36.5424
9.45,49.1378,-78.8768,-36.602
9.46,48.3472,-79.2437,-36.6616
9.47,47.5529,-79.6113,-36.7212
9.48,46.755,-79.9794,-36.7808
9.49,45.9533,-80.3481,-36.8403
9.5,45.148,-80.7174,-36.8999
9.51,44.339,-81.0873,-36.9595
9.52,43.5263,-81.4577,-37.0191
9.53,42.7098,-81.8288,-37.0787
9.54,41.8897,-82.2005,-37.1382
9.55,41.0658,-82.5728,-37.1978
9.56,40.2382,-82.9457,-37.2574
9.57,39.4069,-83.3191,-37.3169
9.58,38.5718,-83.6932,-37.3765
9.59,37.733,-84.0678,-37.436
9.6,36.8905,-84.4431,-37.4956
9.61,36.0442,-84.8189,-37.5551
9.62,35.1941,-85.1954,-37.6147
9.63,34.3403,-85.5724,-37.6742
9.64,33.4827,-85.9501,-37.7337
9.65,32.6213,-86.3283,-37.7933
9.66,31.7561,-86.7071,-37.8528
9.67,30.8871,-87.0865,-37.9123
9.68,30.0144,-87.4666,-37.9718
9.69,29.1378,-87.8472,-38.0314
9.7,28.2574,-88.2284,-38.0909
9.71,27.3732,-88.6102,-38.1504
9.72,26.4852,-88.9926,-38.2099
9.73,25.5934,-89.3756,-38.2694
9.74,24.6977,-89.7591,-38.3289
9.75,23.7982,-90.1433,-38.3884
9.76,22.8948,-90.5281,-38.4479
9.77,21.9876,-90.9135,-38.5073
9.78,21.0766,-91.2994,-38.5668
9.79,20.1616,-91.686,-38.6263
9.8,19.2428,-92.0732,-38.6858
9.81,18.3202,-92.4609,-38.7452
9.82,17.3936,-92.8492,-38.8047
9.83,16.4632,-93.2382,-38.8642
9.84,15.5289,-93.6277,-38.9236
9.85,14.5906,-94.0178,-38.9831
9.86,13.6485,-94.4086,-39.0425
9.87,12.7025,-94.7999,-39.102
9.88,11.7525,-95.1918,-39.1614
9.89,10.7986,-95.5843,-39.2208
9.9,9.84082,-95.9774,-39.2803
9.91,8.87908,-96.3711,-39.3397
9.92,7.9134,-96.7654,-39.3991
9.93,6.94377,-97.1603,-39.4585
9.94,5.97019,-97.5557,-39.5179
9.95,4.99266,-97.9518,-39.5774
9.96,4.01116,-98.3485,-39.6368
9.97,3.02569,-98.7457,-39.6962
9.98,2.03624,-99.1436,-39.7556
9.99,1.04281,-99.542,-39.8149
10,0.0453999,-99.9411,-39.8743
