t,th1RK,th2RK,w1RK,w2RK,th1PV,th2PV,w1PV,w2PV
6.4,-0.18411,-0.527129,1.72223,-0.172607,-0.145456,-0.53323,1.76257,-0.0495452
6.5,-0.00727994,-0.518162,1.78368,0.35282,0.0317957,-0.51136,1.78246,0.486948
6.6,0.166415,-0.457171,1.66067,0.859766,0.201777,-0.437379,1.61716,0.992665
6.7,0.319276,-0.348499,1.37194,1.29804,0.3472,-0.316958,1.29129,1.41576
6.8,0.436519,-0.201524,0.955755,1.61807,0.454143,-0.160865,0.847559,1.7061
6.9,0.507777,-0.0302451,0.460567,1.77854,0.513349,0.015651,0.336568,1.82422
7,0.527673,0.148023,-0.0632805,1.75591,0.520631,0.194443,-0.190927,1.75162
7.1,0.495771,0.314794,-0.567697,1.55077,0.476728,0.356812,-0.687134,1.49575
7.2,0.41629,0.452832,-1.00768,1.18667,0.387,0.485928,-1.10744,1.08657
7.3,0.297777,0.548101,-1.34201,0.702658,0.261057,0.568627,-1.41141,0.567403
7.4,0.152578,0.59089,-1.53669,0.145007,0.112131,0.59633,-1.56713,-0.0133405
7.5,-0.00417006,0.576265,-1.57109,-0.437357,-0.0441279,0.565395,-1.55804,-0.60536
7.6,-0.156193,0.504296,-1.44369,-0.993124,-0.19144,0.477344,-1.38821,-1.15565
7.7,-0.288102,0.380335,-1.17349,-1.46809,-0.314963,0.339158,-1.08225,-1.60808
7.8,-0.387273,0.215194,-0.795665,-1.80829,-0.403045,0.163346,-0.679378,-1.90817
7.9,-0.445093,0.0247122,-0.353998,-1.96893,-0.448279,-0.032762,-0.225317,-2.01399
8,-0.457459,-0.171738,0.106001,-1.92596,-0.447836,-0.228882,0.234191,-1.90842
8.1,-0.424729,-0.35376,0.541055,-1.68336,-0.403302,-0.404526,0.656476,-1.60445
8.2,-0.35141,-0.502696,0.911628,-1.27077,-0.32033,-0.541721,1.00298,-1.13947
8.3,-0.245724,-0.603739,1.18323,-0.733743,-0.20814,-0.626867,1.24082,-0.563441
8.4,-0.118977,-0.64699,1.32943,-0.123546,-0.0787789,-0.651506,1.3464,0.0706539
8.5,0.0154756,-0.627741,1.33633,0.507513,0.0540537,-0.612497,1.31026,0.709523
8.6,0.143682,-0.546584,1.20634,1.10538,0.176575,-0.512155,1.14018,1.29733
8.7,0.252778,-0.409689,0.958483,1.61257,0.276595,-0.358572,0.86022,1.77432
8.8,0.332489,-0.229049,0.624671,1.97118,0.344899,-0.165754,0.505848,2.08204
8.9,0.376129,-0.0220666,0.24371,2.13306,0.376062,0.0471625,0.117418,2.1763
9,0.38099,0.190108,-0.144458,2.07353,0.368671,0.25805,-0.265232,2.04145
9.1,0.348249,0.385421,-0.502509,1.79959,0.325115,0.44491,-0.605893,1.69575
9.2,0.2826,0.544004,-0.79765,1.34646,0.251147,0.588868,-0.873474,1.18341
9.3,0.191732,0.650422,-1.00307,0.765372,0.155296,0.676041,-1.04353,0.560048
9.4,0.0856254,0.694647,-1.1002,0.111731,0.0480768,0.69815,-1.10086,-0.11786
9.5,-0.0244147,0.672165,-1.08159,-0.559681,-0.0590868,0.652508,-1.04241,-0.79499
9.6,-0.126991,0.583973,-0.953002,-1.19292,-0.155146,0.542083,-0.878766,-1.4135
9.7,-0.21194,0.436854,-0.733022,-1.72801,-0.230724,0.375872,-0.632797,-1.91071
9.8,-0.271477,0.243713,-0.450037,-2.10366,-0.279151,0.169099,-0.335737,-2.22474
9.9,-0.300953,0.0232057,-0.137431,-2.26862,-0.297036,-0.0576063,-0.0219753,-2.30937
10,-0.299097,-0.202055,0.171245,-2.19735,-0.284355,-0.280591,0.27561,-2.15033
10.1,-0.267851,-0.408628,0.445815,-1.89928,-0.244141,-0.476636,0.528657,-1.77057
10.2,-0.211916,-0.575633,0.661416,-1.41439,-0.18197,-0.626172,0.714764,-1.22016
10.3,-0.138168,-0.687122,0.799636,-0.798708,-0.105308,-0.71515,0.81847,-0.559393
10.4,-0.0549508,-0.732963,0.849746,-0.110985,-0.0227577,-0.735487,0.832543,0.152643
